claim_id	entity	direction	context_keys	term_uid	source	term_id	term_name	module_id	module_missing	module_reason	gene_ids	gene_ids_suggest	gene_ids_snippet	gene_ids_n_total	gene_ids_n_in_claim	term_ids	gene_set_hash	context_score	context_evaluated	context_status	context_method	context_confidence	context_reason	select_context_score	select_context_evaluated	select_context_tokens_n	select_context_status_score	select_context_tiebreak	context_signature	context_swap_active	context_gate_mode	context_gate_hit	eligible_context	eligible	term_survival	keep_term	keep_reason	claim_json	preselect_tau_gate	context_score_proxy	select_context_mode	select_context_policy	select_notes	select_diag_n_total	select_diag_n_eligible	select_diag_n_ineligible	select_diag_n_picked	select_diag_blocked_by_module_cap	select_diag_relaxed	select_diag_relax_passes	select_diag_max_per_module	select_diag_ctx_hit_terms	claim_mode	llm_notes	context_notes	context_review_mode	context_ctx_id	context_proxy_method	context_score_proxy_norm	module_context_weight	context_score_proxy_reason	context_score_proxy_n_nonzero	context_tokens_method	context_tokens	context_tokens_n	context_score_proxy_u01	context_score_proxy_u01_norm	context_ctx_id_original	context_ctx_id_effective	context_swap_from	context_swap_to	gene_ids_excel	term_ids_excel
c_bae534d630dd	HALLMARK_COMPLEMENT	up	condition,tissue,perturbation,comparison	fgsea_demo:HALLMARK_COMPLEMENT	fgsea_demo	HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	M8d778ce41920	False		5580,2159,3717,3660,11216,3659,6283,2885,1604,1378	5580,2159,3717,3660,11216,3659,6283,2885,1604,1378	5580,2159,3717,3660,11216,3659,6283,2885,1604,1378	45	45	fgsea_demo:HALLMARK_COMPLEMENT	69eaef0ee110	0.775776139340655	False	PASS	none	0.775776139340655	PROXY_U01_OK		False	0	-1		58670fc4e2ee	False	note	False	True	True	1.0	True	ok	"{""claim_id"":""c_bae534d630dd"",""entity"":""HALLMARK_COMPLEMENT"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M8d778ce41920"",""gene_ids"":[""5580"",""2159"",""3717"",""3660"",""11216"",""3659"",""6283"",""2885"",""1604"",""1378"",""4057"",""760"",""1514"",""1191"",""5550"",""1380"",""8851"",""5531"",""7941"",""3937"",""834"",""2811"",""3303"",""462"",""5641"",""9732"",""5216"",""1519"",""712"",""1520"",""1512"",""308"",""3003"",""3665"",""2147"",""717"",""5265"",""2919"",""978"",""2152"",""2820"",""475"",""1847"",""3309"",""4179""],""term_ids"":[""fgsea_demo:HALLMARK_COMPLEMENT""],""gene_set_hash"":""69eaef0ee110"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=30; eligible=30; ineligible=0; picked=20; max_per_module=1; blocked_by_module_cap=3; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=note; ctx_swap=False; ctx_sig=58670fc4e2ee; ctx_hit_terms=0	30	30	0	20	3	False	0	1	0	deterministic		proxy_context_v2: u=0.776 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=58670fc4e2ee	proxy	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;breast;tp53;mutation;mut	5	0.775776139340655	0.775776139340655	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt			'5580;2159;3717;3660;11216;3659;6283;2885;1604;1378	'fgsea_demo:HALLMARK_COMPLEMENT
c_7c28132fcb53	HALLMARK_HEDGEHOG_SIGNALING	up	condition,tissue,perturbation,comparison	fgsea_demo:HALLMARK_HEDGEHOG_SIGNALING	fgsea_demo	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	M5a3cb905d6d7	False		5727,9620,8861,1808,8851,2735,7088,4763,4983,6469	5727,9620,8861,1808,8851,2735,7088,4763,4983,6469	5727,9620,8861,1808,8851,2735,7088,4763,4983,6469	10	10	fgsea_demo:HALLMARK_HEDGEHOG_SIGNALING	ff36ad58a5c6	0.0234015899651272	False	FAIL	none	0.0234015899651272	PROXY_U01_LOW_FAIL		False	0	-1		58670fc4e2ee	False	note	False	True	True	1.0	True	ok	"{""claim_id"":""c_7c28132fcb53"",""entity"":""HALLMARK_HEDGEHOG_SIGNALING"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M5a3cb905d6d7"",""gene_ids"":[""5727"",""9620"",""8861"",""1808"",""8851"",""2735"",""7088"",""4763"",""4983"",""6469""],""term_ids"":[""fgsea_demo:HALLMARK_HEDGEHOG_SIGNALING""],""gene_set_hash"":""ff36ad58a5c6"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=30; eligible=30; ineligible=0; picked=20; max_per_module=1; blocked_by_module_cap=3; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=note; ctx_swap=False; ctx_sig=58670fc4e2ee; ctx_hit_terms=0	30	30	0	20	3	False	0	1	0	deterministic		proxy_context_v2: u=0.023 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=58670fc4e2ee	proxy	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;breast;tp53;mutation;mut	5	0.0234015899651272	0.0234015899651272	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt			'5727;9620;8861;1808;8851;2735;7088;4763;4983;6469	'fgsea_demo:HALLMARK_HEDGEHOG_SIGNALING
c_ccb1ef2f7dbc	HALLMARK_ESTROGEN_RESPONSE_LATE	up	condition,tissue,perturbation,comparison	fgsea_demo:HALLMARK_ESTROGEN_RESPONSE_LATE	fgsea_demo	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	M4a287539fcf2	False		7466,3717,9547,3880,7031,3547,11187,3487,3669,4057	7466,3717,9547,3880,7031,3547,11187,3487,3669,4057	7466,3717,9547,3880,7031,3547,11187,3487,3669,4057	43	43	fgsea_demo:HALLMARK_ESTROGEN_RESPONSE_LATE	d075fe40ceb2	0.8749683261287597	False	PASS	none	0.8749683261287597	PROXY_U01_OK		False	0	-1		58670fc4e2ee	False	note	False	True	True	1.0	True	ok	"{""claim_id"":""c_ccb1ef2f7dbc"",""entity"":""HALLMARK_ESTROGEN_RESPONSE_LATE"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M4a287539fcf2"",""gene_ids"":[""7466"",""3717"",""9547"",""3880"",""7031"",""3547"",""11187"",""3487"",""3669"",""4057"",""760"",""595"",""5241"",""10497"",""7033"",""596"",""1154"",""10610"",""8204"",""10551"",""8140"",""9254"",""6820"",""429"",""8645"",""5121"",""8416"",""5265"",""6566"",""4886"",""4299"",""7164"",""8900"",""7538"",""771"",""11098"",""4192"",""1836"",""6446"",""3418"",""2707"",""3705"",""2717""],""term_ids"":[""fgsea_demo:HALLMARK_ESTROGEN_RESPONSE_LATE""],""gene_set_hash"":""d075fe40ceb2"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=30; eligible=30; ineligible=0; picked=20; max_per_module=1; blocked_by_module_cap=3; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=note; ctx_swap=False; ctx_sig=58670fc4e2ee; ctx_hit_terms=0	30	30	0	20	3	False	0	1	0	deterministic		proxy_context_v2: u=0.875 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=58670fc4e2ee	proxy	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;breast;tp53;mutation;mut	5	0.8749683261287597	0.8749683261287597	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt			'7466;3717;9547;3880;7031;3547;11187;3487;3669;4057	'fgsea_demo:HALLMARK_ESTROGEN_RESPONSE_LATE
c_71a2f67e85cc	HALLMARK_KRAS_SIGNALING_UP	up	condition,tissue,perturbation,comparison	fgsea_demo:HALLMARK_KRAS_SIGNALING_UP	fgsea_demo	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	M4a3c716ceaa7	False		2791,2591,3290,10205,6480,101,9358,6616,208,760	2791,2591,3290,10205,6480,101,9358,6616,208,760	2791,2591,3290,10205,6480,101,9358,6616,208,760	39	39	fgsea_demo:HALLMARK_KRAS_SIGNALING_UP	d6d7115b2b2a	0.1295594888153786	False	ABSTAIN	none	0.1295594888153786	PROXY_U01_LOW_ABSTAIN		False	0	-1		58670fc4e2ee	False	note	False	True	True	1.0	True	ok	"{""claim_id"":""c_71a2f67e85cc"",""entity"":""HALLMARK_KRAS_SIGNALING_UP"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M4a3c716ceaa7"",""gene_ids"":[""2791"",""2591"",""3290"",""10205"",""6480"",""101"",""9358"",""6616"",""208"",""760"",""7035"",""8808"",""6868"",""6324"",""3800"",""2517"",""3689"",""5593"",""1520"",""3575"",""7166"",""2115"",""2995"",""5743"",""6304"",""4674"",""5121"",""7813"",""7852"",""10221"",""6447"",""3728"",""2254"",""3673"",""10418"",""2150"",""8431"",""7139"",""6004""],""term_ids"":[""fgsea_demo:HALLMARK_KRAS_SIGNALING_UP""],""gene_set_hash"":""d6d7115b2b2a"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=30; eligible=30; ineligible=0; picked=20; max_per_module=1; blocked_by_module_cap=3; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=note; ctx_swap=False; ctx_sig=58670fc4e2ee; ctx_hit_terms=0	30	30	0	20	3	False	0	1	0	deterministic		proxy_context_v2: u=0.130 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=58670fc4e2ee	proxy	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;breast;tp53;mutation;mut	5	0.1295594888153786	0.1295594888153786	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt			'2791;2591;3290;10205;6480;101;9358;6616;208;760	'fgsea_demo:HALLMARK_KRAS_SIGNALING_UP
c_9641c39e783f	HALLMARK_COAGULATION	down	condition,tissue,perturbation,comparison	fgsea_demo:HALLMARK_COAGULATION	fgsea_demo	HALLMARK_COAGULATION	HALLMARK_COAGULATION	M67ab5a83a29b	False		344,7018,4224,6271,3075,341,2200,3158,11202,2335	344,7018,4224,6271,3075,341,2200,3158,11202,2335	344,7018,4224,6271,3075,341,2200,3158,11202,2335	36	36	fgsea_demo:HALLMARK_COAGULATION	0559a0b4ddb3	0.938573372528738	False	PASS	none	0.938573372528738	PROXY_U01_OK		False	0	-1		58670fc4e2ee	False	note	False	True	True	1.0	True	ok	"{""claim_id"":""c_9641c39e783f"",""entity"":""HALLMARK_COAGULATION"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M67ab5a83a29b"",""gene_ids"":[""344"",""7018"",""4224"",""6271"",""3075"",""341"",""2200"",""3158"",""11202"",""2335"",""5340"",""649"",""1311"",""3273"",""928"",""2266"",""5155"",""3697"",""2783"",""1515"",""3920"",""4324"",""1675"",""1465"",""1638"",""5327"",""7057"",""7980"",""733"",""2534"",""732"",""8309"",""10411"",""5654"",""4973"",""4153""],""term_ids"":[""fgsea_demo:HALLMARK_COAGULATION""],""gene_set_hash"":""0559a0b4ddb3"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=30; eligible=30; ineligible=0; picked=20; max_per_module=1; blocked_by_module_cap=3; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=note; ctx_swap=False; ctx_sig=58670fc4e2ee; ctx_hit_terms=0	30	30	0	20	3	False	0	1	0	deterministic		proxy_context_v2: u=0.939 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=58670fc4e2ee	proxy	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;breast;tp53;mutation;mut	5	0.938573372528738	0.938573372528738	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt			'344;7018;4224;6271;3075;341;2200;3158;11202;2335	'fgsea_demo:HALLMARK_COAGULATION
c_fe42a574a624	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	down	condition,tissue,perturbation,comparison	fgsea_demo:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	fgsea_demo	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	M6512edb8dee3	False		5817,2006,7422,3725,4015,333,5329,4907,3569,3678	5817,2006,7422,3725,4015,333,5329,4907,3569,3678	5817,2006,7422,3725,4015,333,5329,4907,3569,3678	50	50	fgsea_demo:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	f0de61c04f45	0.3925397922172178	False	PASS	none	0.3925397922172178	PROXY_U01_OK		False	0	-1		58670fc4e2ee	False	note	False	True	True	1.0	True	ok	"{""claim_id"":""c_fe42a574a624"",""entity"":""HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M6512edb8dee3"",""gene_ids"":[""5817"",""2006"",""7422"",""3725"",""4015"",""333"",""5329"",""4907"",""3569"",""3678"",""2200"",""2201"",""627"",""5118"",""2335"",""4616"",""4148"",""3685"",""1281"",""649"",""1311"",""4256"",""10085"",""11010"",""7128"",""1296"",""3486"",""3624"",""8325"",""7424"",""5270"",""10516"",""59"",""7057"",""388"",""3398"",""7980"",""822"",""3576"",""10272"",""6535"",""2247"",""7456"",""5654"",""1293"",""4487"",""7049"",""1282"",""3918"",""6696""],""term_ids"":[""fgsea_demo:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION""],""gene_set_hash"":""f0de61c04f45"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=30; eligible=30; ineligible=0; picked=20; max_per_module=1; blocked_by_module_cap=3; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=note; ctx_swap=False; ctx_sig=58670fc4e2ee; ctx_hit_terms=0	30	30	0	20	3	False	0	1	0	deterministic		proxy_context_v2: u=0.393 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=58670fc4e2ee	proxy	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;breast;tp53;mutation;mut	5	0.3925397922172178	0.3925397922172178	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt			'5817;2006;7422;3725;4015;333;5329;4907;3569;3678	'fgsea_demo:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
c_516bfd23cd66	HALLMARK_ALLOGRAFT_REJECTION	up	condition,tissue,perturbation,comparison	fgsea_demo:HALLMARK_ALLOGRAFT_REJECTION	fgsea_demo	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Mec0ad5fa45d5	False		7124,3603,3586,5917,3717,3578,925,3111,11222,2213	7124,3603,3586,5917,3717,3578,925,3111,11222,2213	7124,3603,3586,5917,3717,3578,925,3111,11222,2213	41	41	fgsea_demo:HALLMARK_ALLOGRAFT_REJECTION	f13f47c0d1be	0.5403491306238859	False	PASS	none	0.5403491306238859	PROXY_U01_OK		False	0	-1		58670fc4e2ee	False	note	False	True	True	0.984375	True	ok	"{""claim_id"":""c_516bfd23cd66"",""entity"":""HALLMARK_ALLOGRAFT_REJECTION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mec0ad5fa45d5"",""gene_ids"":[""7124"",""3603"",""3586"",""5917"",""3717"",""3578"",""925"",""3111"",""11222"",""2213"",""6890"",""7163"",""6367"",""6775"",""926"",""4050"",""3937"",""8444"",""8664"",""6891"",""3689"",""5699"",""6170"",""1520"",""2268"",""355"",""6203"",""920"",""9450"",""7903"",""5551"",""3665"",""2147"",""940"",""717"",""6688"",""8807"",""7321"",""6347"",""567"",""4689""],""term_ids"":[""fgsea_demo:HALLMARK_ALLOGRAFT_REJECTION""],""gene_set_hash"":""f13f47c0d1be"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=30; eligible=30; ineligible=0; picked=20; max_per_module=1; blocked_by_module_cap=3; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=note; ctx_swap=False; ctx_sig=58670fc4e2ee; ctx_hit_terms=0	30	30	0	20	3	False	0	1	0	deterministic		proxy_context_v2: u=0.540 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=58670fc4e2ee	proxy	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;breast;tp53;mutation;mut	5	0.5403491306238859	0.5403491306238859	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt			'7124;3603;3586;5917;3717;3578;925;3111;11222;2213	'fgsea_demo:HALLMARK_ALLOGRAFT_REJECTION
c_27a228d5c366	HALLMARK_GLYCOLYSIS	up	condition,tissue,perturbation,comparison	fgsea_demo:HALLMARK_GLYCOLYSIS	fgsea_demo	HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	M8c231e681b57	False		3425,5917,1365,638,2131,5704,3669,4190,5223,5315	3425,5917,1365,638,2131,5704,3669,4190,5223,5315	3425,5917,1365,638,2131,5704,3669,4190,5223,5315	43	43	fgsea_demo:HALLMARK_GLYCOLYSIS	c8eed17a437a	0.8152428667462293	False	PASS	none	0.8152428667462293	PROXY_U01_OK		False	0	-1		58670fc4e2ee	False	note	False	True	True	0.984375	True	ok	"{""claim_id"":""c_27a228d5c366"",""entity"":""HALLMARK_GLYCOLYSIS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M8c231e681b57"",""gene_ids"":[""3425"",""5917"",""1365"",""638"",""2131"",""5704"",""3669"",""4190"",""5223"",""5315"",""8789"",""2729"",""4601"",""10327"",""2997"",""7033"",""9672"",""10461"",""229"",""3597"",""5318"",""8870"",""9435"",""10456"",""6383"",""4233"",""7852"",""3925"",""4351"",""5207"",""4200"",""1462"",""3309"",""7039"",""2998"",""5478"",""5256"",""11015"",""2530"",""5351"",""5516"",""8819"",""10370""],""term_ids"":[""fgsea_demo:HALLMARK_GLYCOLYSIS""],""gene_set_hash"":""c8eed17a437a"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=30; eligible=30; ineligible=0; picked=20; max_per_module=1; blocked_by_module_cap=3; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=note; ctx_swap=False; ctx_sig=58670fc4e2ee; ctx_hit_terms=0	30	30	0	20	3	False	0	1	0	deterministic		proxy_context_v2: u=0.815 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=58670fc4e2ee	proxy	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;breast;tp53;mutation;mut	5	0.8152428667462293	0.8152428667462293	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt			'3425;5917;1365;638;2131;5704;3669;4190;5223;5315	'fgsea_demo:HALLMARK_GLYCOLYSIS
c_681eaf8f7e24	HALLMARK_ANGIOGENESIS	down	condition,tissue,perturbation,comparison	fgsea_demo:HALLMARK_ANGIOGENESIS	fgsea_demo	HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	M40f6f830d7e9	False		5553,7422,3685,1281,3714,4487,894,4973,6696,6578	5553,7422,3685,1281,3714,4487,894,4973,6696,6578	5553,7422,3685,1281,3714,4487,894,4973,6696,6578	10	10	fgsea_demo:HALLMARK_ANGIOGENESIS	869c1050f50e	0.8478386564153138	False	PASS	none	0.8478386564153138	PROXY_U01_OK		False	0	-1		58670fc4e2ee	False	note	False	True	True	0.984375	True	ok	"{""claim_id"":""c_681eaf8f7e24"",""entity"":""HALLMARK_ANGIOGENESIS"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M40f6f830d7e9"",""gene_ids"":[""5553"",""7422"",""3685"",""1281"",""3714"",""4487"",""894"",""4973"",""6696"",""6578""],""term_ids"":[""fgsea_demo:HALLMARK_ANGIOGENESIS""],""gene_set_hash"":""869c1050f50e"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=30; eligible=30; ineligible=0; picked=20; max_per_module=1; blocked_by_module_cap=3; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=note; ctx_swap=False; ctx_sig=58670fc4e2ee; ctx_hit_terms=0	30	30	0	20	3	False	0	1	0	deterministic		proxy_context_v2: u=0.848 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=58670fc4e2ee	proxy	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;breast;tp53;mutation;mut	5	0.8478386564153138	0.8478386564153138	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt			'5553;7422;3685;1281;3714;4487;894;4973;6696;6578	'fgsea_demo:HALLMARK_ANGIOGENESIS
c_e659c1bf6e8b	HALLMARK_KRAS_SIGNALING_DN	down	condition,tissue,perturbation,comparison	fgsea_demo:HALLMARK_KRAS_SIGNALING_DN	fgsea_demo	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	M7b6b240a1ea6	False		8303,5795,1907,3593,1950,1906,10777,5625,10913,11202	8303,5795,1907,3593,1950,1906,10777,5625,10913,11202	8303,5795,1907,3593,1950,1906,10777,5625,10913,11202	36	36	fgsea_demo:HALLMARK_KRAS_SIGNALING_DN	7e903b353eb4	0.940725073859729	False	PASS	none	0.940725073859729	PROXY_U01_OK		False	0	-1		58670fc4e2ee	False	note	False	True	True	0.984375	True	ok	"{""claim_id"":""c_e659c1bf6e8b"",""entity"":""HALLMARK_KRAS_SIGNALING_DN"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M7b6b240a1ea6"",""gene_ids"":[""8303"",""5795"",""1907"",""3593"",""1950"",""1906"",""10777"",""5625"",""10913"",""11202"",""3750"",""1237"",""7367"",""7038"",""10753"",""5324"",""7252"",""7771"",""152"",""6531"",""4210"",""5071"",""4908"",""1158"",""658"",""5077"",""2261"",""2827"",""1952"",""727"",""3780"",""2488"",""2593"",""1838"",""6261"",""6474""],""term_ids"":[""fgsea_demo:HALLMARK_KRAS_SIGNALING_DN""],""gene_set_hash"":""7e903b353eb4"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=30; eligible=30; ineligible=0; picked=20; max_per_module=1; blocked_by_module_cap=3; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=note; ctx_swap=False; ctx_sig=58670fc4e2ee; ctx_hit_terms=0	30	30	0	20	3	False	0	1	0	deterministic		proxy_context_v2: u=0.941 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=58670fc4e2ee	proxy	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;breast;tp53;mutation;mut	5	0.940725073859729	0.940725073859729	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt	BRCA|breast|TP53 mutation|TP53-mut vs TP53-wt			'8303;5795;1907;3593;1950;1906;10777;5625;10913;11202	'fgsea_demo:HALLMARK_KRAS_SIGNALING_DN
