module_id	module_rank	n_terms	n_genes	rep_gene_ids	term_ids	rep_gene_ids_str	term_ids_str	module_method	module_requested_method	module_effective_method	module_min_shared_genes	module_jaccard_min	hub_filter_max_gene_term_degree	hub_filter_n_hubs	module_terms_hash12	module_genes_hash12	module_content_hash12	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
M1e1b3a94e785	1	1	34	['3569', '5329', '1027', '3725', '5292', '7422', '1028', '1907', '2309', '3486']	['fgsea_demo:HALLMARK_HYPOXIA']	3569;5329;1027;3725;5292;7422;1028;1907;2309;3486	fgsea_demo:HALLMARK_HYPOXIA	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	2	4bea8978b5d0	35d58b5aa652	1e1b3a94e785	0.96875	1	1	term_survival:min
M2033f7f83759	2	1	29	['2200', '3033', '649', '1432', '2962', '4597', '6376', '10487', '1364', '1366']	['fgsea_demo:HALLMARK_APICAL_JUNCTION']	2200;3033;649;1432;2962;4597;6376;10487;1364;1366	fgsea_demo:HALLMARK_APICAL_JUNCTION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	2	b690adb1d0bb	3de6aa526df4	2033f7f83759	0.953125	1	1	term_survival:min
M2aa377623cac	3	2	62	['3569', '5329', '11047', '3459', '3725', '5292', '8809', '928', '1906', '196']	['fgsea_demo:HALLMARK_IL6_JAK_STAT3_SIGNALING', 'fgsea_demo:HALLMARK_INFLAMMATORY_RESPONSE']	3569;5329;11047;3459;3725;5292;8809;928;1906;196	fgsea_demo:HALLMARK_IL6_JAK_STAT3_SIGNALING;fgsea_demo:HALLMARK_INFLAMMATORY_RESPONSE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	2	54906d90fabf	bc732405a8a8	2aa377623cac	0.9375	2	2	term_survival:min
M2e400a2027dd	4	1	38	['3659', '6890', '834', '2147', '355', '595', '1026', '10410', '1191', '2934']	['fgsea_demo:HALLMARK_APOPTOSIS']	3659;6890;834;2147;355;595;1026;10410;1191;2934	fgsea_demo:HALLMARK_APOPTOSIS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	2	18463c5ab5a9	1c6e47040c6a	2e400a2027dd	0.9375	1	1	term_survival:min
M40f6f830d7e9	5	1	10	['3685', '7422', '1281', '4487', '4973', '6696', '3714', '5553', '6578', '894']	['fgsea_demo:HALLMARK_ANGIOGENESIS']	3685;7422;1281;4487;4973;6696;3714;5553;6578;894	fgsea_demo:HALLMARK_ANGIOGENESIS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	2	34436355d0df	869c1050f50e	40f6f830d7e9	0.984375	1	1	term_survival:min
M4a287539fcf2	6	2	65	['595', '6820', '7033', '760', '11098', '1154', '1836', '2717', '3418', '3487']	['fgsea_demo:HALLMARK_ESTROGEN_RESPONSE_EARLY', 'fgsea_demo:HALLMARK_ESTROGEN_RESPONSE_LATE']	595;6820;7033;760;11098;1154;1836;2717;3418;3487	fgsea_demo:HALLMARK_ESTROGEN_RESPONSE_EARLY;fgsea_demo:HALLMARK_ESTROGEN_RESPONSE_LATE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	2	f90aefd3e8ba	4c2089c4b1fd	4a287539fcf2	0.96875	2	2	term_survival:min
M4a3c716ceaa7	7	1	39	['1520', '760', '3689', '5121', '5743', '6304', '7852', '8431', '101', '10205']	['fgsea_demo:HALLMARK_KRAS_SIGNALING_UP']	1520;760;3689;5121;5743;6304;7852;8431;101;10205	fgsea_demo:HALLMARK_KRAS_SIGNALING_UP	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	2	2e3991df63f9	d6d7115b2b2a	4a3c716ceaa7	1.0	1	1	term_survival:min
M508ca96552ff	8	1	21	['3685', '11047', '3157', '3005', '3156', '3977', '658', '11099', '1622', '2005']	['fgsea_demo:HALLMARK_ANDROGEN_RESPONSE']	3685;11047;3157;3005;3156;3977;658;11099;1622;2005	fgsea_demo:HALLMARK_ANDROGEN_RESPONSE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	2	df48d3fed475	cd2828d5f30a	508ca96552ff	0.953125	1	1	term_survival:min
M58f4404a62c6	9	2	41	['1031', '1891', '2879', '3015', '3033', '3157', '3459', '1376', '1666', '2194']	['fgsea_demo:HALLMARK_ADIPOGENESIS', 'fgsea_demo:HALLMARK_FATTY_ACID_METABOLISM']	1031;1891;2879;3015;3033;3157;3459;1376;1666;2194	fgsea_demo:HALLMARK_ADIPOGENESIS;fgsea_demo:HALLMARK_FATTY_ACID_METABOLISM	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	2	a4e47f446d19	6f266a86e87d	58f4404a62c6	0.96875	2	2	term_survival:min
M5a3cb905d6d7	10	1	10	['4763', '4983', '8851', '9620', '1808', '2735', '5727', '6469', '7088', '8861']	['fgsea_demo:HALLMARK_HEDGEHOG_SIGNALING']	4763;4983;8851;9620;1808;2735;5727;6469;7088;8861	fgsea_demo:HALLMARK_HEDGEHOG_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	2	85e2f06af658	ff36ad58a5c6	5a3cb905d6d7	1.0	1	1	term_survival:min
