term_uid	module_id
fgsea_demo:HALLMARK_ADIPOGENESIS	M58f4404a62c6
fgsea_demo:HALLMARK_ALLOGRAFT_REJECTION	Mec0ad5fa45d5
fgsea_demo:HALLMARK_ANDROGEN_RESPONSE	M508ca96552ff
fgsea_demo:HALLMARK_ANGIOGENESIS	M40f6f830d7e9
fgsea_demo:HALLMARK_APICAL_JUNCTION	M2033f7f83759
fgsea_demo:HALLMARK_APICAL_SURFACE	Mdc12f7bdb33c
fgsea_demo:HALLMARK_APOPTOSIS	M2e400a2027dd
fgsea_demo:HALLMARK_BILE_ACID_METABOLISM	Meb94c762e19f
fgsea_demo:HALLMARK_CHOLESTEROL_HOMEOSTASIS	M8d145fba5b0f
fgsea_demo:HALLMARK_COAGULATION	M67ab5a83a29b
fgsea_demo:HALLMARK_COMPLEMENT	M8d778ce41920
fgsea_demo:HALLMARK_DNA_REPAIR	Me48b3f87086f
fgsea_demo:HALLMARK_E2F_TARGETS	M6e5938252379
fgsea_demo:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	M6512edb8dee3
fgsea_demo:HALLMARK_ESTROGEN_RESPONSE_EARLY	M4a287539fcf2
fgsea_demo:HALLMARK_ESTROGEN_RESPONSE_LATE	M4a287539fcf2
fgsea_demo:HALLMARK_FATTY_ACID_METABOLISM	M58f4404a62c6
fgsea_demo:HALLMARK_G2M_CHECKPOINT	M6e5938252379
fgsea_demo:HALLMARK_GLYCOLYSIS	M8c231e681b57
fgsea_demo:HALLMARK_HEDGEHOG_SIGNALING	M5a3cb905d6d7
fgsea_demo:HALLMARK_HEME_METABOLISM	Mf1a70430984e
fgsea_demo:HALLMARK_HYPOXIA	M1e1b3a94e785
fgsea_demo:HALLMARK_IL2_STAT5_SIGNALING	M62079132b76f
fgsea_demo:HALLMARK_IL6_JAK_STAT3_SIGNALING	M2aa377623cac
fgsea_demo:HALLMARK_INFLAMMATORY_RESPONSE	M2aa377623cac
fgsea_demo:HALLMARK_INTERFERON_ALPHA_RESPONSE	Mec0ad5fa45d5
fgsea_demo:HALLMARK_INTERFERON_GAMMA_RESPONSE	Mec0ad5fa45d5
fgsea_demo:HALLMARK_KRAS_SIGNALING_DN	M7b6b240a1ea6
fgsea_demo:HALLMARK_KRAS_SIGNALING_UP	M4a3c716ceaa7
fgsea_demo:HALLMARK_MITOTIC_SPINDLE	M833fda92dbee
