cancer	method	tau	coverage_pass	risk_human	n_pass_labeled	abstain_rate	fail_rate
DEMO	llm-pathway-curator	0.0	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.05	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.1	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.15	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.2	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.25	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.3	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.35	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.4	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.45	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.5	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.55	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.6	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.65	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.7	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.75	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.8	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.85	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.9	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	0.95	1.0	0.5	2	0.0	0.0
DEMO	llm-pathway-curator	1.0	1.0	0.5	2	0.0	0.0
