cancer	method	tau	coverage_pass	risk_human	n_pass_labeled	abstain_rate	fail_rate
DEMO	llm-pathway-curator	0.0	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.05	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.1	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.15	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.2	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.25	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.3	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.35	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.4	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.45	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.5	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.55	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.6	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.65	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.7	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.75	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.8	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.85	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.9	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	0.95	0.0		0	1.0	0.0
DEMO	llm-pathway-curator	1.0	0.0		0	1.0	0.0
