figure_id,panel,pipeline_id,kind,source_data_file,script,input_paths,output_paths,provenance_note,notes
Fig1,a,NA,biorender,NA,NA,NA,paper/source_data/BioRender_Figs/Fig1/Fig1.pdf,Created with BioRender.com (non-scripted figure).,Workflow schematic only.
Fig2,"a,b,c,d",PANCAN_TP53_v1,fetch,NA,paper/scripts/fig2_fetch_inputs.py,paper/config/benchmarks.csv,paper/source_data/PANCAN_TP53_v1/raw/expression.xena.gz;paper/source_data/PANCAN_TP53_v1/raw/mc3.v0.2.8.PUBLIC.xena.gz;paper/source_data/PANCAN_TP53_v1/raw/TCGA_phenotype_dense.tsv.gz,Downloads pinned UCSC Xena inputs (fixed URLs); does not re-download if prese,Skip download if files already exist with matching checksums.
Fig2,"a,b,c,d",PANCAN_TP53_v1,groups,NA,paper/scripts/fig2_make_groups.py,paper/source_data/PANCAN_TP53_v1/raw/mc3.v0.2.8.PUBLIC.xena.gz,paper/source_data/PANCAN_TP53_v1/derived/groups/<CANCER>.groups.tsv,TP53 mut/wt grouping per cancer (from MC3); deterministic filters encoded in script.,"CANCER: HNSC, LUAD, LUSC, BRCA, OV, UCEC, SKCM."
Fig2,"a,b,c,d",PANCAN_TP53_v1,cards,NA,paper/scripts/fig2_make_sample_cards.py,paper/source_data/PANCAN_TP53_v1/derived/groups/<CANCER>.groups.tsv,paper/source_data/PANCAN_TP53_v1/sample_cards/<CANCER>.<CARD_MODE>.sample_card.json,Writes normalized Sample Cards from cohort group files (contract: schema + canonical keys).,"CARD_MODE _ {note, hard}; paper analyses use CARD_MODE=hard unless stated."
Fig2,"a,b,c,d",PANCAN_TP53_v1,rank,NA,paper/scripts/fig2_deg_rank.R,paper/source_data/PANCAN_TP53_v1/raw/expression.xena.gz;paper/source_data/PANCAN_TP53_v1/derived/groups/<CANCER>.groups.tsv,paper/source_data/PANCAN_TP53_v1/derived/rankings/<CANCER>.deg_ranking.tsv,DE ranking per cancer (TP53 mut vs wt); ranking method pinned in script.,"CANCER: HNSC, LUAD, LUSC, BRCA, OV, UCEC, SKCM."
Fig2,"a,b,c,d",PANCAN_TP53_v1,evidence,NA,paper/scripts/fig2_fgsea_to_evidence_table.R,paper/source_data/PANCAN_TP53_v1/derived/rankings/<CANCER>.deg_ranking.tsv,paper/source_data/PANCAN_TP53_v1/evidence_tables/<CANCER>.evidence_table.tsv,EvidenceTable construction (Hallmark; leadingEdge _ evidence_genes); deterministic column contract.,Outputs include term_id/stat/qval/direction/evidence_genes.
Fig2,"a,b,c,d",PANCAN_TP53_v1,run,NA,paper/scripts/fig2_runpipeline.py,paper/source_data/PANCAN_TP53_v1/evidence_tables/<CANCER>.evidence_table.tsv;paper/source_data/PANCAN_TP53_v1/sample_cards/<CANCER>.hard.sample_card.json,paper/source_data/PANCAN_TP53_v1/out_fig2/<CANCER>/<VARIANT>/<GATE>/tau_<TAU>/,"LLM-PathwayCurator end-to-end run; pins k=50, seed=42, _ sweep (0.2–0.9); emits run_meta*.json and audit_log.tsv.","VARIANT _ {ours, context_swap, stress}; GATE=gate_hard; stress params: evidence_dropout_p=0.05, min_keep=1; code/environment recorded in run_meta.runner.json."
Fig2,a,PANCAN_TP53_v1,panel_data,journal_source_data/SourceData_Fig2.xlsx,paper/scripts/fig2_plot_multipanel.py,paper/source_data/PANCAN_TP53_v1/out_fig2/risk_coverage.label.tsv,paper/source_data/PANCAN_TP53_v1/fig/Fig2_multipanel_abstain_variants.pdf,Renders Fig2a panels from risk_coverage.label.tsv (exported plotting table).,"By-cancer; VARIANT _ {ours, context_swap, stress};tau_ {0.2,0.4,0.6,0.8,0.9}; (n_total=50 each)."
Fig2,b,PANCAN_TP53_v1,panel_data,journal_source_data/SourceData_Fig2.xlsx,paper/scripts/fig2_plot_lines_status_by_tau.py,paper/source_data/PANCAN_TP53_v1/out_fig2/risk_coverage.label.tsv,paper/source_data/PANCAN_TP53_v1/fig/Fig2_HNSC_abstain_vs_tau_variants.pdf,Renders Fig2b from risk_coverage.label.tsv.,"HNSC only; VARIANT _ {ours, context_swap, stress};tau_ {0.2,0.4,0.6,0.8,0.9}."
Fig2,c,PANCAN_TP53_v1,label,NA,paper/scripts/fig2_make_labels_template.py,paper/source_data/PANCAN_TP53_v1/out_fig2,paper/source_data/PANCAN_TP53_v1/labels/labels_hnsc_R1_v1.tsv,Generates human-label template for decision-grade acceptability (not biological truth).,Human labels may be access-restricted; repository can ship template/schema only.
Fig2,c,PANCAN_TP53_v1,label,NA,paper/scripts/fig2_check_labels_merge.py,paper/source_data/PANCAN_TP53_v1/labels/labels_hnsc_R1_v1.20260203.tsv,NA,Validates/normalizes merged labels for downstream aggregation (fails fast on schema/drift).,Checks are deterministic; no plots produced.
Fig2,c,PANCAN_TP53_v1,collect,journal_source_data/SourceData_Fig2.xlsx,paper/scripts/fig2_collect_risk_coverage.py,paper/source_data/PANCAN_TP53_v1/out_fig2;paper/source_data/PANCAN_TP53_v1/labels/labels_hnsc_R1_v1.20260203.tsv,paper/source_data/PANCAN_TP53_v1/out_fig2/risk_coverage.label.tsv,Aggregates per-run outputs into a single plotting table used by panels a–d.,HNSC-only labels merged here; sheet mapping documented in SourceData_Fig2.xlsx.
Fig2,c,PANCAN_TP53_v1,panel_data,journal_source_data/SourceData_Fig2.xlsx,paper/scripts/fig2_plot_scatter_human_risk.py,paper/source_data/PANCAN_TP53_v1/out_fig2/risk_coverage.label.tsv,paper/source_data/PANCAN_TP53_v1/fig/Fig2_HNSC_scatter_human_risk.pdf,Renders Fig2c: PASS coverage vs human non-accept risk among audit-PASS labeled claims.,"HNSC; VARIANT _ {ours, context_swap, stress};tau_ {0.2,0.4,0.6,0.8,0.9}."
