reason_type,collection,reason,count,fraction_within_type
ABSTAIN,Hallmark,Context gate,66,0.7415730337078652
ABSTAIN,Hallmark,Context-nonspecific,23,0.25842696629213485
ABSTAIN,GO,Under-supported,60,0.47244094488188976
ABSTAIN,GO,Context gate,43,0.33858267716535434
ABSTAIN,GO,Context-nonspecific,22,0.1732283464566929
ABSTAIN,GO,Hub bridge,2,0.015748031496062992
ABSTAIN,Reactome,Context gate,47,0.5164835164835165
ABSTAIN,Reactome,Under-supported,25,0.27472527472527475
ABSTAIN,Reactome,Context-nonspecific,19,0.2087912087912088
ABSTAIN,KEGG,Context gate,59,0.5175438596491229
ABSTAIN,KEGG,Under-supported,42,0.3684210526315789
ABSTAIN,KEGG,Context-nonspecific,13,0.11403508771929824
