benchmark_id,condition,variant,tau,n_total,n_pass,n_abstain,n_answered,coverage_pass,abstain_rate_total
BEATAML_TP53_v1,BEATAML,context_swap,0.2,50,13,37,13,0.26,0.74
BEATAML_TP53_v1,BEATAML,context_swap,0.4,50,13,37,13,0.26,0.74
BEATAML_TP53_v1,BEATAML,context_swap,0.6,50,13,37,13,0.26,0.74
BEATAML_TP53_v1,BEATAML,context_swap,0.8,50,13,37,13,0.26,0.74
BEATAML_TP53_v1,BEATAML,context_swap,0.9,50,12,38,12,0.24,0.76
BEATAML_TP53_v1,BEATAML,ours,0.2,50,39,11,39,0.78,0.22
BEATAML_TP53_v1,BEATAML,ours,0.4,50,39,11,39,0.78,0.22
BEATAML_TP53_v1,BEATAML,ours,0.6,50,39,11,39,0.78,0.22
BEATAML_TP53_v1,BEATAML,ours,0.8,50,39,11,39,0.78,0.22
BEATAML_TP53_v1,BEATAML,ours,0.9,50,37,13,37,0.74,0.26
BEATAML_TP53_v1,BEATAML,stress,0.2,50,9,41,9,0.18,0.82
BEATAML_TP53_v1,BEATAML,stress,0.4,50,9,41,9,0.18,0.82
BEATAML_TP53_v1,BEATAML,stress,0.6,50,9,41,9,0.18,0.82
BEATAML_TP53_v1,BEATAML,stress,0.8,50,9,41,9,0.18,0.82
BEATAML_TP53_v1,BEATAML,stress,0.9,50,8,42,8,0.16,0.84
