benchmark_id,condition,variant,tau,n_total,n_pass,n_abstain,coverage_pass,abstain_rate_total
PANCAN_TP53_v1,BRCA,context_swap,0.2,50,13,37,0.26,0.74
PANCAN_TP53_v1,BRCA,context_swap,0.4,50,13,37,0.26,0.74
PANCAN_TP53_v1,BRCA,context_swap,0.6,50,13,37,0.26,0.74
PANCAN_TP53_v1,BRCA,context_swap,0.8,50,13,37,0.26,0.74
PANCAN_TP53_v1,BRCA,context_swap,0.9,50,13,37,0.26,0.74
PANCAN_TP53_v1,BRCA,ours,0.2,50,37,13,0.74,0.26
PANCAN_TP53_v1,BRCA,ours,0.4,50,37,13,0.74,0.26
PANCAN_TP53_v1,BRCA,ours,0.6,50,37,13,0.74,0.26
PANCAN_TP53_v1,BRCA,ours,0.8,50,37,13,0.74,0.26
PANCAN_TP53_v1,BRCA,ours,0.9,50,35,15,0.7,0.3
PANCAN_TP53_v1,BRCA,stress,0.2,50,11,39,0.22,0.78
PANCAN_TP53_v1,BRCA,stress,0.4,50,11,39,0.22,0.78
PANCAN_TP53_v1,BRCA,stress,0.6,50,11,39,0.22,0.78
PANCAN_TP53_v1,BRCA,stress,0.8,50,11,39,0.22,0.78
PANCAN_TP53_v1,BRCA,stress,0.9,50,10,40,0.2,0.8
PANCAN_TP53_v1,HNSC,context_swap,0.2,50,15,35,0.3,0.7
PANCAN_TP53_v1,HNSC,context_swap,0.4,50,15,35,0.3,0.7
PANCAN_TP53_v1,HNSC,context_swap,0.6,50,15,35,0.3,0.7
PANCAN_TP53_v1,HNSC,context_swap,0.8,50,15,35,0.3,0.7
PANCAN_TP53_v1,HNSC,context_swap,0.9,50,14,36,0.28,0.72
PANCAN_TP53_v1,HNSC,ours,0.2,50,40,10,0.8,0.2
PANCAN_TP53_v1,HNSC,ours,0.4,50,40,10,0.8,0.2
PANCAN_TP53_v1,HNSC,ours,0.6,50,40,10,0.8,0.2
PANCAN_TP53_v1,HNSC,ours,0.8,50,39,11,0.78,0.22
PANCAN_TP53_v1,HNSC,ours,0.9,50,37,13,0.74,0.26
PANCAN_TP53_v1,HNSC,stress,0.2,50,11,39,0.22,0.78
PANCAN_TP53_v1,HNSC,stress,0.4,50,11,39,0.22,0.78
PANCAN_TP53_v1,HNSC,stress,0.6,50,11,39,0.22,0.78
PANCAN_TP53_v1,HNSC,stress,0.8,50,10,40,0.2,0.8
PANCAN_TP53_v1,HNSC,stress,0.9,50,10,40,0.2,0.8
PANCAN_TP53_v1,LUAD,context_swap,0.2,50,19,31,0.38,0.62
PANCAN_TP53_v1,LUAD,context_swap,0.4,50,19,31,0.38,0.62
PANCAN_TP53_v1,LUAD,context_swap,0.6,50,19,31,0.38,0.62
PANCAN_TP53_v1,LUAD,context_swap,0.8,50,19,31,0.38,0.62
PANCAN_TP53_v1,LUAD,context_swap,0.9,50,16,34,0.32,0.68
PANCAN_TP53_v1,LUAD,ours,0.2,50,37,13,0.74,0.26
PANCAN_TP53_v1,LUAD,ours,0.4,50,37,13,0.74,0.26
PANCAN_TP53_v1,LUAD,ours,0.6,50,37,13,0.74,0.26
PANCAN_TP53_v1,LUAD,ours,0.8,50,37,13,0.74,0.26
PANCAN_TP53_v1,LUAD,ours,0.9,50,33,17,0.66,0.34
PANCAN_TP53_v1,LUAD,stress,0.2,50,15,35,0.3,0.7
PANCAN_TP53_v1,LUAD,stress,0.4,50,15,35,0.3,0.7
PANCAN_TP53_v1,LUAD,stress,0.6,50,15,35,0.3,0.7
PANCAN_TP53_v1,LUAD,stress,0.8,50,15,35,0.3,0.7
PANCAN_TP53_v1,LUAD,stress,0.9,50,12,38,0.24,0.76
PANCAN_TP53_v1,LUSC,context_swap,0.2,50,10,40,0.2,0.8
PANCAN_TP53_v1,LUSC,context_swap,0.4,50,10,40,0.2,0.8
PANCAN_TP53_v1,LUSC,context_swap,0.6,50,10,40,0.2,0.8
PANCAN_TP53_v1,LUSC,context_swap,0.8,50,10,40,0.2,0.8
PANCAN_TP53_v1,LUSC,context_swap,0.9,50,9,41,0.18,0.82
PANCAN_TP53_v1,LUSC,ours,0.2,50,39,11,0.78,0.22
PANCAN_TP53_v1,LUSC,ours,0.4,50,39,11,0.78,0.22
PANCAN_TP53_v1,LUSC,ours,0.6,50,39,11,0.78,0.22
PANCAN_TP53_v1,LUSC,ours,0.8,50,39,11,0.78,0.22
PANCAN_TP53_v1,LUSC,ours,0.9,50,35,15,0.7,0.3
PANCAN_TP53_v1,LUSC,stress,0.2,50,14,36,0.28,0.72
PANCAN_TP53_v1,LUSC,stress,0.4,50,14,36,0.28,0.72
PANCAN_TP53_v1,LUSC,stress,0.6,50,14,36,0.28,0.72
PANCAN_TP53_v1,LUSC,stress,0.8,50,14,36,0.28,0.72
PANCAN_TP53_v1,LUSC,stress,0.9,50,12,38,0.24,0.76
PANCAN_TP53_v1,OV,context_swap,0.2,50,16,34,0.32,0.68
