claim_id,decision,module_id,term_uid,term_id,term_name,direction,direction_source,stability,context_fit,evidence_strength,score_source,_join,term_label,evidence_strength_filled,utility_score,rank_global,module_utility_sum,module_rank,rank_in_module
c_309b577635f9,ABSTAIN,M7d7e92d830b5,fgsea_msigdb_H_entrez:HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,down,audit,1,0.083759519,0.788520204,#NAME?,HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE: HALLMARK_APICAL_SURFACE,0.788520204,0.066046073,1,0.066046073,1,1
c_45f8d953bc02,PASS,Mc655fb76a1be,fgsea_msigdb_H_entrez:HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,down,audit,1,0.97727127,0.018664324,#NAME?,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE: HALLMARK_INFLAMMATORY_RESPONSE,0.018664324,0.018240108,2,0.018240108,8,1
c_da5fd7b713c0,PASS,M029534977e54,fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,down,audit,0.921875,0.999977338,0.018664324,#NAME?,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN: HALLMARK_UV_RESPONSE_DN,0.018664324,0.017205784,3,0.017205784,9,1
c_3e9cb46ac1f2,PASS,M852823ef4bff,fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,up,audit,0.984375,0.931981449,0.018664324,#NAME?,HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING: HALLMARK_MTORC1_SIGNALING,0.018664324,0.01712301,4,0.01712301,10,1
c_5db50990e92d,PASS,M849a4c0e7f2d,fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,down,audit,0.953125,0.944440168,0.018664324,#NAME?,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY: HALLMARK_ESTROGEN_RESPONSE_EARLY,0.018664324,0.016801056,5,0.016801056,11,1
c_ba0bf933a576,PASS,M27669b8fa9e7,fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,down,audit,0.96875,0.926279792,0.018664324,#NAME?,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE: HALLMARK_ANDROGEN_RESPONSE,0.018664324,0.016748124,6,0.016748124,12,1
c_7132ece5e87e,PASS,M0b67a17cb0b6,fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,down,audit,0.984375,0.890335095,0.018664324,#NAME?,HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS: HALLMARK_E2F_TARGETS,0.018664324,0.016357854,7,0.040946786,2,1
c_941d2f3967a9,PASS,M8ff555ff76b4,fgsea_msigdb_H_entrez:HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,down,audit,0.984375,0.850047627,0.018664324,#NAME?,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM: HALLMARK_BILE_ACID_METABOLISM,0.018664324,0.015617665,8,0.015617665,13,1
c_71353c2d3baa,PASS,M210904edebae,fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,down,audit,0.984375,0.831117191,0.018664324,#NAME?,HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP: HALLMARK_UV_RESPONSE_UP,0.018664324,0.015269862,9,0.015269862,14,1
c_3906e8d8f560,PASS,M0b67a17cb0b6,fgsea_msigdb_H_entrez:HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,down,audit,0.984375,0.822530246,0.018664324,#NAME?,HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT: HALLMARK_G2M_CHECKPOINT,0.018664324,0.015112096,10,0.040946786,2,2
