term_uid	gene_id	weight	gene_term_degree	term_gene_degree
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000050628	1.0	2	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000065534	1.0	3	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000079435	1.0	2	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000095637	1.0	2	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000104918	1.0	2	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000105281	1.0	4	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000112769	1.0	1	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000116717	1.0	4	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000123080	1.0	3	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000130203	1.0	2	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000142655	1.0	3	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000147872	1.0	3	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000148175	1.0	1	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000150768	1.0	1	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000158615	1.0	1	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000160216	1.0	1	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000168497	1.0	1	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000170522	1.0	2	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000171723	1.0	1	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000172893	1.0	5	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000173638	1.0	2	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000174233	1.0	2	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000177469	1.0	2	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000183048	1.0	2	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000184076	1.0	1	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000185000	1.0	2	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000187498	1.0	2	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000198142	1.0	1	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000204291	1.0	2	30
fgsea_msigdb_H_ensembl:HALLMARK_ADIPOGENESIS	ENSG00000229314	1.0	1	30
fgsea_msigdb_H_ensembl:HALLMARK_ALLOGRAFT_REJECTION	ENSG00000007171	1.0	1	55
fgsea_msigdb_H_ensembl:HALLMARK_ALLOGRAFT_REJECTION	ENSG00000012048	1.0	3	55
fgsea_msigdb_H_ensembl:HALLMARK_ALLOGRAFT_REJECTION	ENSG00000060982	1.0	3	55
fgsea_msigdb_H_ensembl:HALLMARK_ALLOGRAFT_REJECTION	ENSG00000069399	1.0	2	55
fgsea_msigdb_H_ensembl:HALLMARK_ALLOGRAFT_REJECTION	ENSG00000076554	1.0	4	55
fgsea_msigdb_H_ensembl:HALLMARK_ALLOGRAFT_REJECTION	ENSG00000087085	1.0	3	55
fgsea_msigdb_H_ensembl:HALLMARK_ALLOGRAFT_REJECTION	ENSG00000090339	1.0	6	55
fgsea_msigdb_H_ensembl:HALLMARK_ALLOGRAFT_REJECTION	ENSG00000090861	1.0	1	55
fgsea_msigdb_H_ensembl:HALLMARK_ALLOGRAFT_REJECTION	ENSG00000092969	1.0	4	55
fgsea_msigdb_H_ensembl:HALLMARK_ALLOGRAFT_REJECTION	ENSG00000095752	1.0	1	55
fgsea_msigdb_H_ensembl:HALLMARK_ALLOGRAFT_REJECTION	ENSG00000100365	1.0	1	55
fgsea_msigdb_H_ensembl:HALLMARK_ALLOGRAFT_REJECTION	ENSG00000100385	1.0	4	55
fgsea_msigdb_H_ensembl:HALLMARK_ALLOGRAFT_REJECTION	ENSG00000100644	1.0	4	55
