benchmark_id	condition	variant	gate_mode	tau	collection	reason	count	n_type_total	fraction_within_type	reason_type
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Context gate	9	13	0.6923076923076923	ABSTAIN
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Context-nonspecific	4	13	0.3076923076923077	ABSTAIN
PANCAN_TP53_v1	BRCA	ours	hard	0.2	GO	Under-supported	15	24	0.625	ABSTAIN
PANCAN_TP53_v1	BRCA	ours	hard	0.2	GO	Context gate	5	24	0.20833333333333334	ABSTAIN
PANCAN_TP53_v1	BRCA	ours	hard	0.2	GO	Context-nonspecific	3	24	0.125	ABSTAIN
PANCAN_TP53_v1	BRCA	ours	hard	0.2	GO	Missing evidence genes	1	24	0.041666666666666664	ABSTAIN
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	Under-supported	12	20	0.6	ABSTAIN
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	Context gate	6	20	0.3	ABSTAIN
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	Context-nonspecific	2	20	0.1	ABSTAIN
PANCAN_TP53_v1	BRCA	ours	hard	0.2	KEGG	Context gate	9	15	0.6	ABSTAIN
PANCAN_TP53_v1	BRCA	ours	hard	0.2	KEGG	Under-supported	6	15	0.4	ABSTAIN
PANCAN_TP53_v1	HNSC	ours	hard	0.2	Hallmark	Context gate	8	10	0.8	ABSTAIN
PANCAN_TP53_v1	HNSC	ours	hard	0.2	Hallmark	Context-nonspecific	2	10	0.2	ABSTAIN
PANCAN_TP53_v1	HNSC	ours	hard	0.2	GO	Context gate	14	17	0.8235294117647058	ABSTAIN
PANCAN_TP53_v1	HNSC	ours	hard	0.2	GO	Context-nonspecific	3	17	0.17647058823529413	ABSTAIN
PANCAN_TP53_v1	HNSC	ours	hard	0.2	Reactome	Context gate	7	18	0.3888888888888889	ABSTAIN
PANCAN_TP53_v1	HNSC	ours	hard	0.2	Reactome	Under-supported	5	18	0.2777777777777778	ABSTAIN
PANCAN_TP53_v1	HNSC	ours	hard	0.2	Reactome	Missing evidence genes	4	18	0.2222222222222222	ABSTAIN
PANCAN_TP53_v1	HNSC	ours	hard	0.2	Reactome	Context-nonspecific	2	18	0.1111111111111111	ABSTAIN
PANCAN_TP53_v1	HNSC	ours	hard	0.2	KEGG	Under-supported	7	14	0.5	ABSTAIN
PANCAN_TP53_v1	HNSC	ours	hard	0.2	KEGG	Context gate	4	14	0.2857142857142857	ABSTAIN
PANCAN_TP53_v1	HNSC	ours	hard	0.2	KEGG	Context-nonspecific	2	14	0.14285714285714285	ABSTAIN
PANCAN_TP53_v1	HNSC	ours	hard	0.2	KEGG	Missing evidence genes	1	14	0.07142857142857142	ABSTAIN
PANCAN_TP53_v1	LUAD	ours	hard	0.2	Hallmark	Context gate	11	13	0.8461538461538461	ABSTAIN
PANCAN_TP53_v1	LUAD	ours	hard	0.2	Hallmark	Context-nonspecific	2	13	0.15384615384615385	ABSTAIN
