benchmark_id	condition	variant	gate_mode	tau	collection	module_id	module_survival	n_genes	n_terms	hub_filter_n_hubs	hub_gene_rate
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M029cf3d23f9c	0.953125	28	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M0deb4ee7ddab	0.96875	67	2	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M11095980b892	0.984375	50	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M1925f967da45	0.96875	36	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M1ea213a317ba	0.78125	9	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M27c21ad3e788	0.984375	39	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M2ecb35deda4e	0.96875	33	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M3cf74eb06f9f	0.890625	11	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M3f89a2ed7824	0.984375	31	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M40595e9e1c80	1.0	31	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M4943fa93fc80	0.875	74	3	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M566064d0c23a	0.953125	41	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M582d76c74785	1.0	17	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M5e77e1be34be	0.96875	58	2	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M657af7328775	0.859375	14	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M7789ccd83268	0.953125	34	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M7d4455b21117	0.96875	27	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M8a4703cef1ef	1.0	39	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M8ad8d5f7118d	0.921875	18	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M8dd087f86a23	1.0	36	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M9376d06231d2	0.984375	45	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M958423d65468	0.6875	4	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M96df19841c9e	0.921875	10	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M974aa022205f	1.0	41	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M97e517f175fd	0.9375	29	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M999adeb5f600	0.921875	17	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	M9c45f36daf72	0.921875	10	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Ma03666ed863f	0.96875	21	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Ma290dde57965	0.96875	43	2	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Maeee8aace4cd	0.96875	36	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Mc77760bf7857	0.875	17	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Mc7932dc6959e	0.828125	7	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Mc7c03ab3f0f7	0.953125	39	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Md9f00fcd5cb5	0.9375	43	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Me48e511fc160	0.90625	104	3	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Me5c7c75bd3f2	0.921875	28	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Meb4e785bb64c	0.953125	41	2	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Meca555a67134	0.859375	6	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Mf2c62e11d92c	1.0	25	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Mf54eba6b27c8	0.96875	29	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Mf5575cbd82e9	0.953125	16	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Hallmark	Mfbdf55c7a75b	0.984375	30	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	GO	M3b8e080d4056	0.46875	1937	1745	5	0.002581311306143521
PANCAN_TP53_v1	BRCA	ours	hard	0.2	GO	M9a8b0385563a	0.53125	2162	1640	5	0.002312673450508788
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M0040c2c6e746	0.859375	12	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M004eca099810	0.609375	4	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M03bc43669378	0.875	10	2	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M08d0475b38be	0.75	4	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M090f81a68072	0.828125	2	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M095e52a96dd6	0.5625	1032	325	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M0c90fae12523	0.859375	7	2	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M0e3cca132c52	0.921875	1	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M0eb86e416166	0.65625	5	2	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M0f9406fc77b2	0.578125	4	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M11ade6913e74	0.890625	16	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M149e340d9f29	0.78125	2	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M1a811ec587a8	0.859375	7	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M1fe14fb589af	0.765625	9	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M2276178772be	0.953125	6	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M22f516234820	0.71875	4	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M257b7a71bd47	0.75	31	5	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M262707d845ac	0.6875	13	2	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M281b992f7b44	0.90625	6	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M28f80bb6bf54	0.890625	62	3	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M2d96ae251221	0.65625	4	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M2dcc3de91ccc	0.75	4	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M2e1f9f9f146f	0.78125	2	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M32aa037f4a56	0.84375	11	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M34e5b4c22ab8	0.90625	11	2	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M352c7bfd6df1	0.703125	4	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M361ebb95820a	0.90625	5	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M3649d614b4cd	0.546875	4	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M3a240518b3ed	0.90625	11	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M3b2fadb05b06	0.703125	3	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M3db578c9b15d	0.859375	7	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M3f4d80496822	0.84375	2	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M3f59ccef0c83	0.953125	16	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M3fb39b29687f	0.890625	15	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M42f493402bf9	0.6875	8	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M4ac762d12c55	0.78125	9	2	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M4ff7b249389c	0.671875	6	3	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M50cad414ef06	0.71875	17	4	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M50e61b205d2f	0.90625	7	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M51d45cf6146e	0.734375	4	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M526c3a161683	0.9375	6	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M54f7eadfa5d8	0.65625	3	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M5844f2ef0676	0.859375	2	1	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M5cc9c6642d49	0.875	61	6	0	0.0
PANCAN_TP53_v1	BRCA	ours	hard	0.2	Reactome	M5d3e3ba4784f	0.90625	6	1	0	0.0
