sample	group
TCGA-EK-A2PG-01	TP53_mut
TCGA-ZJ-AAX4-01	TP53_wt
TCGA-EK-A2PM-01	TP53_mut
TCGA-DS-A5RQ-01	TP53_wt
TCGA-C5-A1MK-01	TP53_wt
TCGA-C5-A8YQ-01	TP53_mut
TCGA-VS-A8Q9-01	TP53_wt
TCGA-VS-A9UL-01	TP53_wt
TCGA-C5-A1BM-01	TP53_wt
TCGA-FU-A3TX-01	TP53_wt
TCGA-DS-A1OA-01	TP53_wt
TCGA-C5-A3HL-01	TP53_wt
TCGA-VS-A8QH-01	TP53_mut
TCGA-VS-A959-01	TP53_wt
TCGA-VS-A9UI-01	TP53_wt
TCGA-DS-A1O9-01	TP53_wt
TCGA-MA-AA42-01	TP53_wt
TCGA-C5-A8XJ-01	TP53_wt
TCGA-EK-A2RA-01	TP53_wt
TCGA-VS-A9UV-01	TP53_wt
TCGA-VS-A9UD-01	TP53_mut
TCGA-ZJ-A8QO-01	TP53_wt
TCGA-C5-A7X5-01	TP53_wt
TCGA-VS-A9UT-01	TP53_mut
TCGA-C5-A1MH-01	TP53_wt
TCGA-C5-A7X3-01	TP53_wt
TCGA-C5-A8XI-01	TP53_wt
TCGA-IR-A3LK-01	TP53_mut
TCGA-C5-A7CO-01	TP53_wt
TCGA-EA-A3HT-01	TP53_wt
TCGA-MY-A5BF-01	TP53_wt
TCGA-EK-A2RK-01	TP53_wt
TCGA-VS-A954-01	TP53_wt
TCGA-ZJ-AAXI-01	TP53_wt
TCGA-VS-A952-01	TP53_wt
TCGA-C5-A1BQ-01	TP53_wt
TCGA-C5-A2LZ-01	TP53_wt
TCGA-EK-A3GM-01	TP53_wt
TCGA-VS-A8EK-01	TP53_wt
TCGA-C5-A1BE-01	TP53_wt
TCGA-EK-A2GZ-01	TP53_wt
TCGA-FU-A3HZ-01	TP53_wt
TCGA-HM-A3JK-01	TP53_wt
TCGA-IR-A3LF-01	TP53_wt
TCGA-Q1-A5R2-01	TP53_wt
TCGA-VS-A957-01	TP53_wt
TCGA-ZJ-AAXA-01	TP53_wt
TCGA-ZX-AA5X-01	TP53_wt
TCGA-JX-A3Q0-01	TP53_mut
TCGA-LP-A4AV-01	TP53_wt
TCGA-VS-A953-01	TP53_wt
TCGA-VS-A9V4-01	TP53_mut
TCGA-EX-A69M-01	TP53_wt
TCGA-MY-A5BD-01	TP53_wt
TCGA-VS-A9V3-01	TP53_wt
TCGA-ZJ-AAXF-01	TP53_wt
TCGA-C5-A1MJ-01	TP53_wt
TCGA-DR-A0ZM-01	TP53_wt
TCGA-VS-A9UZ-01	TP53_wt
TCGA-EA-A3HQ-01	TP53_wt
TCGA-FU-A23L-01	TP53_wt
TCGA-IR-A3LA-01	TP53_mut
TCGA-IR-A3LL-01	TP53_wt
TCGA-MU-A5YI-01	TP53_wt
TCGA-VS-A8EJ-01	TP53_mut
TCGA-VS-A9UA-01	TP53_mut
TCGA-EA-A3QD-01	TP53_wt
TCGA-EA-A5FO-01	TP53_mut
TCGA-EK-A2RO-01	TP53_wt
TCGA-C5-A7CK-01	TP53_wt
TCGA-EK-A2R9-01	TP53_wt
TCGA-EX-A1H5-01	TP53_wt
TCGA-VS-A9V0-01	TP53_mut
TCGA-ZJ-AAX8-01	TP53_wt
TCGA-EA-A3HR-01	TP53_wt
TCGA-VS-A9U5-01	TP53_wt
TCGA-WL-A834-01	TP53_wt
TCGA-C5-A2M2-01	TP53_wt
TCGA-C5-A8YR-01	TP53_wt
TCGA-EA-A5ZF-01	TP53_wt
TCGA-JW-A5VJ-01	TP53_wt
TCGA-Q1-A5R3-01	TP53_wt
TCGA-VS-A8EH-01	TP53_wt
TCGA-C5-A1M6-01	TP53_mut
TCGA-C5-A7CG-01	TP53_wt
TCGA-C5-A7UH-01	TP53_wt
TCGA-FU-A3EO-01	TP53_wt
TCGA-FU-A3TQ-01	TP53_wt
TCGA-Q1-A6DT-01	TP53_wt
TCGA-VS-A8EC-01	TP53_wt
TCGA-VS-A9UJ-01	TP53_wt
TCGA-C5-A2LX-01	TP53_wt
TCGA-EA-A5ZE-01	TP53_wt
TCGA-EA-A78R-01	TP53_wt
TCGA-MA-AA3W-01	TP53_wt
TCGA-VS-A9UB-01	TP53_wt
TCGA-ZJ-AAXT-01	TP53_mut
TCGA-BI-A0VR-01	TP53_wt
TCGA-C5-A1M5-01	TP53_wt
TCGA-DG-A2KL-01	TP53_wt
TCGA-DR-A0ZL-01	TP53_wt
TCGA-IR-A3LB-01	TP53_wt
