sample	group
TCGA-FA-8693-01	TP53_wt
TCGA-FF-A7CQ-01	TP53_wt
TCGA-FA-A6HN-01	TP53_wt
TCGA-FF-A7CW-01	TP53_wt
TCGA-GS-A9TT-01	TP53_wt
TCGA-G8-6325-01	TP53_wt
TCGA-FA-A4BB-01	TP53_wt
TCGA-G8-6909-01	TP53_wt
TCGA-G8-6914-01	TP53_wt
TCGA-RQ-A68N-01	TP53_wt
TCGA-FF-A7CR-01	TP53_wt
TCGA-G8-6906-01	TP53_wt
TCGA-VB-A8QN-01	TP53_wt
TCGA-G8-6326-01	TP53_wt
TCGA-FF-8046-01	TP53_wt
TCGA-GS-A9TZ-01	TP53_wt
TCGA-FF-A7CX-01	TP53_wt
TCGA-GS-A9TU-01	TP53_wt
TCGA-FF-8061-01	TP53_wt
TCGA-FA-A4XK-01	TP53_wt
TCGA-GS-A9TX-01	TP53_wt
TCGA-GR-7353-01	TP53_wt
TCGA-GS-A9TY-01	TP53_mut
TCGA-GS-A9U3-01	TP53_wt
TCGA-FF-8043-01	TP53_mut
TCGA-FM-8000-01	TP53_wt
TCGA-GS-A9TQ-01	TP53_wt
TCGA-GR-A4D9-01	TP53_wt
TCGA-FA-A86F-01	TP53_wt
TCGA-RQ-AAAT-01	TP53_mut
TCGA-RQ-A6JB-01	TP53_wt
TCGA-FA-A7Q1-01	TP53_wt
TCGA-FF-8062-01	TP53_wt
TCGA-FA-A6HO-01	TP53_wt
TCGA-FF-8042-01	TP53_wt
TCGA-G8-6907-01	TP53_wt
TCGA-GR-A4D4-01	TP53_mut
TCGA-GR-7351-01	TP53_wt
TCGA-FA-A7DS-01	TP53_wt
TCGA-GR-A4D6-01	TP53_wt
TCGA-FA-A82F-01	TP53_mut
TCGA-GR-A4D5-01	TP53_wt
TCGA-G8-6324-01	TP53_wt
TCGA-GS-A9TV-01	TP53_wt
TCGA-FF-8047-01	TP53_wt
TCGA-FF-8041-01	TP53_wt
TCGA-GS-A9U4-01	TP53_wt
TCGA-GS-A9TW-01	TP53_wt
