sample	group
TCGA-L5-A43J-01	TP53_mut
TCGA-L5-A88T-01	TP53_wt
TCGA-L5-A88S-01	TP53_mut
TCGA-L5-A8NU-01	TP53_wt
TCGA-L5-A4OR-01	TP53_mut
TCGA-KH-A6WC-01	TP53_wt
TCGA-L5-A43C-01	TP53_mut
TCGA-L5-A4OE-01	TP53_mut
TCGA-L5-A4OU-01	TP53_mut
TCGA-L5-A8NN-01	TP53_wt
TCGA-2H-A9GQ-01	TP53_mut
TCGA-2H-A9GR-01	TP53_mut
TCGA-L5-A4OI-01	TP53_wt
TCGA-L5-A8NI-01	TP53_mut
TCGA-JY-A6FB-01	TP53_mut
TCGA-JY-A939-01	TP53_mut
TCGA-L5-A43I-01	TP53_mut
TCGA-L5-A4OT-01	TP53_mut
TCGA-L5-A8NE-01	TP53_wt
TCGA-L5-A8NG-01	TP53_mut
TCGA-L5-A8NJ-01	TP53_mut
TCGA-LN-A49Y-01	TP53_mut
TCGA-L5-A88Y-01	TP53_mut
TCGA-L5-A8NS-01	TP53_mut
TCGA-S8-A6BV-01	TP53_mut
TCGA-JY-A938-01	TP53_mut
TCGA-L5-A43H-01	TP53_mut
TCGA-L5-A4OO-01	TP53_mut
TCGA-L5-A4OQ-01	TP53_mut
TCGA-L5-A8NV-01	TP53_mut
TCGA-2H-A9GL-01	TP53_mut
TCGA-L5-A43E-01	TP53_mut
TCGA-V5-AASX-01	TP53_mut
TCGA-LN-A49W-01	TP53_mut
TCGA-VR-A8EQ-01	TP53_mut
TCGA-IG-A3Y9-01	TP53_mut
TCGA-IG-A5B8-01	TP53_mut
TCGA-LN-A7HX-01	TP53_mut
TCGA-R6-A8W8-01	TP53_mut
TCGA-V5-AASW-01	TP53_mut
TCGA-IG-A4QS-01	TP53_mut
TCGA-L5-A4OH-01	TP53_wt
TCGA-L5-A8NQ-01	TP53_mut
TCGA-LN-A49P-01	TP53_mut
TCGA-R6-A6Y2-01	TP53_mut
TCGA-2H-A9GN-01	TP53_mut
TCGA-LN-A9FR-01	TP53_mut
TCGA-VR-AA7I-01	TP53_mut
TCGA-L5-A8NT-01	TP53_mut
TCGA-X8-AAAR-01	TP53_mut
TCGA-2H-A9GI-01	TP53_wt
TCGA-R6-A6L6-01	TP53_wt
TCGA-2H-A9GF-01	TP53_mut
TCGA-L5-A88W-01	TP53_wt
TCGA-V5-AASV-01	TP53_wt
TCGA-2H-A9GG-01	TP53_wt
TCGA-LN-A49K-01	TP53_mut
TCGA-L5-A4ON-01	TP53_mut
TCGA-L7-A56G-01	TP53_mut
TCGA-LN-A4A6-01	TP53_mut
TCGA-ZR-A9CJ-01	TP53_mut
TCGA-R6-A6XG-01	TP53_wt
TCGA-VR-A8ET-01	TP53_wt
TCGA-IG-A51D-01	TP53_mut
TCGA-L5-A4OF-01	TP53_mut
TCGA-VR-A8EX-01	TP53_mut
TCGA-IG-A3YC-01	TP53_mut
TCGA-IG-A8O2-01	TP53_mut
TCGA-L7-A6VZ-01	TP53_mut
TCGA-LN-A49M-01	TP53_mut
TCGA-LN-A49U-01	TP53_mut
TCGA-LN-A9FQ-01	TP53_mut
TCGA-IG-A3YB-01	TP53_mut
TCGA-JY-A93E-01	TP53_mut
TCGA-LN-A4A3-01	TP53_mut
TCGA-Q9-A6FW-01	TP53_wt
TCGA-IG-A625-01	TP53_mut
TCGA-L5-A4OX-01	TP53_mut
TCGA-L5-A88V-01	TP53_mut
TCGA-LN-A4A1-01	TP53_mut
TCGA-R6-A8W5-01	TP53_mut
TCGA-R6-A8WG-01	TP53_mut
TCGA-VR-A8Q7-01	TP53_mut
TCGA-IC-A6RE-01	TP53_mut
TCGA-LN-A49S-01	TP53_mut
TCGA-LN-A7HW-01	TP53_mut
TCGA-V5-A7RB-01	TP53_mut
TCGA-2H-A9GO-01	TP53_mut
TCGA-IG-A50L-01	TP53_mut
TCGA-IG-A97I-01	TP53_mut
TCGA-LN-A4A9-01	TP53_mut
TCGA-LN-A7HV-01	TP53_mut
TCGA-M9-A5M8-01	TP53_wt
TCGA-R6-A6DN-01	TP53_mut
TCGA-R6-A6XQ-01	TP53_mut
TCGA-VR-AA7D-01	TP53_mut
TCGA-2H-A9GJ-01	TP53_mut
TCGA-L5-A8NF-01	TP53_wt
TCGA-LN-A4A2-01	TP53_mut
TCGA-LN-A4MR-01	TP53_mut
TCGA-LN-A5U5-01	TP53_mut
TCGA-VR-A8EW-01	TP53_mut
TCGA-Z6-A8JE-01	TP53_mut
TCGA-Z6-AAPN-01	TP53_mut
TCGA-IG-A4QT-01	TP53_wt
TCGA-JY-A6F8-01	TP53_mut
TCGA-L5-A8NL-01	TP53_mut
TCGA-LN-A8HZ-01	TP53_mut
TCGA-R6-A8WC-01	TP53_mut
TCGA-L5-A8NW-01	TP53_mut
TCGA-V5-A7RC-01	TP53_mut
TCGA-IG-A3QL-01	TP53_mut
TCGA-IG-A6QS-01	TP53_mut
