sample	group
TCGA-77-A5GB-01	TP53_mut
TCGA-43-6771-01	TP53_wt
TCGA-34-2608-01	TP53_mut
TCGA-56-7580-01	TP53_mut
TCGA-56-8624-01	TP53_mut
TCGA-68-7756-01	TP53_wt
TCGA-85-A4JC-01	TP53_mut
TCGA-18-3416-01	TP53_mut
TCGA-33-AASD-01	TP53_wt
TCGA-56-7582-01	TP53_mut
TCGA-96-7544-01	TP53_mut
TCGA-18-3410-01	TP53_mut
TCGA-22-4609-01	TP53_mut
TCGA-22-5482-01	TP53_mut
TCGA-34-2609-01	TP53_mut
TCGA-46-6026-01	TP53_mut
TCGA-56-A5DR-01	TP53_wt
TCGA-77-A5GH-01	TP53_mut
TCGA-22-4591-01	TP53_wt
TCGA-33-6738-01	TP53_wt
TCGA-34-A5IX-01	TP53_mut
TCGA-94-7943-01	TP53_mut
TCGA-22-5478-01	TP53_mut
TCGA-34-5241-01	TP53_mut
TCGA-56-7221-01	TP53_mut
TCGA-56-8308-01	TP53_mut
TCGA-66-2770-01	TP53_mut
TCGA-77-6842-01	TP53_mut
TCGA-NC-A5HD-01	TP53_mut
TCGA-22-5473-01	TP53_mut
TCGA-43-5668-01	TP53_mut
TCGA-56-8628-01	TP53_mut
TCGA-56-A62T-01	TP53_mut
TCGA-63-A5MS-01	TP53_mut
TCGA-68-8251-01	TP53_wt
TCGA-O2-A52N-01	TP53_mut
TCGA-18-3415-01	TP53_mut
TCGA-21-1078-01	TP53_wt
TCGA-21-A5DI-01	TP53_wt
TCGA-22-4593-01	TP53_mut
TCGA-98-A53J-01	TP53_mut
TCGA-NC-A5HN-01	TP53_mut
TCGA-NK-A5CR-01	TP53_mut
TCGA-21-5783-01	TP53_mut
TCGA-22-1000-01	TP53_mut
TCGA-34-2605-01	TP53_wt
TCGA-39-5022-01	TP53_mut
TCGA-39-5039-01	TP53_wt
TCGA-43-6773-01	TP53_mut
TCGA-46-3767-01	TP53_mut
TCGA-63-A5MW-01	TP53_mut
TCGA-77-8143-01	TP53_mut
TCGA-77-A5GA-01	TP53_mut
TCGA-NC-A5HM-01	TP53_mut
TCGA-21-1072-01	TP53_wt
TCGA-21-1083-01	TP53_mut
TCGA-22-4607-01	TP53_mut
TCGA-22-5471-01	TP53_mut
TCGA-34-5239-01	TP53_mut
TCGA-39-5028-01	TP53_mut
TCGA-56-7822-01	TP53_mut
TCGA-58-8386-01	TP53_mut
TCGA-66-2769-01	TP53_wt
TCGA-77-7463-01	TP53_mut
TCGA-77-A5G1-01	TP53_mut
TCGA-18-3409-01	TP53_mut
TCGA-18-4721-01	TP53_mut
TCGA-22-5474-01	TP53_mut
TCGA-22-5483-01	TP53_mut
