sample	group
TCGA-LK-A4O0-01	TP53_wt
TCGA-3U-A98D-01	TP53_wt
TCGA-TS-A7P8-01	TP53_wt
TCGA-3H-AB3T-01	TP53_mut
TCGA-MQ-A6BL-01	TP53_wt
TCGA-TS-A8AS-01	TP53_wt
TCGA-SC-A6LN-01	TP53_wt
TCGA-LK-A4NZ-01	TP53_wt
TCGA-UT-A88E-01	TP53_wt
TCGA-3U-A98F-01	TP53_wt
TCGA-SC-A6LR-01	TP53_wt
TCGA-UT-A88G-01	TP53_wt
TCGA-3H-AB3U-01	TP53_wt
TCGA-3U-A98G-01	TP53_wt
TCGA-NQ-A57I-01	TP53_mut
TCGA-ZN-A9VU-01	TP53_wt
TCGA-3H-AB3S-01	TP53_wt
TCGA-LK-A4O4-01	TP53_wt
TCGA-TS-A8AF-01	TP53_wt
TCGA-3U-A98I-01	TP53_mut
TCGA-SH-A7BD-01	TP53_wt
TCGA-ZN-A9VV-01	TP53_wt
TCGA-MQ-A4LM-01	TP53_wt
TCGA-MQ-A4LP-01	TP53_wt
TCGA-SH-A9CT-01	TP53_wt
TCGA-TS-A7OZ-01	TP53_wt
TCGA-UD-AAC6-01	TP53_wt
TCGA-ZN-A9VS-01	TP53_wt
TCGA-NQ-A638-01	TP53_wt
TCGA-SH-A7BC-01	TP53_wt
TCGA-UD-AAC5-01	TP53_mut
TCGA-UT-A88D-01	TP53_wt
TCGA-YS-AA4M-01	TP53_wt
TCGA-UD-AAC4-01	TP53_wt
TCGA-3H-AB3K-01	TP53_wt
TCGA-LK-A4O7-01	TP53_wt
TCGA-MQ-A4LV-01	TP53_wt
TCGA-3H-AB3X-01	TP53_wt
TCGA-TS-A7OY-01	TP53_wt
TCGA-TS-A7P7-01	TP53_wt
TCGA-TS-A7PB-01	TP53_wt
TCGA-UT-A88C-01	TP53_wt
TCGA-TS-A7P6-01	TP53_wt
TCGA-ZN-A9VQ-01	TP53_wt
TCGA-ZN-A9VW-01	TP53_wt
TCGA-3H-AB3L-01	TP53_mut
TCGA-LK-A4NW-01	TP53_wt
TCGA-SH-A9CU-01	TP53_wt
TCGA-XT-AASU-01	TP53_wt
TCGA-3H-AB3O-01	TP53_wt
TCGA-MQ-A6BQ-01	TP53_wt
TCGA-SC-A6LP-01	TP53_mut
TCGA-TS-A8AI-01	TP53_wt
TCGA-3U-A98H-01	TP53_wt
TCGA-TS-A7P3-01	TP53_wt
TCGA-TS-A7OU-01	TP53_mut
TCGA-3U-A98J-01	TP53_wt
TCGA-MQ-A4KX-01	TP53_wt
TCGA-MQ-A6BS-01	TP53_wt
TCGA-TS-A8AV-01	TP53_wt
TCGA-MQ-A4LC-01	TP53_wt
TCGA-SC-AA5Z-01	TP53_mut
TCGA-YS-A95C-01	TP53_wt
TCGA-MQ-A4LJ-01	TP53_wt
TCGA-TS-A7P1-01	TP53_wt
TCGA-ZN-A9VP-01	TP53_mut
TCGA-UD-AABY-01	TP53_wt
TCGA-UD-AAC7-01	TP53_mut
TCGA-UD-AABZ-01	TP53_wt
TCGA-TS-A7P0-01	TP53_wt
TCGA-ZN-A9VO-01	TP53_wt
TCGA-UT-A97Y-01	TP53_wt
TCGA-MQ-A6BN-01	TP53_wt
TCGA-3U-A98E-01	TP53_mut
TCGA-UD-AAC1-01	TP53_mut
TCGA-LK-A4O5-01	TP53_wt
TCGA-LK-A4NY-01	TP53_wt
TCGA-LK-A4O6-01	TP53_wt
TCGA-SH-A7BH-01	TP53_mut
TCGA-SC-A6LM-01	TP53_wt
TCGA-MQ-A4LI-01	TP53_wt
TCGA-SC-A6LQ-01	TP53_wt
TCGA-LK-A4O2-01	TP53_wt
TCGA-MQ-A6BR-01	TP53_mut
TCGA-3H-AB3M-01	TP53_wt
TCGA-TS-A8AY-01	TP53_wt
TCGA-YS-A95B-01	TP53_wt
