sample	group
TCGA-W2-A7HE-01	TP53_wt
TCGA-S7-A7WM-01	TP53_wt
TCGA-S7-A7WT-01	TP53_wt
TCGA-QR-A700-01	TP53_wt
TCGA-W2-A7HC-01	TP53_wt
TCGA-RW-A8AZ-01	TP53_wt
TCGA-P8-A6RX-01	TP53_wt
TCGA-WB-A81I-01	TP53_wt
TCGA-WB-A80M-01	TP53_wt
TCGA-RW-A686-01	TP53_wt
TCGA-QR-A70K-01	TP53_wt
TCGA-TT-A6YK-01	TP53_wt
TCGA-S7-A7WL-01	TP53_wt
TCGA-W2-A7H7-01	TP53_wt
TCGA-RW-A689-01	TP53_wt
TCGA-WB-A81V-01	TP53_wt
TCGA-QT-A7U0-01	TP53_wt
TCGA-RW-A681-01	TP53_wt
TCGA-P8-A6RY-01	TP53_wt
TCGA-QR-A6H1-01	TP53_wt
TCGA-SR-A6MX-01	TP53_wt
TCGA-QR-A70G-01	TP53_wt
TCGA-WB-A80N-01	TP53_wt
TCGA-QR-A6H0-01	TP53_wt
TCGA-SQ-A6I4-01	TP53_wt
TCGA-S7-A7WX-01	TP53_wt
TCGA-RW-A68G-01	TP53_wt
TCGA-WB-A80K-01	TP53_wt
TCGA-P8-A5KC-01	TP53_wt
TCGA-SP-A6QF-01	TP53_wt
TCGA-PR-A5PH-01	TP53_wt
TCGA-RW-A67X-01	TP53_wt
TCGA-SP-A6QI-01	TP53_wt
TCGA-RM-A68T-01	TP53_wt
TCGA-SP-A6QC-01	TP53_wt
TCGA-WB-A81K-01	TP53_wt
TCGA-WB-A81T-01	TP53_wt
TCGA-RX-A8JQ-01	TP53_wt
TCGA-WB-A81Q-01	TP53_wt
TCGA-QR-A6GO-01	TP53_wt
TCGA-QR-A70R-01	TP53_wt
TCGA-QT-A5XM-01	TP53_wt
TCGA-RW-A68C-01	TP53_wt
TCGA-QR-A6H3-01	TP53_wt
TCGA-SR-A6MR-01	TP53_wt
TCGA-WB-A81W-01	TP53_wt
TCGA-QR-A70W-01	TP53_wt
TCGA-QT-A69Q-01	TP53_wt
TCGA-S7-A7WN-01	TP53_wt
TCGA-WB-A81F-01	TP53_wt
TCGA-WB-A81J-01	TP53_wt
TCGA-WB-A820-01	TP53_wt
TCGA-SQ-A6I6-01	TP53_wt
TCGA-QR-A70M-01	TP53_wt
TCGA-WB-A818-01	TP53_wt
TCGA-QR-A70H-01	TP53_wt
TCGA-WB-A819-01	TP53_wt
TCGA-S7-A7WW-01	TP53_wt
TCGA-QR-A6H2-01	TP53_wt
TCGA-QR-A70Q-01	TP53_wt
TCGA-QR-A70N-01	TP53_wt
TCGA-QR-A6GU-01	TP53_wt
TCGA-QR-A6GZ-01	TP53_wt
TCGA-RT-A6YC-01	TP53_wt
