sample	group
TCGA-AG-4007-01	TP53_wt
TCGA-AG-A014-01	TP53_wt
TCGA-AG-A011-01	TP53_wt
TCGA-AF-4110-01	TP53_mut
TCGA-AG-3594-01	TP53_wt
TCGA-AG-A02X-01	TP53_wt
TCGA-AF-2693-01	TP53_mut
TCGA-AG-3582-01	TP53_wt
TCGA-AG-A00H-01	TP53_wt
TCGA-DY-A1DG-01	TP53_mut
TCGA-AG-3893-01	TP53_wt
TCGA-CI-6622-01	TP53_wt
TCGA-G5-6233-01	TP53_mut
TCGA-AG-3728-01	TP53_wt
TCGA-AH-6644-01	TP53_wt
TCGA-BM-6198-01	TP53_mut
TCGA-AG-3611-01	TP53_wt
TCGA-EF-5831-01	TP53_wt
TCGA-G5-6235-01	TP53_mut
TCGA-AG-A036-01	TP53_wt
TCGA-EI-6884-01	TP53_mut
TCGA-F5-6702-01	TP53_mut
TCGA-AG-3599-01	TP53_wt
TCGA-DC-6158-01	TP53_mut
TCGA-F5-6813-01	TP53_mut
TCGA-AG-3598-01	TP53_wt
TCGA-AG-3883-01	TP53_wt
TCGA-DC-5337-01	TP53_wt
TCGA-AG-3592-01	TP53_mut
TCGA-AG-3601-01	TP53_wt
TCGA-AG-3887-01	TP53_wt
TCGA-AG-A00Y-01	TP53_wt
TCGA-AG-A032-01	TP53_wt
TCGA-DC-6160-01	TP53_mut
TCGA-AG-3580-01	TP53_wt
TCGA-AG-A02N-01	TP53_wt
TCGA-F5-6812-01	TP53_mut
TCGA-G5-6641-01	TP53_wt
TCGA-AF-6655-01	TP53_mut
TCGA-AG-3583-01	TP53_wt
TCGA-AG-A026-01	TP53_wt
TCGA-AG-A02G-01	TP53_wt
TCGA-AH-6549-01	TP53_mut
TCGA-AG-3587-01	TP53_wt
TCGA-AG-3731-01	TP53_mut
TCGA-AG-3894-01	TP53_wt
TCGA-AG-3878-01	TP53_wt
TCGA-AG-4005-01	TP53_wt
TCGA-AG-3581-01	TP53_wt
TCGA-AG-4008-01	TP53_wt
TCGA-CI-6621-01	TP53_mut
TCGA-EI-6883-01	TP53_mut
TCGA-AG-3600-01	TP53_wt
TCGA-AG-3890-01	TP53_wt
TCGA-DC-6156-01	TP53_wt
TCGA-AG-3898-01	TP53_wt
TCGA-AG-3902-01	TP53_wt
TCGA-AF-3913-01	TP53_wt
TCGA-AG-3584-01	TP53_wt
TCGA-AH-6544-01	TP53_mut
TCGA-EI-6507-01	TP53_mut
TCGA-EI-6881-01	TP53_mut
TCGA-EI-6513-01	TP53_wt
TCGA-EI-6882-01	TP53_mut
TCGA-AG-A01L-01	TP53_wt
TCGA-EI-7002-01	TP53_mut
TCGA-AF-2687-01	TP53_mut
TCGA-DC-4749-01	TP53_mut
TCGA-DC-6682-01	TP53_mut
TCGA-F5-6814-01	TP53_mut
TCGA-AF-A56K-01	TP53_mut
TCGA-G5-6572-01	TP53_wt
TCGA-AG-A016-01	TP53_wt
TCGA-AF-3400-01	TP53_wt
TCGA-EF-5830-01	TP53_mut
TCGA-EI-6509-01	TP53_mut
TCGA-EI-6511-01	TP53_mut
TCGA-AG-3575-01	TP53_wt
TCGA-DT-5265-01	TP53_mut
TCGA-AH-6643-01	TP53_mut
TCGA-AF-3911-01	TP53_mut
TCGA-AH-6897-01	TP53_mut
TCGA-DC-6157-01	TP53_mut
TCGA-AH-6903-01	TP53_wt
TCGA-CI-6623-01	TP53_mut
TCGA-AF-6672-01	TP53_mut
TCGA-DC-6683-01	TP53_mut
TCGA-CI-6619-01	TP53_mut
TCGA-AG-A002-01	TP53_wt
TCGA-EI-6917-01	TP53_mut
TCGA-AG-3725-01	TP53_mut
TCGA-CL-5918-01	TP53_mut
TCGA-AG-3574-01	TP53_wt
TCGA-AG-3605-01	TP53_wt
TCGA-AG-3742-01	TP53_mut
TCGA-AG-3896-01	TP53_wt
TCGA-AG-4015-01	TP53_wt
TCGA-AG-4021-01	TP53_mut
TCGA-AG-3881-01	TP53_wt
TCGA-AG-3608-01	TP53_wt
TCGA-AH-6547-01	TP53_wt
TCGA-CL-4957-01	TP53_mut
TCGA-AG-3727-01	TP53_wt
TCGA-AG-3732-01	TP53_mut
TCGA-EI-6506-01	TP53_mut
TCGA-DY-A1DD-01	TP53_mut
TCGA-DY-A1H8-01	TP53_wt
TCGA-EI-6510-01	TP53_mut
TCGA-F5-6464-01	TP53_mut
TCGA-AF-2690-01	TP53_mut
TCGA-AG-3578-01	TP53_wt
TCGA-AG-4001-01	TP53_wt
TCGA-F5-6864-01	TP53_mut
TCGA-AF-5654-01	TP53_wt
TCGA-DY-A1DF-01	TP53_mut
TCGA-AF-6136-01	TP53_mut
TCGA-AG-3586-01	TP53_wt
TCGA-AG-3593-01	TP53_wt
TCGA-DY-A1DC-01	TP53_mut
TCGA-F5-6811-01	TP53_mut
TCGA-AG-3885-01	TP53_wt
TCGA-CL-5917-01	TP53_mut
TCGA-F5-6863-01	TP53_mut
TCGA-DC-6681-01	TP53_wt
TCGA-AG-3909-01	TP53_wt
TCGA-AG-A01N-01	TP53_wt
TCGA-AG-3901-01	TP53_wt
TCGA-AG-A01W-01	TP53_wt
TCGA-AG-3591-01	TP53_mut
TCGA-AG-3602-01	TP53_wt
TCGA-AG-3882-01	TP53_wt
TCGA-AG-3609-01	TP53_wt
TCGA-AG-A015-01	TP53_wt
TCGA-EI-6512-01	TP53_mut
TCGA-F5-6465-01	TP53_mut
TCGA-AG-3726-01	TP53_wt
TCGA-AG-A023-01	TP53_wt
TCGA-AG-A025-01	TP53_wt
TCGA-DC-5869-01	TP53_mut
TCGA-F5-6571-01	TP53_mut
TCGA-AG-3999-01	TP53_wt
TCGA-F5-6861-01	TP53_wt
TCGA-AG-4022-01	TP53_mut
TCGA-AG-A01J-01	TP53_wt
TCGA-EI-6514-01	TP53_mut
TCGA-AG-3892-01	TP53_wt
TCGA-AG-A020-01	TP53_wt
TCGA-DC-6154-01	TP53_mut
TCGA-DY-A0XA-01	TP53_mut
TCGA-EI-6885-01	TP53_mut
TCGA-DY-A1DE-01	TP53_wt
TCGA-AG-3612-01	TP53_wt
TCGA-AF-2692-01	TP53_wt
TCGA-CI-6624-01	TP53_mut
TCGA-AG-A008-01	TP53_wt
TCGA-AG-A00C-01	TP53_wt
TCGA-AG-A01Y-01	TP53_wt
TCGA-DC-4745-01	TP53_mut
TCGA-AF-2691-01	TP53_wt
TCGA-AF-A56L-01	TP53_mut
TCGA-EI-6508-01	TP53_mut
TCGA-AF-A56N-01	TP53_mut
TCGA-AF-2689-01	TP53_wt
TCGA-CI-6620-01	TP53_mut
TCGA-EI-7004-01	TP53_wt
