sample	group
TCGA-MB-A5Y9-01	TP53_wt
TCGA-X6-A7W8-01	TP53_wt
TCGA-FX-A3TO-01	TP53_mut
TCGA-DX-A8BH-01	TP53_mut
TCGA-DX-AB36-01	TP53_wt
TCGA-DX-A8BP-01	TP53_mut
TCGA-DX-A3U9-01	TP53_wt
TCGA-DX-A1KU-01	TP53_wt
TCGA-DX-A23U-01	TP53_wt
TCGA-DX-AB2V-01	TP53_mut
TCGA-DX-A23Y-01	TP53_wt
TCGA-DX-A6B8-01	TP53_mut
TCGA-DX-AB3A-01	TP53_wt
TCGA-IF-A4AJ-01	TP53_mut
TCGA-DX-A3M1-01	TP53_wt
TCGA-DX-AB2P-01	TP53_wt
TCGA-DX-A1L2-01	TP53_wt
TCGA-DX-A48V-01	TP53_mut
TCGA-SG-A849-01	TP53_wt
TCGA-DX-A6BE-01	TP53_wt
TCGA-DX-A8BJ-01	TP53_wt
TCGA-QQ-A5V9-01	TP53_mut
TCGA-3B-A9HO-01	TP53_wt
TCGA-DX-A6YR-01	TP53_wt
TCGA-HB-A3YV-01	TP53_wt
TCGA-QC-A7B5-01	TP53_mut
TCGA-DX-A23Z-01	TP53_wt
TCGA-DX-A6BB-01	TP53_mut
TCGA-DX-A6YV-01	TP53_wt
TCGA-X6-A7WC-01	TP53_mut
TCGA-PC-A5DM-01	TP53_wt
TCGA-DX-A7EQ-01	TP53_wt
TCGA-DX-AATS-01	TP53_mut
TCGA-DX-A7ET-01	TP53_mut
TCGA-VT-AB3D-01	TP53_wt
TCGA-QQ-A8VF-01	TP53_mut
TCGA-WK-A8XX-01	TP53_mut
TCGA-DX-A7ER-01	TP53_wt
TCGA-3B-A9HI-01	TP53_wt
TCGA-3B-A9HJ-01	TP53_wt
TCGA-QC-A6FX-01	TP53_mut
TCGA-3B-A9HL-01	TP53_wt
TCGA-DX-A1KW-01	TP53_wt
TCGA-DX-A3U7-01	TP53_wt
TCGA-K1-A6RV-01	TP53_mut
TCGA-PC-A5DL-01	TP53_wt
TCGA-3B-A9HZ-01	TP53_mut
TCGA-3R-A8YX-01	TP53_wt
TCGA-DX-A1KY-01	TP53_wt
TCGA-DX-A1KZ-01	TP53_wt
TCGA-DX-A3LY-01	TP53_wt
TCGA-VT-A80G-01	TP53_wt
TCGA-DX-A48K-01	TP53_wt
TCGA-DX-AB35-01	TP53_wt
TCGA-DX-A8BQ-01	TP53_wt
TCGA-MB-A5YA-01	TP53_mut
TCGA-PC-A5DK-01	TP53_mut
TCGA-3B-A9I3-01	TP53_mut
TCGA-DX-A3LT-01	TP53_wt
TCGA-DX-A2J0-01	TP53_wt
TCGA-DX-A6YS-01	TP53_wt
TCGA-DX-A7EM-01	TP53_wt
TCGA-3B-A9HS-01	TP53_wt
TCGA-DX-A1L1-01	TP53_wt
TCGA-DX-A1L4-01	TP53_wt
TCGA-DX-A2IZ-01	TP53_wt
TCGA-DX-A2J4-01	TP53_wt
TCGA-DX-A3LU-01	TP53_wt
TCGA-DX-A8BM-01	TP53_wt
TCGA-DX-AB2E-01	TP53_mut
TCGA-DX-A3M2-01	TP53_mut
TCGA-DX-A6YZ-01	TP53_wt
TCGA-DX-A8BL-01	TP53_wt
TCGA-DX-A1L0-01	TP53_wt
TCGA-DX-A8BU-01	TP53_mut
TCGA-DX-A48U-01	TP53_mut
TCGA-DX-A8BV-01	TP53_mut
TCGA-WK-A8XQ-01	TP53_wt
TCGA-DX-A3UD-01	TP53_wt
TCGA-QQ-A8VD-01	TP53_wt
TCGA-X6-A8C2-01	TP53_mut
TCGA-DX-A6B7-01	TP53_mut
TCGA-X6-A8C6-01	TP53_wt
TCGA-X9-A973-01	TP53_wt
TCGA-DX-A3UB-01	TP53_wt
TCGA-FX-A3NJ-01	TP53_wt
TCGA-IE-A4EK-01	TP53_wt
TCGA-3B-A9HT-01	TP53_mut
TCGA-DX-A2J1-01	TP53_mut
TCGA-FX-A3NK-01	TP53_wt
TCGA-DX-A3U5-01	TP53_wt
TCGA-DX-A8BX-01	TP53_wt
TCGA-QQ-A5VD-01	TP53_mut
TCGA-QQ-A8VG-01	TP53_wt
TCGA-RN-AAAQ-01	TP53_wt
TCGA-DX-A240-01	TP53_wt
TCGA-DX-A6BG-01	TP53_wt
TCGA-DX-AB32-01	TP53_mut
TCGA-SI-A71P-01	TP53_wt
TCGA-3B-A9HY-01	TP53_mut
TCGA-MB-A8JK-01	TP53_wt
TCGA-K1-A6RT-01	TP53_mut
