sample	group
TCGA-CD-5804-01	TP53_mut
TCGA-CG-4306-01	TP53_wt
TCGA-F1-6177-01	TP53_wt
TCGA-VQ-A923-01	TP53_mut
TCGA-BR-4366-01	TP53_mut
TCGA-CG-5716-01	TP53_wt
TCGA-CG-4442-01	TP53_wt
TCGA-CG-4304-01	TP53_wt
TCGA-IN-A6RL-01	TP53_mut
TCGA-IN-A6RR-01	TP53_mut
TCGA-CG-4437-01	TP53_wt
TCGA-CG-4441-01	TP53_wt
TCGA-CG-5723-01	TP53_mut
TCGA-CD-5798-01	TP53_wt
TCGA-RD-A7C1-01	TP53_wt
TCGA-BR-7703-01	TP53_mut
TCGA-CG-4449-01	TP53_mut
TCGA-VQ-A927-01	TP53_wt
TCGA-BR-4256-01	TP53_mut
TCGA-D7-5578-01	TP53_mut
TCGA-IN-8462-01	TP53_mut
TCGA-BR-8591-01	TP53_wt
TCGA-CG-4300-01	TP53_mut
TCGA-F1-6874-01	TP53_mut
TCGA-F1-6875-01	TP53_mut
TCGA-FP-8099-01	TP53_mut
TCGA-VQ-A8E3-01	TP53_mut
TCGA-BR-4367-01	TP53_wt
TCGA-KB-A93J-01	TP53_mut
TCGA-MX-A5UG-01	TP53_wt
TCGA-RD-A8N5-01	TP53_wt
TCGA-VQ-A8PE-01	TP53_mut
TCGA-VQ-A91U-01	TP53_mut
TCGA-BR-A4CS-01	TP53_mut
TCGA-D7-6822-01	TP53_mut
TCGA-FP-7735-01	TP53_mut
TCGA-FP-7916-01	TP53_wt
TCGA-FP-7998-01	TP53_wt
TCGA-FP-A9TM-01	TP53_mut
TCGA-HU-A4H8-01	TP53_wt
TCGA-BR-8678-01	TP53_mut
TCGA-CD-A4MG-01	TP53_wt
TCGA-CG-4444-01	TP53_mut
TCGA-CG-4475-01	TP53_wt
TCGA-D7-A6ET-01	TP53_wt
TCGA-HU-8249-01	TP53_wt
TCGA-IN-A6RS-01	TP53_mut
TCGA-VQ-A8PF-01	TP53_wt
TCGA-VQ-A8PP-01	TP53_mut
TCGA-VQ-A8PS-01	TP53_wt
TCGA-BR-4369-01	TP53_wt
TCGA-BR-6707-01	TP53_wt
TCGA-BR-8683-01	TP53_mut
TCGA-D7-6518-01	TP53_mut
TCGA-D7-8575-01	TP53_wt
TCGA-HU-8610-01	TP53_wt
TCGA-HU-A4GH-01	TP53_mut
TCGA-VQ-AA6J-01	TP53_wt
TCGA-B7-A5TJ-01	TP53_mut
TCGA-BR-7851-01	TP53_wt
TCGA-BR-7901-01	TP53_mut
TCGA-CD-8536-01	TP53_wt
TCGA-D7-5579-01	TP53_wt
TCGA-HU-A4G6-01	TP53_wt
TCGA-HU-A4GC-01	TP53_mut
TCGA-IP-7968-01	TP53_mut
TCGA-VQ-A8PO-01	TP53_wt
TCGA-VQ-A91X-01	TP53_mut
TCGA-VQ-A94O-01	TP53_mut
TCGA-CG-5726-01	TP53_wt
TCGA-D7-A4YU-01	TP53_mut
TCGA-HU-A4GU-01	TP53_mut
TCGA-HU-A4HD-01	TP53_mut
TCGA-KB-A6F5-01	TP53_mut
TCGA-VQ-A94T-01	TP53_wt
TCGA-BR-4191-01	TP53_wt
TCGA-BR-8059-01	TP53_wt
TCGA-BR-A4PF-01	TP53_mut
TCGA-CG-4455-01	TP53_wt
TCGA-CG-5725-01	TP53_wt
TCGA-D7-8574-01	TP53_wt
TCGA-D7-8578-01	TP53_mut
TCGA-HU-8245-01	TP53_mut
TCGA-HU-A4H0-01	TP53_wt
TCGA-RD-A8MW-01	TP53_mut
