sample	group
TCGA-V4-A9EE-01	TP53_wt
TCGA-VD-AA8N-01	TP53_wt
TCGA-V4-A9EI-01	TP53_wt
TCGA-VD-AA8O-01	TP53_wt
TCGA-V4-A9E7-01	TP53_wt
TCGA-WC-A888-01	TP53_wt
TCGA-WC-A881-01	TP53_wt
TCGA-WC-A88A-01	TP53_wt
TCGA-YZ-A980-01	TP53_wt
TCGA-V4-A9EO-01	TP53_wt
TCGA-WC-A87U-01	TP53_wt
TCGA-VD-A8KD-01	TP53_wt
TCGA-VD-AA8Q-01	TP53_wt
TCGA-VD-A8KH-01	TP53_wt
TCGA-V4-A9F8-01	TP53_wt
TCGA-VD-A8KF-01	TP53_wt
TCGA-VD-A8KI-01	TP53_wt
TCGA-V4-A9EA-01	TP53_wt
TCGA-VD-A8KM-01	TP53_wt
TCGA-V4-A9EQ-01	TP53_wt
TCGA-VD-AA8M-01	TP53_wt
TCGA-WC-A87T-01	TP53_wt
TCGA-WC-A880-01	TP53_wt
TCGA-V4-A9EL-01	TP53_wt
TCGA-WC-A885-01	TP53_wt
TCGA-WC-AA9E-01	TP53_wt
TCGA-V4-A9F0-01	TP53_wt
TCGA-WC-A87Y-01	TP53_wt
TCGA-V4-A9ET-01	TP53_wt
TCGA-V3-A9ZX-01	TP53_wt
TCGA-V4-A9EF-01	TP53_wt
TCGA-V3-A9ZY-01	TP53_wt
TCGA-VD-A8KK-01	TP53_wt
TCGA-V4-A9EH-01	TP53_wt
TCGA-V4-A9EM-01	TP53_wt
TCGA-VD-A8KJ-01	TP53_wt
TCGA-VD-A8KO-01	TP53_wt
TCGA-V4-A9E9-01	TP53_wt
TCGA-V4-A9E8-01	TP53_wt
TCGA-V4-A9ED-01	TP53_wt
TCGA-V4-A9F4-01	TP53_wt
TCGA-VD-AA8S-01	TP53_wt
TCGA-VD-A8K7-01	TP53_wt
TCGA-V4-A9EJ-01	TP53_wt
TCGA-VD-A8KA-01	TP53_wt
TCGA-V4-A9F5-01	TP53_wt
TCGA-V4-A9EU-01	TP53_wt
TCGA-VD-AA8T-01	TP53_wt
TCGA-YZ-A982-01	TP53_wt
TCGA-V4-A9EZ-01	TP53_wt
TCGA-V4-A9F2-01	TP53_wt
TCGA-V4-A9F7-01	TP53_wt
TCGA-VD-AA8R-01	TP53_wt
TCGA-VD-A8KL-01	TP53_wt
TCGA-WC-A883-01	TP53_wt
TCGA-V4-A9EC-01	TP53_wt
TCGA-VD-A8KE-01	TP53_wt
TCGA-VD-A8K9-01	TP53_wt
TCGA-WC-AA9A-01	TP53_wt
TCGA-V4-A9EY-01	TP53_wt
TCGA-VD-A8KB-01	TP53_wt
TCGA-VD-AA8P-01	TP53_wt
TCGA-VD-A8KN-01	TP53_wt
TCGA-V4-A9EV-01	TP53_wt
TCGA-WC-A87W-01	TP53_wt
TCGA-VD-A8K8-01	TP53_wt
TCGA-V4-A9EX-01	TP53_wt
TCGA-V4-A9ES-01	TP53_wt
TCGA-V4-A9E5-01	TP53_wt
TCGA-YZ-A983-01	TP53_wt
TCGA-WC-A882-01	TP53_wt
TCGA-YZ-A984-01	TP53_wt
TCGA-V4-A9F3-01	TP53_wt
TCGA-RZ-AB0B-01	TP53_wt
TCGA-VD-A8KG-01	TP53_wt
TCGA-V4-A9F1-01	TP53_wt
TCGA-V4-A9EW-01	TP53_wt
TCGA-YZ-A985-01	TP53_wt
TCGA-V4-A9EK-01	TP53_wt
TCGA-WC-A884-01	TP53_wt
