term_id	term_name	source	stat	qval	direction	evidence_genes
GOBP_NUCLEOSOME_ORGANIZATION	GOBP_NUCLEOSOME_ORGANIZATION	fgsea_msigdb_C5_GO_BP_entrez	-1.99096295765433	0.0175628773165611	down	8367,8343,8339,8520,6599,8341,8342,10036,8352,8888,8360,8368,8351,3007,5928,6597,8344,8353,8347,8361,8365,4673,3009,6598,8369,6604,6601,8350,8358,9555,8355,8289
GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION	GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION	fgsea_msigdb_C5_GO_BP_entrez	-1.83238472911841	0.0175628773165611	down	8367,8343,8339,8520,6599,8341,8342,10036,8352,8888,8360,1062,8368,2491,8351,3007,9439,5928,6597,9862,1060,9443,6875,8344,8353,8347,6908,9735,1810,6880,8361,8365,4673,3009,6598,8369,2099,6604,6601,8350,10629,8358,9555,9013,8355,8289,5925,7013,8467,9442
GOBP_REGULATION_OF_MYOBLAST_DIFFERENTIATION	GOBP_REGULATION_OF_MYOBLAST_DIFFERENTIATION	fgsea_msigdb_C5_GO_BP_entrez	-2.00380883508065	0.141481391562966	down	4217,8740,4208,6599,6595,8110,3606,6597,10524,1649,6598,3399,6604,4851,6601,9750,1432,8289,6926,694
GOBP_POSITIVE_REGULATION_OF_MYOBLAST_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_MYOBLAST_DIFFERENTIATION	fgsea_msigdb_C5_GO_BP_entrez	-2.00179035798864	0.141481391562966	down	4217,8740,4208,6599,6595,8110,6597,10524,6598,6604,6601,9750,1432,8289,694
GOBP_MYOBLAST_DIFFERENTIATION	GOBP_MYOBLAST_DIFFERENTIATION	fgsea_msigdb_C5_GO_BP_entrez	-1.82455559090809	0.141481391562966	down	4217,8740,4208,6599,6595,8110,3606,6597,10524,6909,1655,1649,6598,3399,6604,4851,6601,9750,1432,8289,5925,6926,694,3084,3516,9573,6934,9325,4618,2251,4656,652,9794,3479,182,3486,6469,3475
GOBP_CHROMATIN_ORGANIZATION	GOBP_CHROMATIN_ORGANIZATION	fgsea_msigdb_C5_GO_BP_entrez	-1.48384256119154	0.141481391562966	down	8367,6594,2492,8343,5926,10322,8339,8335,8520,6599,8338,8341,8342,10362,9577,10036,10363,1107,6595,6596,8352,8888,8360,8368,8312,2074,2491,8648,8110,5111,8351,11146,9874,3007,5928,6597,10933,6885,10524,3015,6419,4613,3276,9025,9070,8344,7270,8353,8347,1387,6880,3662,8361,9085,3151,5934,8545,8365,4673,3009,9849,9474,9656,9355,6598,434,8850,8369,4152,5931,8468,10013,604,2099,6604,8320,5591,6601,351,5933,11105,8350,4361,7022,5081,10629,1859,2070,9734,8329,8358,9555,4302,8355,5977,4300,10269,8479,10360,8289,5925,10320
GOBP_POSITIVE_REGULATION_OF_DNA_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_DNA_METABOLIC_PROCESS	fgsea_msigdb_C5_GO_BP_entrez	-1.62972466311254	0.162629369870751	down	6599,5594,9577,5982,3356,3565,6188,6595,2067,2074,8741,8110,1161,2068,5111,10694,3320,6597,10933,10524,6419,3276,9025,5983,11284,466,1387,6598,2021,6604,5591,6601,5985,7486,4361,4862,2260,8550,2070,7398,3082,5977,8289,5753,1956,7292,7013,8467,5371,7334,3181,9212,7336,10445,10728,6944,4216
GOBP_REGULATION_OF_DNA_METABOLIC_PROCESS	GOBP_REGULATION_OF_DNA_METABOLIC_PROCESS	fgsea_msigdb_C5_GO_BP_entrez	-1.51778225715953	0.162629369870751	down	990,7291,6599,5594,9577,5982,3356,3565,6188,6595,8505,2067,2074,8741,8110,1161,2068,5111,10694,3320,3007,6597,10933,10524,6419,3276,6714,8870,9025,10721,7270,5983,11284,466,1387,6880,7335,3009,8464,6598,8850,3399,2021,604,6282,6604,5591,6601,7515,5985,5531,7486,4361,4862,2260,8550,10629,2070,7398,3082,5977,1843,10269,9126,8289,5753,1956,7292,7013,8467,5371,7334,3181,7027,9212,7336,2072,10445,10728,6944,7520,4216
GOBP_RESPONSE_TO_POTASSIUM_ION	GOBP_RESPONSE_TO_POTASSIUM_ION	fgsea_msigdb_C5_GO_BP_entrez	1.99877741260731	0.186284546569162	up	1742,11093,8912,1740,4884,10060,1393,3766
GOBP_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	GOBP_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	fgsea_msigdb_C5_GO_BP_entrez	-1.90017717371046	0.186284546569162	down	7430,8525,3783,8517,6188,3988,10892,1445,10666,3958,3932,4068,868,5621,634
GOBP_DETECTION_OF_VISIBLE_LIGHT	GOBP_DETECTION_OF_VISIBLE_LIGHT	fgsea_msigdb_C5_GO_BP_entrez	-1.88927102474739	0.19454519459949	down	5995,6295,9397,3000,5158,5146,5956
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	fgsea_msigdb_C5_GO_BP_entrez	1.89840075314191	0.227221593731788	up	1742,2562,9379,2894,1979,9378,2922,2019,1826,2571,5413,1815,2131,3784,9369,8195,6899,7101,2055
GOBP_REGULATION_OF_CELL_FATE_COMMITMENT	GOBP_REGULATION_OF_CELL_FATE_COMMITMENT	fgsea_msigdb_C5_GO_BP_entrez	-1.87697064380328	0.228808770166528	down	969,3594,1107,3280,5928,6423,3593,5931,2260,5081
GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE	GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE	fgsea_msigdb_C5_GO_BP_entrez	1.82317807286695	0.228808770166528	up	1742,9211,11004,3265,9379,2905,11337,5649,1740,4884,9378,10458,2064,102,2239,4218,1020,9746,4130
