term_id	term_name	source	stat	qval	direction	evidence_genes
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.78751119139419	0.265517849871644	down	6256,8331,1050,2313,8346,8341,8364,3021,8366,8354,1051,1053,3018,688,4609,8360,2033,861,7027,865,8356,8368,4602,8355,8359,8340,8294,8353,6886,8349,8352
REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_SIGNALING_BY_INTERLEUKINS	fgsea_msigdb_C2_CP_REACTOME_entrez	1.48605049582796	0.265517849871644	up	3578,3576,7409,3581,6347,3606,5706,3593,3589,1511,3383,351,9021,3684,6351,5296,177,7525,3601,1438,3553,6950,5657,7534,3575,5694,6778,829,7311,3146,1265,8809,8945,5705,1846,3654,8835,5896,6850,5708,5528,11141,5691,3597,246,11213,6776,9235,5970,10454,3662,5782,5781,5775,11274,3586,595,3574,8808,3565,3557,4001,3600,6647,2208,3162,2353,5062,5908,3091,7076,9466,8968,5803,5897,1385,5604,4215,9978,3082,5721,1326,3605,5443,3497,5682,5566,4208,6363,6175,3566,3567,1278,5609,1901,4843,3503,3716,3500
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.85191283828379	0.289404788363317	down	5347,8331,8346,8341,8364,983,3021,8366,8354,3018,8360,5925,8356,8368,6418,10592,8355,8359,8340,891,8294,8353,8349,8352
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	fgsea_msigdb_C2_CP_REACTOME_entrez	1.84299253642481	0.426802048068877	up	2890,163,7102,2893,160,9463,2892
REACTOME_NEGATIVE_REGULATION_OF_MET_ACTIVITY	REACTOME_NEGATIVE_REGULATION_OF_MET_ACTIVITY	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.81234692363646	0.426802048068877	down	5770,6233,8027,9146,6455,9101,5795,2885,7314,5771,10254,6456
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	fgsea_msigdb_C2_CP_REACTOME_entrez	1.7658734526022	0.426802048068877	up	10694,5204,10693,6950,10381,5203,10575,10383,60,5202,5201,7203,7846,10471,7280
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.71999456131873	0.426802048068877	down	3065,7090,8331,8313,8346,8341,8364,3021,8366,5929,8354,3018,4609,8360,7015,1499,2033,8356,8368,8355,7091,8359,8340,10524,8294,8353,8349,8352
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.68224504766806	0.426802048068877	down	8331,8346,8341,8364,3021,8366,8354,3018,8360,8356,8368,8355,8359,367,8340,8294,8353,8349,8352,8358,8343,8342,10499,5585,8345,8357,8347,8344,354,8361,8370,3012,3017
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.68147973318491	0.426802048068877	down	3065,8331,8346,8341,8364,3021,8366,5929,8354,3018,8360,11091,2033,861,865,8356,8368,8355,8850,8359,8340,8294,8353,8349,8352,8358,5588,8343
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES	REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.60595305313102	0.426802048068877	down	6256,8331,11343,8800,1050,8346,8648,8341,8364,3021,8366,5929,8354,3018,8360,11091,5925,2033,948,8356,892,8368,3991,8031,8355,8359,8340,123,8294,8353,8349,8352,10891,2167,8358,25,10025,8343,8342,8202,10499,8345,8357,9442,8347,9862,9969
