term_id	term_name	source	stat	qval	direction	evidence_genes
GOBP_G0_TO_G1_TRANSITION	GOBP_G0_TO_G1_TRANSITION	fgsea_msigdb_C5_GO_BP_entrez	-2.22497393766447	0.0238792379674977	down	6602,5977,6240,4303,6601,10467,9275,1018,6603,86,8193,605
GOBP_REGULATION_OF_NUCLEOTIDE_EXCISION_REPAIR	GOBP_REGULATION_OF_NUCLEOTIDE_EXCISION_REPAIR	fgsea_msigdb_C5_GO_BP_entrez	-1.99459614688198	0.49438993379351	down	6602,5977,6601,11143,9275,6603,86,8193,605
GOBP_POSITIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE	fgsea_msigdb_C5_GO_BP_entrez	-1.92333760418074	0.49438993379351	down	3553,4049,2213,5788,2208,3263,5245,354,1236
GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION	GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION	fgsea_msigdb_C5_GO_BP_entrez	-1.61080668704514	0.49438993379351	down	6602,8454,2935,8065,5977,7114,8554,1031,1029,6240,6601,11187,896,11277,8450,9275,9113,1022,815,1019,207,1018,5932,6603,86,3400,2255,6241,90,8193,1104,605,1543,301,1032,2735,3398,3741,1654,1021,3624,6868,6929,10106
GOBP_NEGATIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION	GOBP_NEGATIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION	fgsea_msigdb_C5_GO_BP_entrez	-1.93766318624579	0.673376342627534	down	3276,8368,8360,8359,8367,8370,8363,8365,8366
GOBP_HOMOLOGOUS_CHROMOSOME_SEGREGATION	GOBP_HOMOLOGOUS_CHROMOSOME_SEGREGATION	fgsea_msigdb_C5_GO_BP_entrez	1.89361550562075	0.673376342627534	up	11144,1060,7320,10919,11130,7013,9232,10388,898
GOBP_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION	GOBP_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION	fgsea_msigdb_C5_GO_BP_entrez	-1.88622933798023	0.673376342627534	down	4015,3276,8368,8360,8359,4208,8367,8370,8363,3692,8365,7066,3148,8366
GOBP_LUNG_MORPHOGENESIS	GOBP_LUNG_MORPHOGENESIS	fgsea_msigdb_C5_GO_BP_entrez	1.82337346033353	0.673376342627534	up	8091,1522,10252,4838,1605,7472,6469,4781,652,2252,1291,7080,10253,5308,3169,10413,5605,6722
GOBP_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS	GOBP_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS	fgsea_msigdb_C5_GO_BP_entrez	1.80080902636161	0.673376342627534	up	10560,686,10797,55,4548,8875,6513,8876,8884,9963,1719,9446,2356,8566,10588
GOBP_MEGAKARYOCYTE_DIFFERENTIATION	GOBP_MEGAKARYOCYTE_DIFFERENTIATION	fgsea_msigdb_C5_GO_BP_entrez	-1.74372165244352	0.673376342627534	down	4015,3276,4211,8368,8360,2313,8359,4208,2811,8367,2812,8370,8363,2316,3692,8365,7066,3815,3148,6886,8366,2814
GOBP_MEMBRANE_REPOLARIZATION_DURING_ACTION_POTENTIAL	GOBP_MEMBRANE_REPOLARIZATION_DURING_ACTION_POTENTIAL	fgsea_msigdb_C5_GO_BP_entrez	-1.77705266994734	0.864299397087799	down	7531,3762,845,3760,2316,3784,3741,3764,3753,781,9992,4842,481,3757,3736
GOBP_CORTICAL_ACTIN_CYTOSKELETON_ORGANIZATION	GOBP_CORTICAL_ACTIN_CYTOSKELETON_ORGANIZATION	fgsea_msigdb_C5_GO_BP_entrez	-1.75526932639908	0.864299397087799	down	10015,2035,3993,7430,3996,811,2037,9475,10788
GOBP_LUNG_ALVEOLUS_DEVELOPMENT	GOBP_LUNG_ALVEOLUS_DEVELOPMENT	fgsea_msigdb_C5_GO_BP_entrez	1.74815772082831	0.864299397087799	up	4124,9678,5154,2355,652,1291,100,7080,3169,7040,659
GOBP_PROTEIN_NEDDYLATION	GOBP_PROTEIN_NEDDYLATION	fgsea_msigdb_C5_GO_BP_entrez	-1.74325597206383	0.864299397087799	down	6135,2034,1029,9040,9039,8533,9978,10980,4738
GOBP_LUNG_EPITHELIUM_DEVELOPMENT	GOBP_LUNG_EPITHELIUM_DEVELOPMENT	fgsea_msigdb_C5_GO_BP_entrez	1.71224364932605	0.864299397087799	up	3516,8091,7472,2355,6469,4781,652,2252,1291,5310,7080,3169,10413,5605,7965
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	fgsea_msigdb_C5_GO_BP_entrez	-1.66571880518391	0.864299397087799	down	6845,6811,10802,3638,9218,11316,10016,10134,2619,286,9183,5861,9217,10960,1314,10427,10597,10652,10525,6653,10959,11196,8615,11018,5862,4253,1315,1453
GOBP_NUCLEOSOME_ORGANIZATION	GOBP_NUCLEOSOME_ORGANIZATION	fgsea_msigdb_C5_GO_BP_entrez	-1.54462399730748	0.864299397087799	down	6046,8344,6602,8368,8360,3008,6601,6662,8359,1105,8340,8350,8354,8367,6603,8370,8341,3018,8363,3159,3010,8520,8365,8343,8355,3148,8366
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS	GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS	fgsea_msigdb_C5_GO_BP_entrez	-1.43558778244922	0.864299397087799	down	5709,5705,6135,3300,9191,2932,8313,5601,4035,7430,8554,3553,9860,6811,2822,11124,8975,3093,819,9817,3303,6662,8450,6622,4734,10134,10193,1471,207,5045,7474,8742,3156,7076,10098,4953,5245,6625,7480,6923,2316,4088,10755,3304,6642,7079,6449,1454,11267,1855,5582,11213,6653,8312,9992,2670,3586,8451,10795,3949,5270,9978,5476,6790,1460,1452,4092,8239,7078,324,8078,1453,9709,1017
GOBP_CHROMOSOME_ORGANIZATION	GOBP_CHROMOSOME_ORGANIZATION	fgsea_msigdb_C5_GO_BP_entrez	-1.42109388215773	0.864299397087799	down	10015,6602,3834,2072,8313,5371,5977,11284,4798,8368,8360,3008,5394,5119,908,6601,3303,8359,7150,10726,6119,9126,9212,3704,8815,4000,8350,9275,9113,7014,8354,4137,6950,8850,10051,3149,8367,7273,6603,10735,5889,9587,86,9183,8370,6714,5588,7153,8861,8193,1104,605,4733,10595,9031,8363,2316,387,5073,10856,4361,3010,6795,2071,3304,8520,5901,10728,8365,10694,1663,7203,8899,2959,7520,8355,11065,4605,3148,6886,1499,8366,8438,7175,3306,9639
