term_id	term_name	source	stat	qval	direction	evidence_genes
GOBP_NEGATIVE_REGULATION_OF_T_CELL_PROLIFERATION	GOBP_NEGATIVE_REGULATION_OF_T_CELL_PROLIFERATION	fgsea_msigdb_C5_GO_BP_entrez	-1.98477161931883	0.35587102111799	down	5320,9750,1051,868,2064,6385,384,3133,941,8764,5074,5777,6441,2796,11006,1493,11326
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	fgsea_msigdb_C5_GO_BP_entrez	1.91790691962314	0.35587102111799	up	1515,3108,3118,1520,7057,1785,3120,2213,3111,3112,972,1509,7189,3125
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	fgsea_msigdb_C5_GO_BP_entrez	1.86390856128419	0.396975688089212	up	1515,3108,3118,1520,1785,3120,2213,3111,3112,972,1509,7189,3125
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	fgsea_msigdb_C5_GO_BP_entrez	1.7956350975629	0.396975688089212	up	1515,3108,910,3118,5720,3551,6891,1520,1785,3120,2213,3111,3112,972,1509,7189,3125
GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION	GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION	fgsea_msigdb_C5_GO_BP_entrez	-1.61076705529665	0.396975688089212	down	5320,3659,9750,1051,868,6688,2064,928,5580,10653,335,5607,6385,384,5771,3133,5604,969,941,5133,10459,8764,5074,5777,135,6441,2796,182,5270,3956,5465,11006,4192,1493,301,11326,1845,604
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	fgsea_msigdb_C5_GO_BP_entrez	1.81007656729214	0.400887882891189	up	1515,3108,3118,2923,3551,6891,3106,1520,1785,3120,3136,2213,3111,3112,972,1509,3135,7189,3125
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	fgsea_msigdb_C5_GO_BP_entrez	1.66133257000028	0.407269102812802	up	1515,3108,910,3118,5720,2923,3551,6891,3106,1520,7057,1785,3120,3136,2213,3111,5696,3112,972,1509,3135,5873,7189,3125,2131
GOBP_GOLGI_ORGANIZATION	GOBP_GOLGI_ORGANIZATION	fgsea_msigdb_C5_GO_BP_entrez	1.70825237897152	0.455780550806852	up	4669,1453,8548,2804,738,2185,6836,998,10972,10075,5861,10466,2580,983,5205,8934,3801,11196,10419,9183,8615,10282,9659,9529,11235
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	fgsea_msigdb_C5_GO_BP_entrez	1.77298463871945	0.529238269626771	up	1515,3108,3118,3551,6891,1520,1785,3120,2213,3111,3112,972,1509,7189,3125
GOBP_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION	GOBP_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION	fgsea_msigdb_C5_GO_BP_entrez	1.77777040412875	0.569595049594407	up	10626,5317,8689,2146,6093,7538,2296,8626,2137,4831,5583,247,5469,5920,8202
GOBP_T_CELL_MEDIATED_CYTOTOXICITY	GOBP_T_CELL_MEDIATED_CYTOTOXICITY	fgsea_msigdb_C5_GO_BP_entrez	1.73429594006144	0.569595049594407	up	910,8772,5817,7264,3592,5532,6891,3106,9166,3136,5551,2213,634,3135,5027,5873,3004
GOBP_POSITIVE_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION	fgsea_msigdb_C5_GO_BP_entrez	1.78119715694137	0.635216869776163	up	10626,5317,2296,4831,5583,247,5469,5920,8202
GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION	GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION	fgsea_msigdb_C5_GO_BP_entrez	-1.46164318514716	0.635216869776163	down	5320,3659,9750,1051,868,10507,6688,2064,928,1072,5580,347,2039,10653,335,5607,6385,384,5771,3133,5604,4313,8322,969,9037,941,4070,5133,10459,8764,5074,5777,135,6441,3204,2796,182,5270,3956,5465,11006,4192,1493,301,11326,1845,604
