claim_id	entity	direction	context_keys	term_uid	source	term_id	term_name	module_id	module_missing	module_reason	gene_ids	gene_ids_suggest	gene_ids_snippet	gene_ids_n_total	gene_ids_n_in_claim	term_ids	gene_set_hash	context_score	context_evaluated	context_status	context_method	context_confidence	context_reason	select_context_score	select_context_evaluated	select_context_tokens_n	select_context_status_score	select_context_tiebreak	context_signature	context_swap_active	context_gate_mode	context_gate_hit	eligible_context	eligible	term_survival	keep_term	keep_reason	claim_json	preselect_tau_gate	context_score_proxy	select_context_mode	select_context_policy	select_notes	select_diag_n_total	select_diag_n_eligible	select_diag_n_ineligible	select_diag_n_picked	select_diag_blocked_by_module_cap	select_diag_relaxed	select_diag_relax_passes	select_diag_max_per_module	select_diag_ctx_hit_terms	claim_mode	llm_notes	context_notes	context_review_mode	context_ctx_id	context_proxy_method	context_score_proxy_norm	module_context_weight	context_score_proxy_reason	context_score_proxy_n_nonzero	context_tokens_method	context_tokens	context_tokens_n	context_score_proxy_u01	context_score_proxy_u01_norm	context_ctx_id_original	context_ctx_id_effective	context_swap_from	context_swap_to	gene_ids_excel	term_ids_excel	context_gate_applied_pre_audit
c_1f3f18bbb6be	HALLMARK_KRAS_SIGNALING_DN	down	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	fgsea_msigdb_H_entrez	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	M8dd087f86a23	False		8303,5795,1907,3593,1950,1906,10777,5625,10913,11202	8303,5795,1907,3593,1950,1906,10777,5625,10913,11202	8303,5795,1907,3593,1950,1906,10777,5625,10913,11202	36	36	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	7e903b353eb4	0.5150434510791788	False	PASS	none	0.5150434510791788	PROXY_U01_OK	0	True	5	-1	85138761	f736278b847c	True	hard	True	False	False	1.0	True	ok	"{""claim_id"":""c_1f3f18bbb6be"",""entity"":""HALLMARK_KRAS_SIGNALING_DN"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M8dd087f86a23"",""gene_ids"":[""8303"",""5795"",""1907"",""3593"",""1950"",""1906"",""10777"",""5625"",""10913"",""11202"",""3750"",""1237"",""7367"",""7038"",""10753"",""5324"",""7252"",""7771"",""152"",""6531"",""4210"",""5071"",""4908"",""1158"",""658"",""5077"",""2261"",""2827"",""1952"",""727"",""3780"",""2488"",""2593"",""1838"",""6261"",""6474""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN""],""gene_set_hash"":""7e903b353eb4"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=8; relaxed=True; relax_passes=2; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=f736278b847c; ctx_hit_terms=50	50	0	50	50	8	True	2	1	50	deterministic		proxy_context_v2: u=0.515 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=f736278b847c	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.5150434510791788	0.5150434510791788	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA	HNSC	'8303;5795;1907;3593;1950;1906;10777;5625;10913;11202	'fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	False
c_f7cf3c3e9f2b	HALLMARK_P53_PATHWAY	down	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	fgsea_msigdb_H_entrez	HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	M0fefd6c12fcf	False		6520,2309,7062,5912,3725,5883,8651,7508,5925,3625	6520,2309,7062,5912,3725,5883,8651,7508,5925,3625	6520,2309,7062,5912,3725,5883,8651,7508,5925,3625	25	25	fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	5f34f2353cad	0.30170462089314	False	PASS	none	0.30170462089314	PROXY_U01_OK	0	True	5	-1	262795027	f736278b847c	True	hard	True	False	False	1.0	True	ok	"{""claim_id"":""c_f7cf3c3e9f2b"",""entity"":""HALLMARK_P53_PATHWAY"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M0fefd6c12fcf"",""gene_ids"":[""6520"",""2309"",""7062"",""5912"",""3725"",""5883"",""8651"",""7508"",""5925"",""3625"",""1643"",""3654"",""6236"",""11202"",""1030"",""8848"",""1029"",""10906"",""2353"",""3006"",""4851"",""6256"",""5429"",""1263"",""581""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY""],""gene_set_hash"":""5f34f2353cad"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=8; relaxed=True; relax_passes=2; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=f736278b847c; ctx_hit_terms=50	50	0	50	50	8	True	2	1	50	deterministic		proxy_context_v2: u=0.302 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=f736278b847c	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.30170462089314	0.30170462089314	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA	HNSC	'6520;2309;7062;5912;3725;5883;8651;7508;5925;3625	'fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	False
c_e0d368863808	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	down	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	fgsea_msigdb_H_entrez	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	M582d76c74785	False		4353,3087,5524,2242,4155,7001,1728,2879,7295,2730	4353,3087,5524,2242,4155,7001,1728,2879,7295,2730	4353,3087,5524,2242,4155,7001,1728,2879,7295,2730	17	17	fgsea_msigdb_H_entrez:HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	69b0b8728075	0.8172538037645729	False	PASS	none	0.8172538037645729	PROXY_U01_OK	0	True	5	-1	341817183	f736278b847c	True	hard	True	False	False	1.0	True	ok	"{""claim_id"":""c_e0d368863808"",""entity"":""HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M582d76c74785"",""gene_ids"":[""4353"",""3087"",""5524"",""2242"",""4155"",""7001"",""1728"",""2879"",""7295"",""2730"",""5214"",""10587"",""9124"",""2539"",""9588"",""1032"",""4046""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY""],""gene_set_hash"":""69b0b8728075"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=8; relaxed=True; relax_passes=2; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=f736278b847c; ctx_hit_terms=50	50	0	50	50	8	True	2	1	50	deterministic		proxy_context_v2: u=0.817 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=f736278b847c	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.8172538037645729	0.8172538037645729	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA	HNSC	'4353;3087;5524;2242;4155;7001;1728;2879;7295;2730	'fgsea_msigdb_H_entrez:HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	False
c_1d477023785a	HALLMARK_ESTROGEN_RESPONSE_EARLY	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_EARLY	fgsea_msigdb_H_entrez	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	M5c6a5e863372	False		7466,3717,9620,3880,7031,4477,5029,10560,3487,10395	7466,3717,9620,3880,7031,4477,5029,10560,3487,10395	7466,3717,9620,3880,7031,4477,5029,10560,3487,10395	48	48	fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_EARLY	1ff628fdd8e2	0.9444401681946446	False	PASS	none	0.9444401681946446	PROXY_U01_OK	0	True	5	-1	343057220	f736278b847c	True	hard	True	False	False	1.0	True	ok	"{""claim_id"":""c_1d477023785a"",""entity"":""HALLMARK_ESTROGEN_RESPONSE_EARLY"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M5c6a5e863372"",""gene_ids"":[""7466"",""3717"",""9620"",""3880"",""7031"",""4477"",""5029"",""10560"",""3487"",""10395"",""7357"",""595"",""5241"",""7739"",""3480"",""7033"",""596"",""1154"",""7071"",""8204"",""8140"",""6820"",""10514"",""8645"",""8416"",""6566"",""4886"",""4299"",""9145"",""7164"",""771"",""11098"",""1836"",""3705"",""9249"",""2717"",""6542"",""949"",""360"",""2444"",""10105"",""4137"",""10125"",""6387"",""7869"",""6990"",""8614"",""8165""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_EARLY""],""gene_set_hash"":""1ff628fdd8e2"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=8; relaxed=True; relax_passes=2; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=f736278b847c; ctx_hit_terms=50	50	0	50	50	8	True	2	1	50	deterministic		proxy_context_v2: u=0.944 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=f736278b847c	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.9444401681946446	0.9444401681946446	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA	HNSC	'7466;3717;9620;3880;7031;4477;5029;10560;3487;10395	'fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_EARLY	False
c_1ca99d2418da	HALLMARK_TNFA_SIGNALING_VIA_NFKB	down	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB	fgsea_msigdb_H_entrez	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	M94e3395c51b1	False		8303,10209,7422,8767,3725,3593,1906,5329,5271,3569	8303,10209,7422,8767,3725,3593,1906,5329,5271,3569	8303,10209,7422,8767,3725,3593,1906,5329,5271,3569	59	59	fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB	17ee08d73090	0.5578503101011103	False	PASS	none	0.5578503101011103	PROXY_U01_OK	0	True	5	-1	377654793	f736278b847c	True	hard	True	False	False	1.0	True	ok	"{""claim_id"":""c_1ca99d2418da"",""entity"":""HALLMARK_TNFA_SIGNALING_VIA_NFKB"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M94e3395c51b1"",""gene_ids"":[""8303"",""10209"",""7422"",""8767"",""3725"",""3593"",""1906"",""5329"",""5271"",""3569"",""602"",""5971"",""3601"",""2921"",""4616"",""8848"",""2353"",""1880"",""9945"",""7128"",""1960"",""5209"",""11080"",""3624"",""3606"",""4792"",""10950"",""10957"",""3460"",""10365"",""8013"",""330"",""10725"",""2526"",""8877"",""388"",""3398"",""1959"",""9120"",""7097"",""490"",""8942"",""5734"",""329"",""1827"",""10010"",""4088"",""4973"",""5966"",""7185"",""3280"",""650"",""3976"",""5328"",""3949"",""1051"",""1435"",""1942"",""1437""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB""],""gene_set_hash"":""17ee08d73090"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=8; relaxed=True; relax_passes=2; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=f736278b847c; ctx_hit_terms=50	50	0	50	50	8	True	2	1	50	deterministic		proxy_context_v2: u=0.558 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=f736278b847c	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.5578503101011103	0.5578503101011103	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA	HNSC	'8303;10209;7422;8767;3725;3593;1906;5329;5271;3569	'fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB	False
c_57b21bde42d9	HALLMARK_UV_RESPONSE_DN	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN	fgsea_msigdb_H_entrez	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	M40595e9e1c80	False		3397,1301,1843,3491,10395,3037,10401,307,7035,4853	3397,1301,1843,3491,10395,3037,10401,307,7035,4853	3397,1301,1843,3491,10395,3037,10401,307,7035,4853	31	31	fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN	8dc7d2abaa4b	0.9999773375063017	False	PASS	none	0.9999773375063017	PROXY_U01_OK	0	True	5	-1	1245949212	f736278b847c	True	hard	True	False	False	1.0	True	ok	"{""claim_id"":""c_57b21bde42d9"",""entity"":""HALLMARK_UV_RESPONSE_DN"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M40595e9e1c80"",""gene_ids"":[""3397"",""1301"",""1843"",""3491"",""10395"",""3037"",""10401"",""307"",""7035"",""4853"",""3480"",""3915"",""5332"",""2064"",""3382"",""5468"",""7082"",""273"",""6383"",""4233"",""3815"",""6310"",""2152"",""5737"",""594"",""1859"",""4790"",""773"",""1278"",""8405"",""10370""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN""],""gene_set_hash"":""8dc7d2abaa4b"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=8; relaxed=True; relax_passes=2; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=f736278b847c; ctx_hit_terms=50	50	0	50	50	8	True	2	1	50	deterministic		proxy_context_v2: u=1.000 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=f736278b847c	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.9999773375063017	0.9999773375063017	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA	HNSC	'3397;1301;1843;3491;10395;3037;10401;307;7035;4853	'fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN	False
c_171c0407eb92	HALLMARK_XENOBIOTIC_METABOLISM	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM	fgsea_msigdb_H_entrez	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	M974aa022205f	False		2159,3290,1036,8714,4502,3487,760,6580,50,7132	2159,3290,1036,8714,4502,3487,760,6580,50,7132	2159,3290,1036,8714,4502,3487,760,6580,50,7132	41	41	fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM	9bb909b631f8	0.18860755484852199	False	ABSTAIN	none	0.18860755484852199	PROXY_U01_LOW_ABSTAIN	0	True	5	-1	1558907820	f736278b847c	True	hard	True	False	False	1.0	True	ok	"{""claim_id"":""c_171c0407eb92"",""entity"":""HALLMARK_XENOBIOTIC_METABOLISM"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M974aa022205f"",""gene_ids"":[""2159"",""3290"",""1036"",""8714"",""4502"",""3487"",""760"",""6580"",""50"",""7132"",""2729"",""191"",""2571"",""1573"",""10237"",""9054"",""7448"",""5699"",""5627"",""4355"",""9663"",""1543"",""2110"",""355"",""6472"",""9564"",""10857"",""2940"",""873"",""5730"",""10400"",""978"",""2099"",""2192"",""9361"",""217"",""3728"",""3554"",""8644"",""2168"",""5831""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM""],""gene_set_hash"":""9bb909b631f8"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=8; relaxed=True; relax_passes=2; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=f736278b847c; ctx_hit_terms=50	50	0	50	50	8	True	2	1	50	deterministic		proxy_context_v2: u=0.189 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=f736278b847c	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.18860755484852199	0.18860755484852199	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA	HNSC	'2159;3290;1036;8714;4502;3487;760;6580;50;7132	'fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM	True
c_e812e99a345f	HALLMARK_APOPTOSIS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	fgsea_msigdb_H_entrez	HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	M0de123e1b515	False		7124,3659,7818,6709,1017,7832,638,637,3669,6890	7124,3659,7818,6709,1017,7832,638,637,3669,6890	7124,3659,7818,6709,1017,7832,638,637,3669,6890	39	39	fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	12e377f78955	0.597218030864805	False	PASS	none	0.597218030864805	PROXY_U01_OK	0	True	5	-1	1873992174	f736278b847c	True	hard	True	False	False	1.0	True	ok	"{""claim_id"":""c_e812e99a345f"",""entity"":""HALLMARK_APOPTOSIS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M0de123e1b515"",""gene_ids"":[""7124"",""3659"",""7818"",""6709"",""1017"",""7832"",""638"",""637"",""3669"",""6890"",""595"",""3489"",""1191"",""834"",""4313"",""8870"",""2934"",""2064"",""4170"",""1026"",""355"",""6574"",""633"",""5551"",""6304"",""1499"",""2147"",""6041"",""1611"",""7465"",""1676"",""10410"",""2107"",""8900"",""3482"",""10134"",""3552"",""969"",""10682""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS""],""gene_set_hash"":""12e377f78955"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=8; relaxed=True; relax_passes=2; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=f736278b847c; ctx_hit_terms=50	50	0	50	50	8	True	2	1	50	deterministic		proxy_context_v2: u=0.597 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=f736278b847c	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.597218030864805	0.597218030864805	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA	HNSC	'7124;3659;7818;6709;1017;7832;638;637;3669;6890	'fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	False
c_e751a4ca8f36	HALLMARK_ALLOGRAFT_REJECTION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	fgsea_msigdb_H_entrez	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Mfbaf575cb80b	False		7124,3603,3586,5917,3717,3578,925,3111,11222,2213	7124,3603,3586,5917,3717,3578,925,3111,11222,2213	7124,3603,3586,5917,3717,3578,925,3111,11222,2213	41	41	fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	f13f47c0d1be	0.19421841683452845	False	ABSTAIN	none	0.19421841683452845	PROXY_U01_LOW_ABSTAIN	0	True	5	-1	1889909112	f736278b847c	True	hard	True	False	False	1.0	True	ok	"{""claim_id"":""c_e751a4ca8f36"",""entity"":""HALLMARK_ALLOGRAFT_REJECTION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mfbaf575cb80b"",""gene_ids"":[""7124"",""3603"",""3586"",""5917"",""3717"",""3578"",""925"",""3111"",""11222"",""2213"",""6890"",""7163"",""6367"",""6775"",""926"",""4050"",""3937"",""8444"",""8664"",""6891"",""3689"",""5699"",""6170"",""1520"",""2268"",""355"",""6203"",""920"",""9450"",""7903"",""5551"",""3665"",""2147"",""940"",""717"",""6688"",""8807"",""7321"",""6347"",""567"",""4689""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION""],""gene_set_hash"":""f13f47c0d1be"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=8; relaxed=True; relax_passes=2; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=f736278b847c; ctx_hit_terms=50	50	0	50	50	8	True	2	1	50	deterministic		proxy_context_v2: u=0.194 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=f736278b847c	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.19421841683452845	0.19421841683452845	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA	HNSC	'7124;3603;3586;5917;3717;3578;925;3111;11222;2213	'fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	True
c_d736355c4586	HALLMARK_COMPLEMENT	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT	fgsea_msigdb_H_entrez	HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Mfe0c8065e9dd	False		5580,2159,3717,3660,11216,3659,6283,2885,1604,1378	5580,2159,3717,3660,11216,3659,6283,2885,1604,1378	5580,2159,3717,3660,11216,3659,6283,2885,1604,1378	45	45	fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT	69eaef0ee110	0.580286117102425	False	PASS	none	0.580286117102425	PROXY_U01_OK	0	True	5	-1	44163868	f736278b847c	True	hard	True	False	False	0.984375	True	ok	"{""claim_id"":""c_d736355c4586"",""entity"":""HALLMARK_COMPLEMENT"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mfe0c8065e9dd"",""gene_ids"":[""5580"",""2159"",""3717"",""3660"",""11216"",""3659"",""6283"",""2885"",""1604"",""1378"",""4057"",""760"",""1514"",""1191"",""5550"",""1380"",""8851"",""5531"",""7941"",""3937"",""834"",""2811"",""3303"",""462"",""5641"",""9732"",""5216"",""1519"",""712"",""1520"",""1512"",""308"",""3003"",""3665"",""2147"",""717"",""5265"",""2919"",""978"",""2152"",""2820"",""475"",""1847"",""3309"",""4179""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT""],""gene_set_hash"":""69eaef0ee110"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=8; relaxed=True; relax_passes=2; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=f736278b847c; ctx_hit_terms=50	50	0	50	50	8	True	2	1	50	deterministic		proxy_context_v2: u=0.580 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=f736278b847c	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.580286117102425	0.580286117102425	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA	HNSC	'5580;2159;3717;3660;11216;3659;6283;2885;1604;1378	'fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT	False
