term_id	term_name	source	stat	qval	direction	evidence_genes	group_id	invalid_reason	is_summary	is_valid	pval	pval_provided	pval_source	qval_provided	qval_source	term_id_salvaged	term_name_salvaged
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	fgsea_msigdb_H_entrez	1.45555113097432	0.353267024282025	up	3586;6271;2983;5269;3682;5451;7494;5179;3664;4907;1437;5045;333;822;1316;6403;177;10888;3177;9446;6095;307;10538;123;2323;2027;8784;894;8743;10970;11230;3655;8611;5243;650;1291;7850;5167;462			False	True		False	missing	True	qval	False	False
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	fgsea_msigdb_H_entrez	-1.31578590459297	0.446537872029226	down	5468;11044;490;7048;390;546;5054;3488;136;5332;6717;1432;92;594;10000;5607;3638;120;10486;773;1301;2869;3915;6383;4233;8476;2650;10659;1281;10395;7410;8997;4131;1278;7082;5577;657;4092;1628;5922;302			False	True		False	missing	True	qval	False	False
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	fgsea_msigdb_H_entrez	-1.27897076829903	0.446537872029226	down	9172;2049;1306;89;2314;6300;1339;8877;6709;2170;1489;4634;4621;2224;9144;4629;4205;3983;2548;5507;6588;347;7164;8082;5224;4842;6535;4656;3679;5664;4303;6450;3801;1760;1152;70;859;1675;4618;5569;8912;7139;1281;43;3757;2775;3688;4635;1140;6445;1410;10278;9463;1974;178;3486;4622;487;2273;5837;1292;10468			False	True		False	missing	True	qval	False	False
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	fgsea_msigdb_H_entrez	1.31683574608592	0.60483870967742	up	1978;9775;9136;3799;7494;1938;6897;10775;11260;10797;1973;8614;10897;9451;8602;1639;467;9221;10525;4869;4850;9114;6208;2081;3376;1965;10130;11015			False	True		False	missing	True	qval	False	False
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	fgsea_msigdb_H_entrez	1.30288842283365	0.60483870967742	up	3575;3398;11199;10806;2254;5696;5936;5473;3237;1839;101;1437;7805;10320;5649;383;4013;3783;639;9590;7102;629;1363;2995;1848;894;3728;5243;650;3481;8404;10457;4674;6590;4613;9949;9053;2048;208;220;3075;7476;7852;10221;2150;2115;685;2012;9314;10912;3587			False	True		False	missing	True	qval	False	False
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	fgsea_msigdb_H_entrez	1.28385212174347	0.60483870967742	up	7367;3418;3416;3422;847;3155;5052;6599;3295;8800;5244;10005;3417;6833;5194;5243;2182			False	True		False	missing	True	qval	False	False
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	fgsea_msigdb_H_entrez	1.25211164767756	0.62157606405394	up	1665;3251;10935;6175;7458;9136;8886;5245;5036;10575;7965;3183;6599;3939;11260;7514;3192;10549;7332;5687;1973;5111;6434;6732;1982;3608;6194;8761;6164;2806;3068;5713;52;10213;6418;9045;10291;9221;4869;5887;6428;5901;6634;11137;7416;10971;5902;6629;3376;8662;1965;3838;4953;1977;3329;3178;11331;1019;8894;10492;4999;5634;10907;1017;9184;7027;6146;4176;6427;6633;4673			False	True		False	missing	True	qval	False	False
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	fgsea_msigdb_H_entrez	1.17374250887173	0.853115727002967	up	3420;4697;3418;4835;10935;3421;4719;5264;2746;5435;8992;7417;2230;10449;3939;2109;10063;1347;5447;292;6832;4552;1666;3417;4704;1350;10440;2271;2806;509;4190;1327;3028;5018;4724;9550;506;517;1431;6183;6834;4714;7416;4696;1349;1727;9927;4329;515;5166;11331;4698;4694;1345;516;9296;5162;4718;4728			False	True		False	missing	True	qval	False	False
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	fgsea_msigdb_H_entrez	-1.22505660063115	0.903745644599303	down	102;2947;1946;5205;672;5314;3561;5329;9465;351;2625;4118			False	True		False	missing	True	qval	False	False
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	fgsea_msigdb_H_entrez	1.17221186455413	0.903745644599303	up	3418;3422;847;5264;6579;3932;189;3295;8800;5213;5193;3417;24;5194;4306;21;6718;2232;5824;9023;19;5002;2030;5191			False	True		False	missing	True	qval	False	False
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	fgsea_msigdb_H_entrez	1.15922167642137	0.903745644599303	up	9136;8886;5245;5036;7965;3177;6832;6573;9221;4869;9238;4839;2193;3329;1019;705			False	True		False	missing	True	qval	False	False
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	fgsea_msigdb_H_entrez	1.12653091195717	0.903745644599303	up	3659;2766;3107;10964;3574;5696;1997;3437;10379;1267;8767			False	True		False	missing	True	qval	False	False
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	fgsea_msigdb_H_entrez	-1.07981026879195	0.903745644599303	down	8321;8819;6934;10402;5664			False	True		False	missing	True	qval	False	False
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	fgsea_msigdb_H_entrez	1.05838213969476	0.903745644599303	up	5531;2155;1604;1519;1012;3659;2157;7077;8942;3932;2815;2230;3988;3796;710;7454;629;1512;4035;3684;88;1380;1368;5646;1848;5698;2159;8851;7980;4321;462;1191;735			False	True		False	missing	True	qval	False	False
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	fgsea_msigdb_H_entrez	1.05274075961311	0.903745644599303	up	5300;1845;2251;1213;6197;8822;3932;3565;7323;2872;10451;1869;1173;7529;8503;10392			False	True		False	missing	True	qval	False	False
