raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	dropped_n	dropped_genes_str	dropped_genes_symbols_str	notes	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
0	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	fgsea_msigdb_H_entrez	1.45555113097432	0.353267024282025	up	['3586', '6271', '2983', '5269', '3682', '5451', '7494', '5179', '3664', '4907', '1437', '5045', '333', '822', '1316', '6403', '177', '10888', '3177', '9446', '6095', '307', '10538', '123', '2323', '2027', '8784', '894', '8743', '10970', '11230', '3655', '8611', '5243', '650', '1291', '7850', '5167', '462']		False		False	False	3586;6271;2983;5269;3682;5451;7494;5179;3664;4907;1437;5045;333;822;1316;6403;177;10888;3177;9446;6095;307;10538;123;2323;2027;8784;894;8743;10970;11230;3655;8611;5243;650;1291;7850;5167;462	True		qval	True	missing	False	42	True	39	0	0				0	fgsea_msigdb_H_entrez:HALLMARK_IL2_STAT5_SIGNALING	evidence_perturb	True	1118	True	False	1		0.953125	61	64	computed	0.953125	4766895c8102	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.854420731707317	0.8982371794871795	0.9458297095577168	0.953125	True	ok	off		Me15483fa6316	False	0.953125	1	1	term_survival:min
1	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	fgsea_msigdb_H_entrez	-1.31578590459297	0.446537872029226	down	['5468', '11044', '490', '7048', '390', '546', '5054', '3488', '136', '5332', '6717', '1432', '92', '594', '10000', '5607', '3638', '120', '10486', '773', '1301', '2869', '3915', '6383', '4233', '8476', '2650', '10659', '1281', '10395', '7410', '8997', '4131', '1278', '7082', '5577', '657', '4092', '1628', '5922', '302']		False		False	False	5468;11044;490;7048;390;546;5054;3488;136;5332;6717;1432;92;594;10000;5607;3638;120;10486;773;1301;2869;3915;6383;4233;8476;2650;10659;1281;10395;7410;8997;4131;1278;7082;5577;657;4092;1628;5922;302	True		qval	True	missing	False	42	True	41	0	0				1	fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN	evidence_perturb	True	1118	True	False	1		0.984375	63	64	computed	0.984375	b2a9cc3961b0	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8619186046511627	0.9039634146341463	0.9486608635374582	0.984375	True	ok	off		Mef5a8baaf749	False	0.984375	1	1	term_survival:min
2	HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	fgsea_msigdb_H_entrez	-1.27897076829903	0.446537872029226	down	['9172', '2049', '1306', '89', '2314', '6300', '1339', '8877', '6709', '2170', '1489', '4634', '4621', '2224', '9144', '4629', '4205', '3983', '2548', '5507', '6588', '347', '7164', '8082', '5224', '4842', '6535', '4656', '3679', '5664', '4303', '6450', '3801', '1760', '1152', '70', '859', '1675', '4618', '5569', '8912', '7139', '1281', '43', '3757', '2775', '3688', '4635', '1140', '6445', '1410', '10278', '9463', '1974', '178', '3486', '4622', '487', '2273', '5837', '1292', '10468']		False		False	False	9172;2049;1306;89;2314;6300;1339;8877;6709;2170;1489;4634;4621;2224;9144;4629;4205;3983;2548;5507;6588;347;7164;8082;5224;4842;6535;4656;3679;5664;4303;6450;3801;1760;1152;70;859;1675;4618;5569;8912;7139;1281;43;3757;2775;3688;4635;1140;6445;1410;10278;9463;1974;178;3486;4622;487;2273;5837;1292;10468	True		qval	True	missing	False	42	True	62	0	0				2	fgsea_msigdb_H_entrez:HALLMARK_MYOGENESIS	evidence_perturb	True	1118	True	False	1		0.984375	63	64	computed	0.984375	81e4407a4c0c	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8564903846153846	0.8979334677419355	0.9487899520653287	0.984375	True	ok	off		M6e92991b36f9	False	0.984375	1	1	term_survival:min
3	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	fgsea_msigdb_H_entrez	1.31683574608592	0.60483870967742	up	['1978', '9775', '9136', '3799', '7494', '1938', '6897', '10775', '11260', '10797', '1973', '8614', '10897', '9451', '8602', '1639', '467', '9221', '10525', '4869', '4850', '9114', '6208', '2081', '3376', '1965', '10130', '11015']		False		False	False	1978;9775;9136;3799;7494;1938;6897;10775;11260;10797;1973;8614;10897;9451;8602;1639;467;9221;10525;4869;4850;9114;6208;2081;3376;1965;10130;11015	True		qval	True	missing	False	42	True	28	0	0				3	fgsea_msigdb_H_entrez:HALLMARK_UNFOLDED_PROTEIN_RESPONSE	evidence_perturb	True	1118	True	False	1		0.890625	57	64	computed	0.890625	fb71dd771bef	0.890625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8491379310344828	0.8794642857142858	0.9608111255970139	0.890625	True	ok	off		M82e0640a47c1	False	0.890625	1	1	term_survival:min
4	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	fgsea_msigdb_H_entrez	1.30288842283365	0.60483870967742	up	['3575', '3398', '11199', '10806', '2254', '5696', '5936', '5473', '3237', '1839', '101', '1437', '7805', '10320', '5649', '383', '4013', '3783', '639', '9590', '7102', '629', '1363', '2995', '1848', '894', '3728', '5243', '650', '3481', '8404', '10457', '4674', '6590', '4613', '9949', '9053', '2048', '208', '220', '3075', '7476', '7852', '10221', '2150', '2115', '685', '2012', '9314', '10912', '3587']		False		False	False	3575;3398;11199;10806;2254;5696;5936;5473;3237;1839;101;1437;7805;10320;5649;383;4013;3783;639;9590;7102;629;1363;2995;1848;894;3728;5243;650;3481;8404;10457;4674;6590;4613;9949;9053;2048;208;220;3075;7476;7852;10221;2150;2115;685;2012;9314;10912;3587	True		qval	True	missing	False	42	True	51	0	0				4	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	evidence_perturb	True	1118	True	False	1		0.96875	62	64	computed	0.96875	6c68804f75a6	0.96875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8472222222222222	0.8970588235294119	0.9383072668566066	0.96875	True	ok	off		M59c7ffed55d0	False	0.96875	1	1	term_survival:min
5	HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	fgsea_msigdb_H_entrez	1.28385212174347	0.60483870967742	up	['7367', '3418', '3416', '3422', '847', '3155', '5052', '6599', '3295', '8800', '5244', '10005', '3417', '6833', '5194', '5243', '2182']		False		False	False	7367;3418;3416;3422;847;3155;5052;6599;3295;8800;5244;10005;3417;6833;5194;5243;2182	True		qval	True	missing	False	42	True	17	0	0				5	fgsea_msigdb_H_entrez:HALLMARK_PEROXISOME	evidence_perturb	True	1118	True	False	1		0.921875	59	64	computed	0.921875	7e315c942cec	0.921875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8446180555555556	0.8943014705882353	0.9379960317460319	0.921875	True	ok	off		M64e4eb78cf7f	False	0.921875	2	2	term_survival:min
6	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	fgsea_msigdb_H_entrez	1.25211164767756	0.62157606405394	up	['1665', '3251', '10935', '6175', '7458', '9136', '8886', '5245', '5036', '10575', '7965', '3183', '6599', '3939', '11260', '7514', '3192', '10549', '7332', '5687', '1973', '5111', '6434', '6732', '1982', '3608', '6194', '8761', '6164', '2806', '3068', '5713', '52', '10213', '6418', '9045', '10291', '9221', '4869', '5887', '6428', '5901', '6634', '11137', '7416', '10971', '5902', '6629', '3376', '8662', '1965', '3838', '4953', '1977', '3329', '3178', '11331', '1019', '8894', '10492', '4999', '5634', '10907', '1017', '9184', '7027', '6146', '4176', '6427', '6633', '4673']		False		False	False	1665;3251;10935;6175;7458;9136;8886;5245;5036;10575;7965;3183;6599;3939;11260;7514;3192;10549;7332;5687;1973;5111;6434;6732;1982;3608;6194;8761;6164;2806;3068;5713;52;10213;6418;9045;10291;9221;4869;5887;6428;5901;6634;11137;7416;10971;5902;6629;3376;8662;1965;3838;4953;1977;3329;3178;11331;1019;8894;10492;4999;5634;10907;1017;9184;7027;6146;4176;6427;6633;4673	True		qval	True	missing	False	42	True	71	0	0				6	fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1	evidence_perturb	True	1118	True	False	1		1.0	64	64	computed	1.0	ea2211bd5509	1.0	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8583333333333334	0.9066901408450704	0.9414368873889056	1.0	True	ok	off		M04d093193c05	False	0.890625	3	3	term_survival:min
7	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	fgsea_msigdb_H_entrez	1.17374250887173	0.853115727002967	up	['3420', '4697', '3418', '4835', '10935', '3421', '4719', '5264', '2746', '5435', '8992', '7417', '2230', '10449', '3939', '2109', '10063', '1347', '5447', '292', '6832', '4552', '1666', '3417', '4704', '1350', '10440', '2271', '2806', '509', '4190', '1327', '3028', '5018', '4724', '9550', '506', '517', '1431', '6183', '6834', '4714', '7416', '4696', '1349', '1727', '9927', '4329', '515', '5166', '11331', '4698', '4694', '1345', '516', '9296', '5162', '4718', '4728']		False		False	False	3420;4697;3418;4835;10935;3421;4719;5264;2746;5435;8992;7417;2230;10449;3939;2109;10063;1347;5447;292;6832;4552;1666;3417;4704;1350;10440;2271;2806;509;4190;1327;3028;5018;4724;9550;506;517;1431;6183;6834;4714;7416;4696;1349;1727;9927;4329;515;5166;11331;4698;4694;1345;516;9296;5162;4718;4728	True		qval	True	missing	False	42	True	59	0	0				7	fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION	evidence_perturb	True	1118	True	False	1		0.984375	63	64	computed	0.984375	7c3cb3ccb2ce	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8588709677419355	0.902542372881356	0.9465668030558482	0.984375	True	ok	off		Mebd207408d92	False	0.984375	1	1	term_survival:min
8	HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	fgsea_msigdb_H_entrez	-1.22505660063115	0.903745644599303	down	['102', '2947', '1946', '5205', '672', '5314', '3561', '5329', '9465', '351', '2625', '4118']		False		False	False	102;2947;1946;5205;672;5314;3561;5329;9465;351;2625;4118	True		qval	True	missing	False	42	True	12	0	0				8	fgsea_msigdb_H_entrez:HALLMARK_APICAL_SURFACE	evidence_perturb	True	1118	True	False	1		0.90625	58	64	computed	0.90625	b9a2fc38622b	0.90625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.84375	0.9140625	0.9158319978632479	0.90625	True	ok	off		Mc78b0e69ccf9	False	0.90625	1	1	term_survival:min
9	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	fgsea_msigdb_H_entrez	1.17221186455413	0.903745644599303	up	['3418', '3422', '847', '5264', '6579', '3932', '189', '3295', '8800', '5213', '5193', '3417', '24', '5194', '4306', '21', '6718', '2232', '5824', '9023', '19', '5002', '2030', '5191']		False		False	False	3418;3422;847;5264;6579;3932;189;3295;8800;5213;5193;3417;24;5194;4306;21;6718;2232;5824;9023;19;5002;2030;5191	True		qval	True	missing	False	42	True	24	0	0				9	fgsea_msigdb_H_entrez:HALLMARK_BILE_ACID_METABOLISM	evidence_perturb	True	1118	True	False	1		0.921875	59	64	computed	0.921875	44a35dc3281c	0.921875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.859375	0.8951822916666666	0.9553165114144784	0.921875	True	ok	off		M64e4eb78cf7f	False	0.921875	2	2	term_survival:min
