term_uid	gene_id	weight	gene_term_degree	term_gene_degree
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	10010	1.0	2	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	10124	1.0	3	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	10243	1.0	1	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	11176	1.0	1	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	1349	1.0	1	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	1376	1.0	2	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	1468	1.0	2	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	2101	1.0	1	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	284	1.0	1	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	33	1.0	2	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	3417	1.0	6	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	3419	1.0	1	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	3421	1.0	2	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	35	1.0	2	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	3679	1.0	2	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	3910	1.0	1	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	4056	1.0	2	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	4638	1.0	3	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	4698	1.0	1	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	5211	1.0	1	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	5495	1.0	1	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	6453	1.0	2	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	6647	1.0	5	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	6776	1.0	2	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	7532	1.0	1	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	847	1.0	5	27
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	9936	1.0	1	27
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	1029	1.0	3	34
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	1445	1.0	1	34
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	1520	1.0	3	34
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	2147	1.0	4	34
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3091	1.0	4	34
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3108	1.0	2	34
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3133	1.0	1	34
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3383	1.0	6	34
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3394	1.0	5	34
