claim_id	entity	direction	context_keys	term_uid	source	term_id	term_name	module_id	module_missing	module_reason	gene_ids	gene_ids_suggest	gene_ids_snippet	gene_ids_n_total	gene_ids_n_in_claim	term_ids	gene_set_hash	context_score	context_evaluated	context_status	context_method	context_confidence	context_reason	select_context_score	select_context_evaluated	select_context_tokens_n	select_context_status_score	select_context_tiebreak	context_signature	context_swap_active	context_gate_mode	context_gate_hit	eligible_context	eligible	term_survival	keep_term	keep_reason	claim_json	preselect_tau_gate	context_score_proxy	select_context_mode	select_context_policy	select_notes	select_diag_n_total	select_diag_n_eligible	select_diag_n_ineligible	select_diag_n_picked	select_diag_blocked_by_module_cap	select_diag_relaxed	select_diag_relax_passes	select_diag_max_per_module	select_diag_ctx_hit_terms	claim_mode	llm_notes	context_notes	context_review_mode	context_ctx_id	context_proxy_method	context_score_proxy_norm	module_context_weight	context_score_proxy_reason	context_score_proxy_n_nonzero	context_tokens_method	context_tokens	context_tokens_n	context_score_proxy_u01	context_score_proxy_u01_norm	context_ctx_id_original	context_ctx_id_effective	context_swap_from	context_swap_to	gene_ids_excel	term_ids_excel	context_gate_applied_pre_audit
c_b4f5967b6d41	HALLMARK_MYC_TARGETS_V1	down	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1	fgsea_msigdb_H_entrez	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	M185bfaab1d7a	False		11331,4706,2739,5425,11335,4953,5704,8761,7458,5714	11331,4706,2739,5425,11335,4953,5704,8761,7458,5714	11331,4706,2739,5425,11335,4953,5704,8761,7458,5714	75	75	fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1	15e739356fb0	0.4925098453655212	False	PASS	none	0.4925098453655212	PROXY_U01_OK	0	True	4	-1	252891054	943d9e5f0558	True	hard	True	False	False	1.0	True	ok	"{""claim_id"":""c_b4f5967b6d41"",""entity"":""HALLMARK_MYC_TARGETS_V1"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M185bfaab1d7a"",""gene_ids"":[""11331"",""4706"",""2739"",""5425"",""11335"",""4953"",""5704"",""8761"",""7458"",""5714"",""7398"",""6723"",""7284"",""1982"",""6141"",""3326"",""3336"",""4173"",""8664"",""10574"",""1973"",""3329"",""3475"",""5709"",""4609"",""6637"",""6626"",""5245"",""10856"",""5250"",""5984"",""7027"",""7555"",""7307"",""8669"",""1176"",""3192"",""3183"",""5902"",""3066"",""6418"",""2806"",""10935"",""10728"",""6633"",""10291"",""6599"",""10576"",""2079"",""7514"",""7324"",""6204"",""6164"",""3251"",""10155"",""6426"",""5683"",""6741"",""6634"",""5707"",""11260"",""5685"",""6427"",""10236"",""7411"",""1965"",""6193"",""328"",""5111"",""790"",""5478"",""6128"",""3838"",""10971"",""3068""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1""],""gene_set_hash"":""15e739356fb0"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=13; relaxed=True; relax_passes=7; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=943d9e5f0558; ctx_hit_terms=50	50	0	50	50	13	True	7	1	50	deterministic		proxy_context_v2: u=0.493 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=943d9e5f0558	proxy	OV|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	tumor;genotype;tp53;mut	4	0.4925098453655212	0.4925098453655212	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	OV|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC	OV	'11331;4706;2739;5425;11335;4953;5704;8761;7458;5714	'fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1	False
c_945e375c06bf	HALLMARK_MYOGENESIS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_MYOGENESIS	fgsea_msigdb_H_entrez	HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	M5ead73a52566	False		88,1146,4656,351,4625,8877,6261,6678,8557,1158	88,1146,4656,351,4625,8877,6261,6678,8557,1158	88,1146,4656,351,4625,8877,6261,6678,8557,1158	52	52	fgsea_msigdb_H_entrez:HALLMARK_MYOGENESIS	8a7961bb6073	0.07249864636307812	False	ABSTAIN	none	0.07249864636307812	PROXY_U01_LOW_ABSTAIN	0	True	4	-1	914806412	943d9e5f0558	True	hard	True	False	False	1.0	True	ok	"{""claim_id"":""c_945e375c06bf"",""entity"":""HALLMARK_MYOGENESIS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M5ead73a52566"",""gene_ids"":[""88"",""1146"",""4656"",""351"",""4625"",""8877"",""6261"",""6678"",""8557"",""1158"",""3479"",""4638"",""1728"",""6709"",""7135"",""3908"",""1012"",""6764"",""1974"",""3679"",""3486"",""2170"",""5348"",""2065"",""7125"",""115"",""786"",""8038"",""10014"",""8553"",""4208"",""1281"",""9463"",""2049"",""6445"",""4622"",""2548"",""58"",""11156"",""208"",""6840"",""2934"",""5740"",""6450"",""4619"",""5213"",""7136"",""5507"",""8048"",""7139"",""9659"",""2702""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_MYOGENESIS""],""gene_set_hash"":""8a7961bb6073"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=13; relaxed=True; relax_passes=7; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=943d9e5f0558; ctx_hit_terms=50	50	0	50	50	13	True	7	1	50	deterministic		proxy_context_v2: u=0.072 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=943d9e5f0558	proxy	OV|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	tumor;genotype;tp53;mut	4	0.07249864636307812	0.07249864636307812	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	OV|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC	OV	'88;1146;4656;351;4625;8877;6261;6678;8557;1158	'fgsea_msigdb_H_entrez:HALLMARK_MYOGENESIS	True
c_3ad4e9b055e8	HALLMARK_ADIPOGENESIS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	fgsea_msigdb_H_entrez	HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	M73196869f3e4	False		3419,3417,847,1349,35,1468,10124,33,7532,4056	3419,3417,847,1349,35,1468,10124,33,7532,4056	3419,3417,847,1349,35,1468,10124,33,7532,4056	27	27	fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	837bcc33d16a	0.4901475349069264	False	PASS	none	0.4901475349069264	PROXY_U01_OK	0	True	4	-1	1026087679	943d9e5f0558	True	hard	True	False	False	1.0	True	ok	"{""claim_id"":""c_3ad4e9b055e8"",""entity"":""HALLMARK_ADIPOGENESIS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M73196869f3e4"",""gene_ids"":[""3419"",""3417"",""847"",""1349"",""35"",""1468"",""10124"",""33"",""7532"",""4056"",""5495"",""284"",""10243"",""4638"",""5211"",""6776"",""3679"",""4698"",""3421"",""6453"",""1376"",""11176"",""2101"",""6647"",""10010"",""9936"",""3910""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS""],""gene_set_hash"":""837bcc33d16a"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=13; relaxed=True; relax_passes=7; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=943d9e5f0558; ctx_hit_terms=50	50	0	50	50	13	True	7	1	50	deterministic		proxy_context_v2: u=0.490 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=943d9e5f0558	proxy	OV|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	tumor;genotype;tp53;mut	4	0.4901475349069264	0.4901475349069264	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	OV|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC	OV	'3419;3417;847;1349;35;1468;10124;33;7532;4056	'fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	False
c_9758b223e31b	HALLMARK_OXIDATIVE_PHOSPHORYLATION	down	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION	fgsea_msigdb_H_entrez	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	M5a842f826efc	False		11331,3052,2230,539,8604,4706,481,10989,293,4708	11331,3052,2230,539,8604,4706,481,10989,293,4708	11331,3052,2230,539,8604,4706,481,10989,293,4708	41	41	fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION	173584748a65	0.3429248614949192	False	PASS	none	0.3429248614949192	PROXY_U01_OK	0	True	4	-1	1048189317	943d9e5f0558	True	hard	True	False	False	1.0	True	ok	"{""claim_id"":""c_9758b223e31b"",""entity"":""HALLMARK_OXIDATIVE_PHOSPHORYLATION"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M5a842f826efc"",""gene_ids"":[""11331"",""3052"",""2230"",""539"",""8604"",""4706"",""481"",""10989"",""293"",""4708"",""593"",""1329"",""4967"",""4713"",""1352"",""516"",""10884"",""5162"",""8402"",""1327"",""7388"",""1738"",""528"",""3030"",""521"",""5250"",""4723"",""4700"",""5264"",""7381"",""8992"",""1891"",""2806"",""10935"",""6832"",""4695"",""8802"",""518"",""514"",""10440"",""506""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION""],""gene_set_hash"":""173584748a65"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=13; relaxed=True; relax_passes=7; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=943d9e5f0558; ctx_hit_terms=50	50	0	50	50	13	True	7	1	50	deterministic		proxy_context_v2: u=0.343 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=943d9e5f0558	proxy	OV|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	tumor;genotype;tp53;mut	4	0.3429248614949192	0.3429248614949192	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	OV|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC	OV	'11331;3052;2230;539;8604;4706;481;10989;293;4708	'fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION	False
c_983474591601	HALLMARK_KRAS_SIGNALING_UP	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	fgsea_msigdb_H_entrez	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	M89aae9c384ba	False		3394,101,650,7476,9053,7102,10806,951,1438,3553	3394,101,650,7476,9053,7102,10806,951,1438,3553	3394,101,650,7476,9053,7102,10806,951,1438,3553	41	41	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	f7da98ff7077	0.4810819823477701	False	PASS	none	0.4810819823477701	PROXY_U01_OK	0	True	4	-1	1502830365	943d9e5f0558	True	hard	True	False	False	1.0	True	ok	"{""claim_id"":""c_983474591601"",""entity"":""HALLMARK_KRAS_SIGNALING_UP"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M89aae9c384ba"",""gene_ids"":[""3394"",""101"",""650"",""7476"",""9053"",""7102"",""10806"",""951"",""1438"",""3553"",""2556"",""3575"",""5649"",""330"",""1520"",""2324"",""2048"",""5936"",""4013"",""1794"",""3486"",""8808"",""4674"",""2791"",""8829"",""5329"",""5328"",""6868"",""5396"",""7852"",""1149"",""208"",""3080"",""3728"",""7185"",""4318"",""5284"",""1363"",""10320"",""7139"",""5121""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP""],""gene_set_hash"":""f7da98ff7077"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=13; relaxed=True; relax_passes=7; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=943d9e5f0558; ctx_hit_terms=50	50	0	50	50	13	True	7	1	50	deterministic		proxy_context_v2: u=0.481 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=943d9e5f0558	proxy	OV|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	tumor;genotype;tp53;mut	4	0.4810819823477701	0.4810819823477701	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	OV|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC	OV	'3394;101;650;7476;9053;7102;10806;951;1438;3553	'fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	False
c_e4e08af5898d	HALLMARK_PANCREAS_BETA_CELLS	down	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_PANCREAS_BETA_CELLS	fgsea_msigdb_H_entrez	HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	M45244dbc14ff	False		5080,5126,6727,7421,3651,5313,6514,3170,6726,9935	5080,5126,6727,7421,3651,5313,6514,3170,6726,9935	5080,5126,6727,7421,3651,5313,6514,3170,6726,9935	10	10	fgsea_msigdb_H_entrez:HALLMARK_PANCREAS_BETA_CELLS	6360277662e1	0.5896628515212539	False	PASS	none	0.5896628515212539	PROXY_U01_OK	0	True	4	-1	1696724486	943d9e5f0558	True	hard	True	False	False	1.0	True	ok	"{""claim_id"":""c_e4e08af5898d"",""entity"":""HALLMARK_PANCREAS_BETA_CELLS"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M45244dbc14ff"",""gene_ids"":[""5080"",""5126"",""6727"",""7421"",""3651"",""5313"",""6514"",""3170"",""6726"",""9935""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_PANCREAS_BETA_CELLS""],""gene_set_hash"":""6360277662e1"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=13; relaxed=True; relax_passes=7; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=943d9e5f0558; ctx_hit_terms=50	50	0	50	50	13	True	7	1	50	deterministic		proxy_context_v2: u=0.590 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=943d9e5f0558	proxy	OV|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	tumor;genotype;tp53;mut	4	0.5896628515212539	0.5896628515212539	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	OV|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC	OV	'5080;5126;6727;7421;3651;5313;6514;3170;6726;9935	'fgsea_msigdb_H_entrez:HALLMARK_PANCREAS_BETA_CELLS	False
c_dc695d2c1c30	HALLMARK_HYPOXIA	down	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA	fgsea_msigdb_H_entrez	HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	M17ef41b199c3	False		8609,1942,4601,7436,2745,5163,133,6533,596,8459	8609,1942,4601,7436,2745,5163,133,6533,596,8459	8609,1942,4601,7436,2745,5163,133,6533,596,8459	36	36	fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA	bac2641166b0	0.46158963404236775	False	PASS	none	0.46158963404236775	PROXY_U01_OK	0	True	4	-1	1966803087	943d9e5f0558	True	hard	True	False	False	1.0	True	ok	"{""claim_id"":""c_dc695d2c1c30"",""entity"":""HALLMARK_HYPOXIA"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M17ef41b199c3"",""gene_ids"":[""8609"",""1942"",""4601"",""7436"",""2745"",""5163"",""133"",""6533"",""596"",""8459"",""10370"",""1634"",""7511"",""2113"",""1907"",""2023"",""3340"",""7052"",""136"",""2651"",""5837"",""2542"",""3219"",""205"",""8614"",""901"",""3569"",""4502"",""2239"",""8839"",""3948"",""2584"",""5105"",""3309"",""5066"",""4627""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA""],""gene_set_hash"":""bac2641166b0"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=13; relaxed=True; relax_passes=7; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=943d9e5f0558; ctx_hit_terms=50	50	0	50	50	13	True	7	1	50	deterministic		proxy_context_v2: u=0.462 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=943d9e5f0558	proxy	OV|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	tumor;genotype;tp53;mut	4	0.46158963404236775	0.46158963404236775	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	OV|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC	OV	'8609;1942;4601;7436;2745;5163;133;6533;596;8459	'fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA	False
c_ba35395e0842	HALLMARK_APOPTOSIS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	fgsea_msigdb_H_entrez	HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	M37b8bcb941ad	False		3606,2147,650,351,2107,3553,552,4744,330,388	3606,2147,650,351,2107,3553,552,4744,330,388	3606,2147,650,351,2107,3553,552,4744,330,388	32	32	fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	6e036a208b12	0.12588137790650378	False	ABSTAIN	none	0.12588137790650378	PROXY_U01_LOW_ABSTAIN	0	True	4	-1	62827418	943d9e5f0558	True	hard	True	False	False	0.984375	True	ok	"{""claim_id"":""c_ba35395e0842"",""entity"":""HALLMARK_APOPTOSIS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M37b8bcb941ad"",""gene_ids"":[""3606"",""2147"",""650"",""351"",""2107"",""3553"",""552"",""4744"",""330"",""388"",""3000"",""6709"",""5970"",""8870"",""595"",""599"",""2065"",""7077"",""6647"",""3162"",""2232"",""7076"",""3082"",""5914"",""2769"",""4000"",""969"",""1649"",""581"",""1017"",""2934"",""6890""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS""],""gene_set_hash"":""6e036a208b12"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=13; relaxed=True; relax_passes=7; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=943d9e5f0558; ctx_hit_terms=50	50	0	50	50	13	True	7	1	50	deterministic		proxy_context_v2: u=0.126 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=943d9e5f0558	proxy	OV|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	tumor;genotype;tp53;mut	4	0.12588137790650378	0.12588137790650378	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	OV|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC	OV	'3606;2147;650;351;2107;3553;552;4744;330;388	'fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	True
c_b1510e91eeac	HALLMARK_KRAS_SIGNALING_DN	down	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	fgsea_msigdb_H_entrez	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Mf98bcbc2b511	False		3860,2842,5650,3352,6754,5030,1907,398,3785,2488	3860,2842,5650,3352,6754,5030,1907,398,3785,2488	3860,2842,5650,3352,6754,5030,1907,398,3785,2488	44	44	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	8b787f328557	0.19604455164653234	False	ABSTAIN	none	0.19604455164653234	PROXY_U01_LOW_ABSTAIN	0	True	4	-1	265525333	943d9e5f0558	True	hard	True	False	False	0.984375	True	ok	"{""claim_id"":""c_b1510e91eeac"",""entity"":""HALLMARK_KRAS_SIGNALING_DN"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mf98bcbc2b511"",""gene_ids"":[""3860"",""2842"",""5650"",""3352"",""6754"",""5030"",""1907"",""398"",""3785"",""2488"",""7781"",""8471"",""7252"",""5020"",""1208"",""3851"",""3955"",""8115"",""5795"",""3780"",""2261"",""6414"",""9992"",""6528"",""4908"",""5164"",""70"",""2593"",""3485"",""3750"",""152"",""727"",""10964"",""3699"",""3852"",""3458"",""1237"",""7068"",""7771"",""525"",""4599"",""658"",""5133"",""9746""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN""],""gene_set_hash"":""8b787f328557"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=13; relaxed=True; relax_passes=7; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=943d9e5f0558; ctx_hit_terms=50	50	0	50	50	13	True	7	1	50	deterministic		proxy_context_v2: u=0.196 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=943d9e5f0558	proxy	OV|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	tumor;genotype;tp53;mut	4	0.19604455164653234	0.19604455164653234	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	OV|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC	OV	'3860;2842;5650;3352;6754;5030;1907;398;3785;2488	'fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	True
c_c6738e360dfc	HALLMARK_E2F_TARGETS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS	fgsea_msigdb_H_entrez	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	M7d89e530df08	False		10606,6839,3609,9212,580,4683,2547,4673,1434,701	10606,6839,3609,9212,580,4683,2547,4673,1434,701	10606,6839,3609,9212,580,4683,2547,4673,1434,701	34	34	fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS	2662edba575e	0.7655425203794197	False	PASS	none	0.7655425203794197	PROXY_U01_OK	0	True	4	-1	427377315	943d9e5f0558	True	hard	True	False	False	0.984375	True	ok	"{""claim_id"":""c_c6738e360dfc"",""entity"":""HALLMARK_E2F_TARGETS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M7d89e530df08"",""gene_ids"":[""10606"",""6839"",""3609"",""9212"",""580"",""4683"",""2547"",""4673"",""1434"",""701"",""3149"",""10535"",""3925"",""9238"",""9183"",""1111"",""6118"",""4436"",""1029"",""10492"",""10111"",""9918"",""9833"",""4001"",""4292"",""5631"",""6119"",""11113"",""7112"",""1033"",""10549"",""9125"",""10460"",""3835""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS""],""gene_set_hash"":""2662edba575e"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	proxy	proxy_swap_strong	ranked=50; eligible=0; ineligible=50; picked=50; max_per_module=1; blocked_by_module_cap=13; relaxed=True; relax_passes=7; ctx_mode=proxy; ctx_gate=hard; ctx_swap=True; ctx_sig=943d9e5f0558; ctx_hit_terms=50	50	0	50	50	13	True	7	1	50	deterministic		proxy_context_v2: u=0.766 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=943d9e5f0558	proxy	OV|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	tumor;genotype;tp53;mut	4	0.7655425203794197	0.7655425203794197	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	OV|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC	OV	'10606;6839;3609;9212;580;4683;2547;4673;1434;701	'fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS	False
