coverage_pass_total	coverage_decided_total	risk_fail_given_decided	risk_fail_total	fail_rate_total	n_pass	n_fail	n_abstain	n_decided	n_total	threshold	score_col	status_col	pass_if_score_ge	promote_abstain
1.0	1.0	0.0	0.0	0.0	50.0	0.0	0.0	50.0	50.0	0.8125	term_survival_agg	status	True	True
0.98	0.98	0.0	0.0	0.0	49.0	0.0	1.0	49.0	50.0	0.859375	term_survival_agg	status	True	True
0.96	0.96	0.0	0.0	0.0	48.0	0.0	2.0	48.0	50.0	0.875	term_survival_agg	status	True	True
0.94	0.94	0.0	0.0	0.0	47.0	0.0	3.0	47.0	50.0	0.890625	term_survival_agg	status	True	True
0.9	0.9	0.0	0.0	0.0	45.0	0.0	5.0	45.0	50.0	0.90625	term_survival_agg	status	True	True
0.84	0.84	0.0	0.0	0.0	42.0	0.0	8.0	42.0	50.0	0.921875	term_survival_agg	status	True	True
0.76	0.76	0.0	0.0	0.0	38.0	0.0	12.0	38.0	50.0	0.9375	term_survival_agg	status	True	True
0.68	0.68	0.0	0.0	0.0	34.0	0.0	16.0	34.0	50.0	0.953125	term_survival_agg	status	True	True
0.58	0.58	0.0	0.0	0.0	29.0	0.0	21.0	29.0	50.0	0.96875	term_survival_agg	status	True	True
0.42	0.42	0.0	0.0	0.0	21.0	0.0	29.0	21.0	50.0	0.984375	term_survival_agg	status	True	True
0.14	0.14	0.0	0.0	0.0	7.0	0.0	43.0	7.0	50.0	1.0	term_survival_agg	status	True	True
