term_id	term_name	source	stat	qval	direction	evidence_genes	group_id	invalid_reason	is_summary	is_valid	pval	pval_provided	pval_source	qval_provided	qval_source	term_id_salvaged	term_name_salvaged
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	fgsea_msigdb_H_entrez	-1.41090798330432	0.907015168648846	down	9249;3155;3417;5244;3265;1503;3291;5052;866;1022;8915;10005;7356;291;7153;3418;2071;5190;774;3422;6833;1733;847;1381;3295			False	True		False	missing	True	qval	False	False
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	fgsea_msigdb_H_entrez	-1.29505838386837	0.907015168648846	down	2199;5654;5396;4015;10979;4314;4035;1009;8572;3909;966;2919;7424;5217;7168;5118;7474;2619;5159;1289;6535;6444;1311;7076;1281;6387;6696;1282;2316;3398;1314;6372;1647;5329;3624;2697;5817;8038;6382;1004;6591;4148;3487;3725;5744;3569;7052;333;4853;4313;5270;6876;3371;5351			False	True		False	missing	True	qval	False	False
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	fgsea_msigdb_H_entrez	-1.45459199085871	0.918635170603675	down	8454;5467;7474;5664;6500;408;1840;4854;4853;9978;8324			False	True		False	missing	True	qval	False	False
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	fgsea_msigdb_H_entrez	-1.27201885056929	0.931174089068826	down	8454;8313;5467;7475;5664;10023;6868;9794;1454;8312;5727;1499;9612;3066			False	True		False	missing	True	qval	False	False
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	fgsea_msigdb_H_entrez	-1.26826793803113	0.931174089068826	down	4023;7056;5553;6275;7076;1281;6696;6372;3764			False	True		False	missing	True	qval	False	False
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	fgsea_msigdb_H_entrez	-1.23366334030526	0.931174089068826	down	6809;353;5429;2072;8178;10289;5430;1479;6119;2965;3704;5438;7936;10134;1716;112;978;4830;6895;4832;2071			False	True		False	missing	True	qval	False	False
HALLMARK_COAGULATION	HALLMARK_COAGULATION	fgsea_msigdb_H_entrez	-1.21166380188003	0.931174089068826	down	4316;5654;7450;4314;3158;4035;7056;11098;1803;733;2811;3273;5045;1465;345;2160;732;1848;4153;10747;1311;7076;4320;824;301;4224;717;3249;11202;2157;712;5340;6284;2165			False	True		False	missing	True	qval	False	False
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	fgsea_msigdb_H_entrez	-1.1524701433108	0.931174089068826	down	5371;8828;8861;4763;2735;1021;3897;7088;5340;5921;9620;5727;9289;1271;2114;7070;8633			False	True		False	missing	True	qval	False	False
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	fgsea_msigdb_H_entrez	1.12099582656726	0.931174089068826	up	11055;11144;4771;3595;9489;7180;699;4889;7137;11318;7419;4291;7247;1630;8852;1636;9063;7141;1459;2947;673;6888;9053;11073;246;5037;10038;3598			False	True		False	missing	True	qval	False	False
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	fgsea_msigdb_H_entrez	-1.10231465076147	0.931174089068826	down	2935;1503;9221;1031;1164;1029;5511;6119;9126;9212;5395;6426;1019;10051;3149;3161;5889;9183;3609;6241;7153;7037;9837;4830;5425;3159;7913;4361;6839;9972;10733;5901			False	True		False	missing	True	qval	False	False
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	fgsea_msigdb_H_entrez	-1.09141048778736	0.931174089068826	down	837;10017;835;3553;2944;3162;914;840;2065;4000;1611;841;8915;10134;3301;6574;3659;5664;638;5159;2936;7153;7076;301;3082;1647;5534;4255;3725;7417;3148;1499;3569;3958;3552;4313;5366;7465;598			False	True		False	missing	True	qval	False	False
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	fgsea_msigdb_H_entrez	1.09037373016273	0.931174089068826	up	1522;8320;960;5745;10875;894;5621;8784;6510;4641;6484;1291;1435;5243;7494;4582;8611;2983;3559;6004;898;3566;5269;659;2623;3099;123;9144;943;9446;8651;10410;3682;6335;8728;5732;2151;3596;7293;7074;5359;1893;822;1154;399			False	True		False	missing	True	qval	False	False
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	fgsea_msigdb_H_entrez	-1.08298854076065	0.931174089068826	down	8454;4502;2935;5371;4211;8065;9221;1031;1164;5119;7150;10772;9212;6426;1019;10051;3149;3161;3609;1870;6558;7153;10432;4953;3159;7371;4088;6839;11104;10733;4957;8899;2130;1756;11065;4605;8438;10146;8451;4212;4853;7290;6790;1163;10762;6427;546;990;8140;3925;3151;4691;1111;6541;2176;25;5933			False	True		False	missing	True	qval	False	False
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	fgsea_msigdb_H_entrez	1.07226303246644	0.931174089068826	up	247;900;10560;8870;2877;3714;11059;91;5154;8851;894;10057;1649;8812;5883;4808;100;6004;6236;2232;1263;6667;7040;7421;3006;1643;8651;8722;2760;10544			False	True		False	missing	True	qval	False	False
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	fgsea_msigdb_H_entrez	-1.06568040914305	0.931174089068826	down	8050;1374;3417;4190;1727;509;3420;1355;9167;10449;840;4713;8604;1353;1327;1737;4700;291;4696;22;10632;4719;1528;518;6390;3418;527;1743;293;10884;1337;7417;3419;515;9296;528;506;521;9927;10939;37;4697;481;1349;10063;4259;2821;5166;4722;4976;498;1537;2108			False	True		False	missing	True	qval	False	False
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	fgsea_msigdb_H_entrez	1.06188352009073	0.931174089068826	up	1490;5317;3516;6385;8870;9957;8609;4627;8660;2355;11015;3491;1649;5054;3486;6513;10570;8614;5165;2542;5224;901;3069;5313;3099;10994;123;665;6478;9469;949;9435;5066;5837;3906;205;3484;8459;2113			False	True		False	missing	True	qval	False	False
