term_id	term_name	source	stat	qval	direction	evidence_genes	group_id	invalid_reason	is_summary	is_valid	pval	pval_provided	pval_source	qval_provided	qval_source	term_id_salvaged	term_name_salvaged
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	fgsea_msigdb_H_entrez	1.72638561588898	0.0030724570408978	up	639;6590;1794;6696;101;2115;220;6662;1839;9734;3689;8829;3936;1520;3976;3075;5593;2069;5936;3080;4214;2556;5649;7185;5328;4013;5327;3486;5696;3561;9053;9971;719;9949;4803;894;3553;1240;5743;5950;11179;2591;1848;2113;12;669;5396;5121;8404;7476;6004;10457;2995			False	True		False	missing	True	qval	False	False
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	fgsea_msigdb_H_entrez	1.3568547099649	0.6977911826207	up	1634;3423;10397;2908;8991;6576;5260;5317;6095;771;5155;5837;2027;901;2542;10994;3569;229;7052;4627;4214;1289;6383;10957;8987;3309;3484;3486;7538;6518;8974;5292;6513;2026;2113;8819;3162;2131;5165;8459;1356;839;5507			False	True		False	missing	True	qval	False	False
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	fgsea_msigdb_H_entrez	1.45048486122133	0.731605351170569	up	672;1946;3560;3561;4067;5205;9696;7070;5329;6517;357;11126;2683			False	True		False	missing	True	qval	False	False
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	fgsea_msigdb_H_entrez	1.26090158958705	0.731605351170569	up	10611;8503;2908;5195;11044;4088;5581;5468;3488;8829;7410;5797;3382;6591;5999;6383;3667;7048;3638;11343;92;7049;3778;3480;10240;2534;490;2869;6717;7799;5293;4790;1278			False	True		False	missing	True	qval	False	False
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	fgsea_msigdb_H_entrez	1.24000878698109	0.731605351170569	up	5063;5126;5078;1113;3375;1641;4005;5122;2641;4821			False	True		False	missing	True	qval	False	False
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	fgsea_msigdb_H_entrez	1.22250532371181	0.731605351170569	up	3955;70;10686;5078;5317;6620;152;10991;5071;1237;3780;2895;4439;3485;7038;6474;5158;6663;6712;1271;9328;2649;3750;4599;10777;10753;5409;9073;4908;3291;5164;3860;4210;3567;10964;10734;4524;7704;727;7137;3593;4929			False	True		False	missing	True	qval	False	False
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	fgsea_msigdb_H_entrez	1.21656231281706	0.731605351170569	up	10397;5325;6696;8651;6095;333;3482;2027;825;8829;5359;2983;3976;5167;7052;3560;10075;7185;4050;4860;8611;5292;898;3480;5621;894;5269;8728;5732;6004;4641;8477;3459;5583;3566;3559;1291;1154;8743;8530;8202;5033			False	True		False	missing	True	qval	False	False
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	fgsea_msigdb_H_entrez	1.21642282935854	0.731605351170569	up	4600;3108;3091;5720;8651;10616;3106;8767;5359;7130;3075;9934;3569;710;4061;3560;9021;4860;5696;5292;972;5698;3135;1240;5743;3937;4599;103;4939;6717;669;4790;8082;5683;7706;5770;3601;6375;3566;3574;8743;4261;10964;8202;958;6648;9830;840;10581;694;8737;8673			False	True		False	missing	True	qval	False	False
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	fgsea_msigdb_H_entrez	-1.20376419437533	0.731605351170569	down	3479;1244;4836;1969;348;1593;8309;866;10653;6580;847;384;217;3931;2203;53;9054;225;5909;5967;6560;4153;3290;7274;5627;8876;211;5730;2729;128;10728;2937;5467;7042;6510;1312;5831;9663;4128;5372;4121;218;586;10717;2052;2168;2160;6898;3172;3398;5805;3728;1543			False	True		False	missing	True	qval	False	False
HALLMARK_COAGULATION	HALLMARK_COAGULATION	fgsea_msigdb_H_entrez	1.17681892145098	0.731605351170569	up	2165;1515;1638;3697;6678;5155;2147;9948;2783;10747;3075;7057;2161;1397;710;824;5328;5327;1465;11098;2158;2534;842;10404;1848;1519;8754;5550;3920			False	True		False	missing	True	qval	False	False
