term_uid	module_id
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	M821d9dd60964
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	Ma2012cdd360f
fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	M2d8de5a49709
fgsea_msigdb_H_entrez:HALLMARK_ANGIOGENESIS	M26257ec106b7
fgsea_msigdb_H_entrez:HALLMARK_APICAL_JUNCTION	M06700ee66336
fgsea_msigdb_H_entrez:HALLMARK_APICAL_SURFACE	Mc4afaab22783
fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	Mb90f30cd3b8d
fgsea_msigdb_H_entrez:HALLMARK_BILE_ACID_METABOLISM	Mc7471ee70a5b
fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS	M4c5d6a79eeb7
fgsea_msigdb_H_entrez:HALLMARK_COAGULATION	M86dbbca009e6
fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT	M86dbbca009e6
fgsea_msigdb_H_entrez:HALLMARK_DNA_REPAIR	M4e6cb3239162
fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS	M2cb655dfd20e
fgsea_msigdb_H_entrez:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	M685add1cdf57
fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_EARLY	Me578153f0d36
fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_LATE	Me578153f0d36
fgsea_msigdb_H_entrez:HALLMARK_FATTY_ACID_METABOLISM	M6b0391976204
fgsea_msigdb_H_entrez:HALLMARK_G2M_CHECKPOINT	Mb5799228738c
fgsea_msigdb_H_entrez:HALLMARK_GLYCOLYSIS	M9961352b5b75
fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING	Mb5a4ca760b20
fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM	M3f9149a243e6
fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA	M9961352b5b75
fgsea_msigdb_H_entrez:HALLMARK_IL2_STAT5_SIGNALING	M41ec2a9fae27
fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING	M41ec2a9fae27
fgsea_msigdb_H_entrez:HALLMARK_INFLAMMATORY_RESPONSE	Md0f28b12d430
fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE	M41ec2a9fae27
fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_GAMMA_RESPONSE	M41ec2a9fae27
fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	M2af838d2647b
fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	M583eecef9774
fgsea_msigdb_H_entrez:HALLMARK_MITOTIC_SPINDLE	M0505f79bb7b2
fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING	M2cb655dfd20e
fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1	M2cb655dfd20e
fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V2	M2cb655dfd20e
fgsea_msigdb_H_entrez:HALLMARK_MYOGENESIS	Md13424f02ff9
fgsea_msigdb_H_entrez:HALLMARK_NOTCH_SIGNALING	M923a6c3242ca
fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION	M73b0f0f3aad8
fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	M48581aed16f9
fgsea_msigdb_H_entrez:HALLMARK_PANCREAS_BETA_CELLS	M2d440478988d
fgsea_msigdb_H_entrez:HALLMARK_PEROXISOME	M6b0391976204
fgsea_msigdb_H_entrez:HALLMARK_PI3K_AKT_MTOR_SIGNALING	M70c1417a3b4b
fgsea_msigdb_H_entrez:HALLMARK_PROTEIN_SECRETION	M0d844240ef57
fgsea_msigdb_H_entrez:HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Me9b8568b7f2d
fgsea_msigdb_H_entrez:HALLMARK_SPERMATOGENESIS	Mf2073ed51a68
fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING	M8a7cd8ab2d72
fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB	Mca94b56b4f5c
fgsea_msigdb_H_entrez:HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Ma5ab19cbe8c2
fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN	M225a5534e729
fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP	Mcd1c3bd78be1
fgsea_msigdb_H_entrez:HALLMARK_WNT_BETA_CATENIN_SIGNALING	M923a6c3242ca
fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM	Me85a0f3a5841
