benchmark_id	condition	method	variant	gate_mode	tau	coverage_pass	abstain_rate_total	fail_rate_total	fail_rate_answered	n_total	n_pass	n_abstain	n_fail	n_answered	risk_human_reject	risk_human_nonaccept	n_pass_labeled	risk_proxy	_src
	BRCA	ours	context_swap	hard	0.2	0.26	0.74	0	0	50	13	37	0	13			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/context_swap/gate_hard/tau_0.20/audit_log.tsv
	BRCA	ours	context_swap	hard	0.4	0.26	0.74	0	0	50	13	37	0	13			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/context_swap/gate_hard/tau_0.40/audit_log.tsv
	BRCA	ours	context_swap	hard	0.6	0.26	0.74	0	0	50	13	37	0	13			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/context_swap/gate_hard/tau_0.60/audit_log.tsv
	BRCA	ours	context_swap	hard	0.8	0.26	0.74	0	0	50	13	37	0	13			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/context_swap/gate_hard/tau_0.80/audit_log.tsv
	BRCA	ours	context_swap	hard	0.9	0.26	0.74	0	0	50	13	37	0	13			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/context_swap/gate_hard/tau_0.90/audit_log.tsv
	BRCA	ours	ours	hard	0.2	0.74	0.26	0	0	50	37	13	0	37			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
	BRCA	ours	ours	hard	0.4	0.74	0.26	0	0	50	37	13	0	37			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.40/audit_log.tsv
	BRCA	ours	ours	hard	0.6	0.74	0.26	0	0	50	37	13	0	37			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.60/audit_log.tsv
	BRCA	ours	ours	hard	0.8	0.74	0.26	0	0	50	37	13	0	37			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.80/audit_log.tsv
	BRCA	ours	ours	hard	0.9	0.7	0.3	0	0	50	35	15	0	35			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.90/audit_log.tsv
	BRCA	ours	stress	hard	0.2	0.22	0.78	0	0	50	11	39	0	11			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/stress/gate_hard/tau_0.20/audit_log.tsv
	BRCA	ours	stress	hard	0.4	0.22	0.78	0	0	50	11	39	0	11			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/stress/gate_hard/tau_0.40/audit_log.tsv
	BRCA	ours	stress	hard	0.6	0.22	0.78	0	0	50	11	39	0	11			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/stress/gate_hard/tau_0.60/audit_log.tsv
	BRCA	ours	stress	hard	0.8	0.22	0.78	0	0	50	11	39	0	11			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/stress/gate_hard/tau_0.80/audit_log.tsv
	BRCA	ours	stress	hard	0.9	0.2	0.8	0	0	50	10	40	0	10			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/stress/gate_hard/tau_0.90/audit_log.tsv
	HNSC	ours	context_swap	hard	0.2	0.3	0.7	0	0	50	15	35	0	15			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.20/audit_log.tsv
	HNSC	ours	context_swap	hard	0.4	0.3	0.7	0	0	50	15	35	0	15			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.40/audit_log.tsv
	HNSC	ours	context_swap	hard	0.6	0.3	0.7	0	0	50	15	35	0	15			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.60/audit_log.tsv
	HNSC	ours	context_swap	hard	0.8	0.3	0.7	0	0	50	15	35	0	15			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.80/audit_log.tsv
	HNSC	ours	context_swap	hard	0.9	0.28	0.72	0	0	50	14	36	0	14			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.90/audit_log.tsv
	HNSC	ours	ours	hard	0.2	0.8	0.2	0	0	50	40	10	0	40			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/ours/gate_hard/tau_0.20/audit_log.tsv
	HNSC	ours	ours	hard	0.4	0.8	0.2	0	0	50	40	10	0	40			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/ours/gate_hard/tau_0.40/audit_log.tsv
	HNSC	ours	ours	hard	0.6	0.8	0.2	0	0	50	40	10	0	40			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/ours/gate_hard/tau_0.60/audit_log.tsv
	HNSC	ours	ours	hard	0.8	0.78	0.22	0	0	50	39	11	0	39			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
	HNSC	ours	ours	hard	0.9	0.74	0.26	0	0	50	37	13	0	37			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/ours/gate_hard/tau_0.90/audit_log.tsv
	HNSC	ours	stress	hard	0.2	0.22	0.78	0	0	50	11	39	0	11			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/stress/gate_hard/tau_0.20/audit_log.tsv
	HNSC	ours	stress	hard	0.4	0.22	0.78	0	0	50	11	39	0	11			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/stress/gate_hard/tau_0.40/audit_log.tsv
	HNSC	ours	stress	hard	0.6	0.22	0.78	0	0	50	11	39	0	11			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/stress/gate_hard/tau_0.60/audit_log.tsv
	HNSC	ours	stress	hard	0.8	0.2	0.8	0	0	50	10	40	0	10			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/stress/gate_hard/tau_0.80/audit_log.tsv
	HNSC	ours	stress	hard	0.9	0.2	0.8	0	0	50	10	40	0	10			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/stress/gate_hard/tau_0.90/audit_log.tsv
	LUAD	ours	context_swap	hard	0.2	0.38	0.62	0	0	50	19	31	0	19			0	0	/work/paper/source_data/PANCAN_TP53_v1/out/LUAD/context_swap/gate_hard/tau_0.20/audit_log.tsv
