raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	dropped_n	dropped_genes_str	dropped_genes_symbols_str	notes	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
0	KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT	KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.85033265222798	0.471151093450253	up	['1780', '7879', '1783', '10381', '1778', '11258', '1639', '7277', '7846', '10382']		False		False	False	1780;7879;1783;10381;1778;11258;1639;7277;7846;10382	True		qval	True	missing	False	42	True	10	0	0				0	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT	evidence_perturb	True	496	True	False	1		1.0	64	64	computed	1.0	3f8d65f39b6d	1.0	0.625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9218750000000001	0.9218750000000001	1.0	1.0	True	ok	off		M5b300fdb04df	False	0.734375	6.0	6.0	term_survival:min
1	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ANTEROGRADE_AXONAL_TRANSPORT	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ANTEROGRADE_AXONAL_TRANSPORT	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.77550727956077	0.471151093450253	up	['10381', '8851', '7277', '7846', '10382', '824', '10376', '7280', '823', '4137', '10383']		False		False	False	10381;8851;7277;7846;10382;824;10376;7280;823;4137;10383	True		qval	True	missing	False	42	True	11	0	0				1	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ANTEROGRADE_AXONAL_TRANSPORT	evidence_perturb	True	496	True	False	1		0.890625	57	64	computed	0.890625	6cdb44713b8b	0.890625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8072916666666666	0.8806818181818182	0.90552398989899	0.890625	True	ok	off		M5b300fdb04df	False	0.734375	6.0	6.0	term_survival:min
2	KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_P27_CELL_CYCLE_G1_S	KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_P27_CELL_CYCLE_G1_S	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.67804345019565	0.814229197328796	down	['898', '1027', '5925', '9978', '1163', '1869', '8454']		False		False	False	898;1027;5925;9978;1163;1869;8454	True		qval	True	missing	False	42	True	7	0	0				2	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_P27_CELL_CYCLE_G1_S	evidence_perturb	True	496	True	False	1		0.984375	63	64	computed	0.984375	c3981b8b39fd	0.984375	0.421875	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.921875	0.921875	1.0	0.984375	True	ok	off		M5543a8e69520	False	0.9375	2.0	2.0	term_survival:min
3	KEGG_MEDICUS_PATHOGEN_HIV_TAT_TO_TLR2_4_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_HIV_TAT_TO_TLR2_4_NFKB_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.63766456942509	0.814229197328796	up	['7124', '3445', '3448', '3442', '3449', '3451', '3439', '4790']		False		False	False	7124;3445;3448;3442;3449;3451;3439;4790	True		qval	True	missing	False	42	True	8	0	0				3	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_PATHOGEN_HIV_TAT_TO_TLR2_4_NFKB_SIGNALING_PATHWAY	evidence_perturb	True	496	True	False	1		0.953125	61	64	computed	0.953125	f8c095f61814	0.953125	0.5625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.896484375	0.896484375	1.0	0.953125	True	ok	off		M823d7ace1a23	False	0.78125	64.0	64.0	term_survival:min
4	KEGG_MEDICUS_VARIANT_IGH_MMSET_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION	KEGG_MEDICUS_VARIANT_IGH_MMSET_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.59027959463235	0.925155436061166	up	['8353', '8350', '8358', '8352', '8357', '8351', '8354', '8356', '3020']		False		False	False	8353;8350;8358;8352;8357;8351;8354;8356;3020	True		qval	True	missing	False	42	True	9	0	0				4	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_IGH_MMSET_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION	evidence_perturb	True	496	True	False	1		0.875	56	64	computed	0.875	6b88f211c409	0.875	0.59375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.890625	0.890625	1.0	0.875	True	ok	off		M021fbadb8f0f	False	0.875	2.0	2.0	term_survival:min
5	KEGG_MEDICUS_REFERENCE_TLR2_4_MAPK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TLR2_4_MAPK_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.58425725062293	0.925155436061166	down	['5604', '3725', '7099', '1432', '3654', '5601', '2353', '6416', '5608', '5595', '7097']		False		False	False	5604;3725;7099;1432;3654;5601;2353;6416;5608;5595;7097	True		qval	True	missing	False	42	True	11	0	0				5	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TLR2_4_MAPK_SIGNALING_PATHWAY	evidence_perturb	True	496	True	False	1		0.96875	62	64	computed	0.96875	2ccb3fe65882	0.96875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8372395833333333	0.9133522727272727	0.9089094065656567	0.96875	True	ok	off		Mdf425fa6418b	False	0.75	27.0	27.0	term_survival:min
6	KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER	KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.49192074066006	0.925155436061166	down	['2967', '7508', '9978', '1643', '2071', '1022', '5887', '5886']		False		False	False	2967;7508;9978;1643;2071;1022;5887;5886	True		qval	True	missing	False	42	True	8	0	0				6	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER	evidence_perturb	True	496	True	False	1		0.953125	61	64	computed	0.953125	15abf224e505	0.953125	0.671875	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.876953125	0.876953125	1.0	0.953125	True	ok	off		M9de274d477d4	False	0.859375	5.0	5.0	term_survival:min
7	KEGG_MEDICUS_REFERENCE_TLR1_2_4_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TLR1_2_4_NFKB_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.45610706704074	0.925155436061166	down	['7099', '3593', '3569', '8517', '3654', '4792', '7097', '1147']		False		False	False	7099;3593;3569;8517;3654;4792;7097;1147	True		qval	True	missing	False	42	True	8	0	0				7	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TLR1_2_4_NFKB_SIGNALING_PATHWAY	evidence_perturb	True	496	True	False	1		0.953125	61	64	computed	0.953125	60ac9580d1ac	0.953125	0.484375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.916015625	0.916015625	1.0	0.953125	True	ok	off		Mdf425fa6418b	False	0.75	27.0	27.0	term_survival:min
8	KEGG_MEDICUS_REFERENCE_EGF_EGFR_ACTIN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EGF_EGFR_ACTIN_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.42341779856997	0.925155436061166	down	['6714', '1950', '71', '10095', '10093', '10094', '7456', '10092']		False		False	False	6714;1950;71;10095;10093;10094;7456;10092	True		qval	True	missing	False	42	True	8	0	0				8	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_EGF_EGFR_ACTIN_SIGNALING_PATHWAY	evidence_perturb	True	496	True	False	1		0.984375	63	64	computed	0.984375	c096c0d275df	0.984375	0.609375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.90625	0.90625	1.0	0.984375	True	ok	off		M3814f0401f0a	False	0.859375	6.0	6.0	term_survival:min
9	KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE	KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.42248252975578	0.925155436061166	up	['1780', '1783', '1778', '11258', '1639']		False		False	False	1780;1783;1778;11258;1639	True		qval	True	missing	False	42	True	5	0	0				9	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE	evidence_perturb	True	496	True	False	1		0.96875	62	64	computed	0.96875	9179df9edb17	0.96875	0.5625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8468749999999999	0.8468749999999999	1.0	0.96875	True	ok	off		M5b300fdb04df	False	0.734375	6.0	6.0	term_survival:min
