coverage_pass_total	coverage_decided_total	risk_fail_given_decided	risk_fail_total	fail_rate_total	n_pass	n_fail	n_abstain	n_decided	n_total	threshold	score_col	status_col	pass_if_score_ge	promote_abstain
1.0	1.0	0.0	0.0	0.0	50.0	0.0	0.0	50.0	50.0	0.78125	term_survival_agg	status	True	True
0.98	0.98	0.0	0.0	0.0	49.0	0.0	1.0	49.0	50.0	0.796875	term_survival_agg	status	True	True
0.94	0.94	0.0	0.0	0.0	47.0	0.0	3.0	47.0	50.0	0.8125	term_survival_agg	status	True	True
0.92	0.92	0.0	0.0	0.0	46.0	0.0	4.0	46.0	50.0	0.828125	term_survival_agg	status	True	True
0.9	0.9	0.0	0.0	0.0	45.0	0.0	5.0	45.0	50.0	0.890625	term_survival_agg	status	True	True
0.86	0.86	0.0	0.0	0.0	43.0	0.0	7.0	43.0	50.0	0.90625	term_survival_agg	status	True	True
0.8	0.8	0.0	0.0	0.0	40.0	0.0	10.0	40.0	50.0	0.921875	term_survival_agg	status	True	True
0.78	0.78	0.0	0.0	0.0	39.0	0.0	11.0	39.0	50.0	0.9375	term_survival_agg	status	True	True
0.72	0.72	0.0	0.0	0.0	36.0	0.0	14.0	36.0	50.0	0.953125	term_survival_agg	status	True	True
0.52	0.52	0.0	0.0	0.0	26.0	0.0	24.0	26.0	50.0	0.96875	term_survival_agg	status	True	True
0.4	0.4	0.0	0.0	0.0	20.0	0.0	30.0	20.0	50.0	0.984375	term_survival_agg	status	True	True
0.28	0.28	0.0	0.0	0.0	14.0	0.0	36.0	14.0	50.0	1.0	term_survival_agg	status	True	True
