claim_id	entity	direction	context_keys	term_uid	source	term_id	term_name	module_id	module_missing	module_reason	gene_ids	gene_ids_suggest	gene_ids_snippet	gene_ids_n_total	gene_ids_n_in_claim	term_ids	gene_set_hash	context_score	context_evaluated	context_status	context_method	context_confidence	context_reason	select_context_score	select_context_evaluated	select_context_tokens_n	select_context_status_score	select_context_tiebreak	context_signature	context_swap_active	context_gate_mode	context_gate_hit	eligible_context	eligible	term_survival	keep_term	keep_reason	claim_json	preselect_tau_gate	context_score_proxy	select_context_mode	select_context_policy	select_notes	select_diag_n_total	select_diag_n_eligible	select_diag_n_ineligible	select_diag_n_picked	select_diag_blocked_by_module_cap	select_diag_relaxed	select_diag_relax_passes	select_diag_max_per_module	select_diag_ctx_hit_terms	claim_mode	llm_notes	context_notes	context_review_mode	context_ctx_id	context_proxy_method	context_score_proxy_norm	module_context_weight	context_score_proxy_reason	context_score_proxy_n_nonzero	context_tokens_method	context_tokens	context_tokens_n	context_score_proxy_u01	context_score_proxy_u01_norm	context_ctx_id_original	context_ctx_id_effective	context_swap_from	context_swap_to	gene_ids_excel	term_ids_excel	context_gate_applied_pre_audit
c_00f66f340f71	REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI	REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI	M87c056eae34a	False		8128,4249,8704,4248,4122,1081,11282,2683,2517,8703	8128,4249,8704,4248,4122,1081,11282,2683,2517,8703	8128,4249,8704,4248,4122,1081,11282,2683,2517,8703	10	10	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI	2f4d53568390	0.998995182281224	False	PASS	none	0.998995182281224	PROXY_U01_OK		False	0	-1		e6cee1e46cac	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_00f66f340f71"",""entity"":""REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M87c056eae34a"",""gene_ids"":[""8128"",""4249"",""8704"",""4248"",""4122"",""1081"",""11282"",""2683"",""2517"",""8703""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI""],""gene_set_hash"":""2f4d53568390"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=307; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=e6cee1e46cac; ctx_hit_terms=0	984	984	0	50	307	False	0	1	0	deterministic		proxy_context_v2: u=0.999 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=e6cee1e46cac	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.998995182281224	0.998995182281224	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'8128;4249;8704;4248;4122;1081;11282;2683;2517;8703	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI	False
c_2b532cad4be5	REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	M7e32711f5e2f	False		7314,8697,7311,6233,10393	7314,8697,7311,6233,10393	7314,8697,7311,6233,10393	5	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	ecf6da614536	0.9626266617294115	False	PASS	none	0.9626266617294115	PROXY_U01_OK		False	0	-1		e6cee1e46cac	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_2b532cad4be5"",""entity"":""REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M7e32711f5e2f"",""gene_ids"":[""7314"",""8697"",""7311"",""6233"",""10393""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A""],""gene_set_hash"":""ecf6da614536"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=307; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=e6cee1e46cac; ctx_hit_terms=0	984	984	0	50	307	False	0	1	0	deterministic		proxy_context_v2: u=0.963 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=e6cee1e46cac	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.9626266617294115	0.9626266617294115	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'7314;8697;7311;6233;10393	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	False
c_fd67a31d4542	REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	Ma7714f539b9a	False		6670,7021,10401,6613,4286	6670,7021,10401,6613,4286	6670,7021,10401,6613,4286	5	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	bbdf524d8cf5	0.2294582153086726	False	PASS	none	0.2294582153086726	PROXY_U01_OK		False	0	-1		e6cee1e46cac	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_fd67a31d4542"",""entity"":""REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Ma7714f539b9a"",""gene_ids"":[""6670"",""7021"",""10401"",""6613"",""4286""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS""],""gene_set_hash"":""bbdf524d8cf5"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=307; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=e6cee1e46cac; ctx_hit_terms=0	984	984	0	50	307	False	0	1	0	deterministic		proxy_context_v2: u=0.229 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=e6cee1e46cac	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.2294582153086726	0.2294582153086726	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'6670;7021;10401;6613;4286	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	False
c_156f22ffabd7	REACTOME_P75NTR_SIGNALS_VIA_NF_KB	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_P75NTR_SIGNALS_VIA_NF_KB	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_P75NTR_SIGNALS_VIA_NF_KB	REACTOME_P75NTR_SIGNALS_VIA_NF_KB	Ma47e018f38a8	False		7314,5970,8878,7311,6233	7314,5970,8878,7311,6233	7314,5970,8878,7311,6233	5	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_P75NTR_SIGNALS_VIA_NF_KB	4762e90217ea	0.6626357081080148	False	PASS	none	0.6626357081080148	PROXY_U01_OK		False	0	-1		e6cee1e46cac	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_156f22ffabd7"",""entity"":""REACTOME_P75NTR_SIGNALS_VIA_NF_KB"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Ma47e018f38a8"",""gene_ids"":[""7314"",""5970"",""8878"",""7311"",""6233""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_P75NTR_SIGNALS_VIA_NF_KB""],""gene_set_hash"":""4762e90217ea"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=307; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=e6cee1e46cac; ctx_hit_terms=0	984	984	0	50	307	False	0	1	0	deterministic		proxy_context_v2: u=0.663 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=e6cee1e46cac	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.6626357081080148	0.6626357081080148	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'7314;5970;8878;7311;6233	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_P75NTR_SIGNALS_VIA_NF_KB	False
c_3a629601b59f	REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS	REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS	M760f578f730f	False		824,4000,823,1020,3725	824,4000,823,1020,3725	824,4000,823,1020,3725	5	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS	0eecc86a40e3	0.4962712280362289	False	PASS	none	0.4962712280362289	PROXY_U01_OK		False	0	-1		e6cee1e46cac	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_3a629601b59f"",""entity"":""REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M760f578f730f"",""gene_ids"":[""824"",""4000"",""823"",""1020"",""3725""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS""],""gene_set_hash"":""0eecc86a40e3"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=307; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=e6cee1e46cac; ctx_hit_terms=0	984	984	0	50	307	False	0	1	0	deterministic		proxy_context_v2: u=0.496 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=e6cee1e46cac	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.4962712280362289	0.4962712280362289	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'824;4000;823;1020;3725	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS	False
c_7c3672c9e55a	REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES	REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES	M113feee1832e	False		5443,5105,2308,2538,847	5443,5105,2308,2538,847	5443,5105,2308,2538,847	5	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES	f023ea025777	0.8846105846636518	False	PASS	none	0.8846105846636518	PROXY_U01_OK		False	0	-1		e6cee1e46cac	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_7c3672c9e55a"",""entity"":""REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M113feee1832e"",""gene_ids"":[""5443"",""5105"",""2308"",""2538"",""847""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES""],""gene_set_hash"":""f023ea025777"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=307; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=e6cee1e46cac; ctx_hit_terms=0	984	984	0	50	307	False	0	1	0	deterministic		proxy_context_v2: u=0.885 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=e6cee1e46cac	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.8846105846636518	0.8846105846636518	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'5443;5105;2308;2538;847	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES	False
c_7d7b0d197274	REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY	REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY	Meca0e19f5eb9	False		7314,8239,4092,7311,6233	7314,8239,4092,7311,6233	7314,8239,4092,7311,6233	5	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY	bfedeac651fe	0.05993261347923817	False	ABSTAIN	none	0.05993261347923817	PROXY_U01_LOW_ABSTAIN		False	0	-1		e6cee1e46cac	False	hard	False	True	False	1.0	True	ok	"{""claim_id"":""c_7d7b0d197274"",""entity"":""REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Meca0e19f5eb9"",""gene_ids"":[""7314"",""8239"",""4092"",""7311"",""6233""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY""],""gene_set_hash"":""bfedeac651fe"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=307; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=e6cee1e46cac; ctx_hit_terms=0	984	984	0	50	307	False	0	1	0	deterministic		proxy_context_v2: u=0.060 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=e6cee1e46cac	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.05993261347923817	0.05993261347923817	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'7314;8239;4092;7311;6233	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY	True
c_279e3072d8d9	REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	Mf29f930e2663	False		7314,4052,10273,8516,4053,4054,4092,7311,6233,5500	7314,4052,10273,8516,4053,4054,4092,7311,6233,5500	7314,4052,10273,8516,4053,4054,4092,7311,6233,5500	10	10	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	359b92c98a02	0.10785948540365009	False	ABSTAIN	none	0.10785948540365009	PROXY_U01_LOW_ABSTAIN		False	0	-1		e6cee1e46cac	False	hard	False	True	False	1.0	True	ok	"{""claim_id"":""c_279e3072d8d9"",""entity"":""REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mf29f930e2663"",""gene_ids"":[""7314"",""4052"",""10273"",""8516"",""4053"",""4054"",""4092"",""7311"",""6233"",""5500""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS""],""gene_set_hash"":""359b92c98a02"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=307; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=e6cee1e46cac; ctx_hit_terms=0	984	984	0	50	307	False	0	1	0	deterministic		proxy_context_v2: u=0.108 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=e6cee1e46cac	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.10785948540365009	0.10785948540365009	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'7314;4052;10273;8516;4053;4054;4092;7311;6233;5500	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	True
c_a1123c28a379	REACTOME_GLUCONEOGENESIS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_GLUCONEOGENESIS	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_GLUCONEOGENESIS	REACTOME_GLUCONEOGENESIS	Me4db21640c7a	False		5106,5105,2538,229,2027,5223,230,2203,226,5230	5106,5105,2538,229,2027,5223,230,2203,226,5230	5106,5105,2538,229,2027,5223,230,2203,226,5230	10	10	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_GLUCONEOGENESIS	e7ef731ffb3a	0.599690782962824	False	PASS	none	0.599690782962824	PROXY_U01_OK		False	0	-1		e6cee1e46cac	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_a1123c28a379"",""entity"":""REACTOME_GLUCONEOGENESIS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Me4db21640c7a"",""gene_ids"":[""5106"",""5105"",""2538"",""229"",""2027"",""5223"",""230"",""2203"",""226"",""5230""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_GLUCONEOGENESIS""],""gene_set_hash"":""e7ef731ffb3a"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=307; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=e6cee1e46cac; ctx_hit_terms=0	984	984	0	50	307	False	0	1	0	deterministic		proxy_context_v2: u=0.600 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=e6cee1e46cac	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.599690782962824	0.599690782962824	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'5106;5105;2538;229;2027;5223;230;2203;226;5230	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_GLUCONEOGENESIS	False
c_14c545dae903	REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	down	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	M076ab1abefd5	False		10762,9688,5905,7514,9972	10762,9688,5905,7514,9972	10762,9688,5905,7514,9972	5	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	6f45adc6a0fb	0.37162601474916057	False	PASS	none	0.37162601474916057	PROXY_U01_OK		False	0	-1		e6cee1e46cac	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_14c545dae903"",""entity"":""REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M076ab1abefd5"",""gene_ids"":[""10762"",""9688"",""5905"",""7514"",""9972""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS""],""gene_set_hash"":""6f45adc6a0fb"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=307; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=e6cee1e46cac; ctx_hit_terms=0	984	984	0	50	307	False	0	1	0	deterministic		proxy_context_v2: u=0.372 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=e6cee1e46cac	proxy	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	0.37162601474916057	0.37162601474916057	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'10762;9688;5905;7514;9972	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	False
