term_uid	module_id
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	M87c056eae34a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ABC_TRANSPORTER_DISORDERS	M87c056eae34a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	M87c056eae34a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	M076ab1abefd5
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	M87c056eae34a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	Mcdd7b04a7d78
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	M076ab1abefd5
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	M076ab1abefd5
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	M076ab1abefd5
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	M076ab1abefd5
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	M87c056eae34a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	M87c056eae34a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	M3ea57f93f973
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	M076ab1abefd5
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	M076ab1abefd5
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	M2c7202809bb7
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	M076ab1abefd5
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	M87c056eae34a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	M87c056eae34a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	M076ab1abefd5
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	M87c056eae34a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADAPTIVE_IMMUNE_SYSTEM	M076ab1abefd5
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	M523486a658b5
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADIPOGENESIS	M076ab1abefd5
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	M87c056eae34a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	M076ab1abefd5
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12	Ma7df7cb291b1
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION	M87c056eae34a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	M87c056eae34a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AGGREPHAGY	M87c056eae34a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	M076ab1abefd5
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AMINO_ACIDS_REGULATE_MTORC1	M87c056eae34a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	M87c056eae34a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AMYLOID_FIBER_FORMATION	M076ab1abefd5
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANCHORING_FIBRIL_FORMATION	Mdc513d469016
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	M076ab1abefd5
