term_uid	module_id
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	M22429ea7b1cb
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ABC_TRANSPORTER_DISORDERS	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	M6e38c7b5bc90
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	M6e38c7b5bc90
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	M449b4ea85917
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	M6e38c7b5bc90
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	M6e38c7b5bc90
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADAPTIVE_IMMUNE_SYSTEM	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADIPOGENESIS	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AGGREPHAGY	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AMINO_ACIDS_REGULATE_MTORC1	M8f3e01554bbf
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AMYLOID_FIBER_FORMATION	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANCHORING_FIBRIL_FORMATION	Mc3fccf4868e5
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Mbb24e68941f0
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	M47cc9fdfa9f1
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIMICROBIAL_PEPTIDES	Mc0362e5a499a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	M6e38c7b5bc90
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	M6e38c7b5bc90
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	Ma1def264ac2c
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	M8fb1993cfb90
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APOPTOSIS	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APOPTOTIC_EXECUTION_PHASE	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ARACHIDONATE_METABOLISM	M6e38c7b5bc90
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ASPIRIN_ADME	M6e38c7b5bc90
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	M6018676315c6
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	M6018676315c6
