claim_id	entity	direction	context_keys	term_uid	source	term_id	term_name	module_id	module_missing	module_reason	gene_ids	gene_ids_suggest	gene_ids_snippet	gene_ids_n_total	gene_ids_n_in_claim	term_ids	gene_set_hash	context_score	context_evaluated	context_status	context_method	context_confidence	context_reason	select_context_score	select_context_evaluated	select_context_tokens_n	select_context_status_score	select_context_tiebreak	context_signature	context_swap_active	context_gate_mode	context_gate_hit	eligible_context	eligible	term_survival	keep_term	keep_reason	claim_json	preselect_tau_gate	context_score_proxy	select_context_mode	select_context_policy	select_notes	select_diag_n_total	select_diag_n_eligible	select_diag_n_ineligible	select_diag_n_picked	select_diag_blocked_by_module_cap	select_diag_relaxed	select_diag_relax_passes	select_diag_max_per_module	select_diag_ctx_hit_terms	claim_mode	llm_notes	context_notes	context_review_mode	context_ctx_id	context_proxy_method	context_score_proxy_norm	module_context_weight	context_score_proxy_reason	context_score_proxy_n_nonzero	context_tokens_method	context_tokens	context_tokens_n	context_score_proxy_u01	context_score_proxy_u01_norm	context_ctx_id_original	context_ctx_id_effective	context_swap_from	context_swap_to	gene_ids_excel	term_ids_excel	context_gate_applied_pre_audit
c_d30c5304a4a3	REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	Mcac029609398	False		1515,3108,10671,10112,3118,3796,3831,3902,3799,1520	1515,3108,10671,10112,3118,3796,3831,3902,3799,1520	1515,3108,10671,10112,3118,3796,3831,3902,3799,1520	31	31	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	41e7b4416e23	0.3567320564060934	False	PASS	none	0.3567320564060934	PROXY_U01_OK		False	0	-1		bb8780bb7d69	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_d30c5304a4a3"",""entity"":""REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mcac029609398"",""gene_ids"":[""1515"",""3108"",""10671"",""10112"",""3118"",""3796"",""3831"",""3902"",""3799"",""1520"",""10053"",""1785"",""3120"",""1173"",""9632"",""11004"",""6456"",""3111"",""9871"",""6712"",""3112"",""8907"",""972"",""1509"",""1639"",""7277"",""1519"",""3125"",""1783"",""1759"",""375""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION""],""gene_set_hash"":""41e7b4416e23"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=333; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=bb8780bb7d69; ctx_hit_terms=0	984	984	0	50	333	False	0	1	0	deterministic		proxy_context_v2: u=0.357 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=bb8780bb7d69	proxy	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	skcm;tumor;genotype;tp53;mut	5	0.3567320564060934	0.3567320564060934	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt			'1515;3108;10671;10112;3118;3796;3831;3902;3799;1520	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	False
c_c765559e1cab	REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	M29d505024680	False		5195,5193,8347,8348,8915	5195,5193,8347,8348,8915	5195,5193,8347,8348,8915	5	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	a800201095fa	0.29568855121798365	False	PASS	none	0.29568855121798365	PROXY_U01_OK		False	0	-1		bb8780bb7d69	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_c765559e1cab"",""entity"":""REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M29d505024680"",""gene_ids"":[""5195"",""5193"",""8347"",""8348"",""8915""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS""],""gene_set_hash"":""a800201095fa"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=333; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=bb8780bb7d69; ctx_hit_terms=0	984	984	0	50	333	False	0	1	0	deterministic		proxy_context_v2: u=0.296 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=bb8780bb7d69	proxy	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	skcm;tumor;genotype;tp53;mut	5	0.29568855121798365	0.29568855121798365	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt			'5195;5193;8347;8348;8915	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	False
c_850e0d0904c9	REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS	REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS	M19eab715ebe9	False		801,1839,6843	801,1839,6843	801,1839,6843	3	3	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS	4b1c430eb65f	0.21101329730435903	False	PASS	none	0.21101329730435903	PROXY_U01_OK		False	0	-1		bb8780bb7d69	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_850e0d0904c9"",""entity"":""REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M19eab715ebe9"",""gene_ids"":[""801"",""1839"",""6843""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS""],""gene_set_hash"":""4b1c430eb65f"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=333; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=bb8780bb7d69; ctx_hit_terms=0	984	984	0	50	333	False	0	1	0	deterministic		proxy_context_v2: u=0.211 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=bb8780bb7d69	proxy	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	skcm;tumor;genotype;tp53;mut	5	0.21101329730435903	0.21101329730435903	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt			'801;1839;6843	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS	False
c_357bb4b83248	REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII	REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII	M80eeb651a9f6	False		3265	3265	3265	1	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII	ae8502b547de	0.13034378952172299	False	ABSTAIN	none	0.13034378952172299	PROXY_U01_LOW_ABSTAIN		False	0	-1		bb8780bb7d69	False	hard	False	True	False	1.0	True	ok	"{""claim_id"":""c_357bb4b83248"",""entity"":""REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M80eeb651a9f6"",""gene_ids"":[""3265""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII""],""gene_set_hash"":""ae8502b547de"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=333; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=bb8780bb7d69; ctx_hit_terms=0	984	984	0	50	333	False	0	1	0	deterministic		proxy_context_v2: u=0.130 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=bb8780bb7d69	proxy	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	skcm;tumor;genotype;tp53;mut	5	0.13034378952172299	0.13034378952172299	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt			'3265	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII	True
c_a2470464bce6	REACTOME_SIGNALING_BY_ERBB2_ECD_MUTANTS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_ERBB2_ECD_MUTANTS	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_SIGNALING_BY_ERBB2_ECD_MUTANTS	REACTOME_SIGNALING_BY_ERBB2_ECD_MUTANTS	Mae5cae81d179	False		3265	3265	3265	1	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_ERBB2_ECD_MUTANTS	ae8502b547de	0.44167917053237393	False	PASS	none	0.44167917053237393	PROXY_U01_OK		False	0	-1		bb8780bb7d69	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_a2470464bce6"",""entity"":""REACTOME_SIGNALING_BY_ERBB2_ECD_MUTANTS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mae5cae81d179"",""gene_ids"":[""3265""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_ERBB2_ECD_MUTANTS""],""gene_set_hash"":""ae8502b547de"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=333; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=bb8780bb7d69; ctx_hit_terms=0	984	984	0	50	333	False	0	1	0	deterministic		proxy_context_v2: u=0.442 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=bb8780bb7d69	proxy	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	skcm;tumor;genotype;tp53;mut	5	0.44167917053237393	0.44167917053237393	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt			'3265	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_ERBB2_ECD_MUTANTS	False
c_717bef6806fd	REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS	REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS	M45491fea218e	False		3265	3265	3265	1	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS	ae8502b547de	0.09894186921108061	False	ABSTAIN	none	0.09894186921108061	PROXY_U01_LOW_ABSTAIN		False	0	-1		bb8780bb7d69	False	hard	False	True	False	1.0	True	ok	"{""claim_id"":""c_717bef6806fd"",""entity"":""REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M45491fea218e"",""gene_ids"":[""3265""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS""],""gene_set_hash"":""ae8502b547de"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=333; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=bb8780bb7d69; ctx_hit_terms=0	984	984	0	50	333	False	0	1	0	deterministic		proxy_context_v2: u=0.099 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=bb8780bb7d69	proxy	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	skcm;tumor;genotype;tp53;mut	5	0.09894186921108061	0.09894186921108061	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt			'3265	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS	True
c_aad57a3884cd	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_BROWN_AND_BEIGE_ADIPOCYTE_DIFFERENTIATION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TRANSCRIPTIONAL_REGULATION_OF_BROWN_AND_BEIGE_ADIPOCYTE_DIFFERENTIATION	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_BROWN_AND_BEIGE_ADIPOCYTE_DIFFERENTIATION	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_BROWN_AND_BEIGE_ADIPOCYTE_DIFFERENTIATION	M4dcdcdded512	False		5468,1734,5931,4086,4089,7350,1149	5468,1734,5931,4086,4089,7350,1149	5468,1734,5931,4086,4089,7350,1149	7	7	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TRANSCRIPTIONAL_REGULATION_OF_BROWN_AND_BEIGE_ADIPOCYTE_DIFFERENTIATION	17ee4857cbad	0.48932496005172665	False	PASS	none	0.48932496005172665	PROXY_U01_OK		False	0	-1		bb8780bb7d69	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_aad57a3884cd"",""entity"":""REACTOME_TRANSCRIPTIONAL_REGULATION_OF_BROWN_AND_BEIGE_ADIPOCYTE_DIFFERENTIATION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M4dcdcdded512"",""gene_ids"":[""5468"",""1734"",""5931"",""4086"",""4089"",""7350"",""1149""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TRANSCRIPTIONAL_REGULATION_OF_BROWN_AND_BEIGE_ADIPOCYTE_DIFFERENTIATION""],""gene_set_hash"":""17ee4857cbad"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=333; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=bb8780bb7d69; ctx_hit_terms=0	984	984	0	50	333	False	0	1	0	deterministic		proxy_context_v2: u=0.489 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=bb8780bb7d69	proxy	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	skcm;tumor;genotype;tp53;mut	5	0.48932496005172665	0.48932496005172665	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt			'5468;1734;5931;4086;4089;7350;1149	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TRANSCRIPTIONAL_REGULATION_OF_BROWN_AND_BEIGE_ADIPOCYTE_DIFFERENTIATION	False
c_8d1ae8f65f91	REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	Md095db998648	False		7097	7097	7097	1	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	5825f1c45ece	0.46328782808402225	False	PASS	none	0.46328782808402225	PROXY_U01_OK		False	0	-1		bb8780bb7d69	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_8d1ae8f65f91"",""entity"":""REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Md095db998648"",""gene_ids"":[""7097""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND""],""gene_set_hash"":""5825f1c45ece"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=333; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=bb8780bb7d69; ctx_hit_terms=0	984	984	0	50	333	False	0	1	0	deterministic		proxy_context_v2: u=0.463 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=bb8780bb7d69	proxy	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	skcm;tumor;genotype;tp53;mut	5	0.46328782808402225	0.46328782808402225	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt			'7097	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	False
c_6dede8354c1a	REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES	down	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES	REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES	M191520d4d23b	False		10313,2902,1742,5792,5789,1741,2904,2893	10313,2902,1742,5792,5789,1741,2904,2893	10313,2902,1742,5792,5789,1741,2904,2893	8	8	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES	afdef540eda6	0.007249245531049331	False	FAIL	none	0.007249245531049331	PROXY_U01_LOW_FAIL		False	0	-1		bb8780bb7d69	False	hard	False	True	False	1.0	True	ok	"{""claim_id"":""c_6dede8354c1a"",""entity"":""REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M191520d4d23b"",""gene_ids"":[""10313"",""2902"",""1742"",""5792"",""5789"",""1741"",""2904"",""2893""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES""],""gene_set_hash"":""afdef540eda6"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=333; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=bb8780bb7d69; ctx_hit_terms=0	984	984	0	50	333	False	0	1	0	deterministic		proxy_context_v2: u=0.007 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=bb8780bb7d69	proxy	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	skcm;tumor;genotype;tp53;mut	5	0.007249245531049331	0.007249245531049331	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt			'10313;2902;1742;5792;5789;1741;2904;2893	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES	True
c_173a9e25a6be	REACTOME_HYALURONAN_METABOLISM	down	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_HYALURONAN_METABOLISM	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_HYALURONAN_METABOLISM	REACTOME_HYALURONAN_METABOLISM	Mfc0c27aa7606	False		10894	10894	10894	1	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_HYALURONAN_METABOLISM	e3f0a91902de	0.6945799306015585	False	PASS	none	0.6945799306015585	PROXY_U01_OK		False	0	-1		bb8780bb7d69	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_173a9e25a6be"",""entity"":""REACTOME_HYALURONAN_METABOLISM"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mfc0c27aa7606"",""gene_ids"":[""10894""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_HYALURONAN_METABOLISM""],""gene_set_hash"":""e3f0a91902de"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=333; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=bb8780bb7d69; ctx_hit_terms=0	984	984	0	50	333	False	0	1	0	deterministic		proxy_context_v2: u=0.695 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=bb8780bb7d69	proxy	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	skcm;tumor;genotype;tp53;mut	5	0.6945799306015585	0.6945799306015585	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt	SKCM|tumor|genotype|TP53_mut_vs_TP53_wt			'10894	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_HYALURONAN_METABOLISM	False
