claim_id	entity	direction	context_keys	term_uid	source	term_id	term_name	module_id	module_missing	module_reason	gene_ids	gene_ids_suggest	gene_ids_snippet	gene_ids_n_total	gene_ids_n_in_claim	term_ids	gene_set_hash	context_score	context_evaluated	context_status	context_method	context_confidence	context_reason	select_context_score	select_context_evaluated	select_context_tokens_n	select_context_status_score	select_context_tiebreak	context_signature	context_swap_active	context_gate_mode	context_gate_hit	eligible_context	eligible	term_survival	keep_term	keep_reason	claim_json	preselect_tau_gate	context_score_proxy	select_context_mode	select_context_policy	select_notes	select_diag_n_total	select_diag_n_eligible	select_diag_n_ineligible	select_diag_n_picked	select_diag_blocked_by_module_cap	select_diag_relaxed	select_diag_relax_passes	select_diag_max_per_module	select_diag_ctx_hit_terms	claim_mode	llm_notes	context_notes	context_review_mode	context_ctx_id	context_proxy_method	context_score_proxy_norm	module_context_weight	context_score_proxy_reason	context_score_proxy_n_nonzero	context_tokens_method	context_tokens	context_tokens_n	context_score_proxy_u01	context_score_proxy_u01_norm	context_ctx_id_original	context_ctx_id_effective	context_swap_from	context_swap_to	gene_ids_excel	term_ids_excel	context_gate_applied_pre_audit
c_4bedcdabf177	GOBP_VIRAL_TRANSLATION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_VIRAL_TRANSLATION	fgsea_msigdb_C5_GO_BP_entrez	GOBP_VIRAL_TRANSLATION	GOBP_VIRAL_TRANSLATION	M7ffca48795ed	False		1939,6741,8665,5045,540,8664,8666	1939,6741,8665,5045,540,8664,8666	1939,6741,8665,5045,540,8664,8666	7	7	fgsea_msigdb_C5_GO_BP_entrez:GOBP_VIRAL_TRANSLATION	d8251a8ad61b	0.9070911969106961	False	PASS	none	0.9070911969106961	PROXY_U01_OK		False	0	-1		b6db28ceda2d	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_4bedcdabf177"",""entity"":""GOBP_VIRAL_TRANSLATION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M7ffca48795ed"",""gene_ids"":[""1939"",""6741"",""8665"",""5045"",""540"",""8664"",""8666""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_VIRAL_TRANSLATION""],""gene_set_hash"":""d8251a8ad61b"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=266; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	3386	3386	0	50	266	False	0	1	0	deterministic		proxy_context_v2: u=0.907 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;tumor;genotype;tp53;mut	5	0.9070911969106961	0.9070911969106961	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'1939;6741;8665;5045;540;8664;8666	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_VIRAL_TRANSLATION	False
c_3d4b6817ea7c	GOBP_EPITHELIAL_CELL_MORPHOGENESIS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_EPITHELIAL_CELL_MORPHOGENESIS	fgsea_msigdb_C5_GO_BP_entrez	GOBP_EPITHELIAL_CELL_MORPHOGENESIS	GOBP_EPITHELIAL_CELL_MORPHOGENESIS	M517c770f2dc7	False		3397,5314,3209,1365,5879	3397,5314,3209,1365,5879	3397,5314,3209,1365,5879	5	5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_EPITHELIAL_CELL_MORPHOGENESIS	604e45ba4357	0.9149219741848453	False	PASS	none	0.9149219741848453	PROXY_U01_OK		False	0	-1		b6db28ceda2d	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_3d4b6817ea7c"",""entity"":""GOBP_EPITHELIAL_CELL_MORPHOGENESIS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M517c770f2dc7"",""gene_ids"":[""3397"",""5314"",""3209"",""1365"",""5879""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_EPITHELIAL_CELL_MORPHOGENESIS""],""gene_set_hash"":""604e45ba4357"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=266; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	3386	3386	0	50	266	False	0	1	0	deterministic		proxy_context_v2: u=0.915 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;tumor;genotype;tp53;mut	5	0.9149219741848453	0.9149219741848453	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'3397;5314;3209;1365;5879	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_EPITHELIAL_CELL_MORPHOGENESIS	False
c_2b76563d3f73	GOBP_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING	fgsea_msigdb_C5_GO_BP_entrez	GOBP_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING	GOBP_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING	Mf3e8ed1b543e	False		7124,6543,5336,11261,89	7124,6543,5336,11261,89	7124,6543,5336,11261,89	5	5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING	a72dd39e213a	0.5012967452947152	False	PASS	none	0.5012967452947152	PROXY_U01_OK		False	0	-1		b6db28ceda2d	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_2b76563d3f73"",""entity"":""GOBP_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mf3e8ed1b543e"",""gene_ids"":[""7124"",""6543"",""5336"",""11261"",""89""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING""],""gene_set_hash"":""a72dd39e213a"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=266; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	3386	3386	0	50	266	False	0	1	0	deterministic		proxy_context_v2: u=0.501 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;tumor;genotype;tp53;mut	5	0.5012967452947152	0.5012967452947152	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'7124;6543;5336;11261;89	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING	False
c_9c9d7ddf40c9	GOBP_OSTEOBLAST_DEVELOPMENT	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_OSTEOBLAST_DEVELOPMENT	fgsea_msigdb_C5_GO_BP_entrez	GOBP_OSTEOBLAST_DEVELOPMENT	GOBP_OSTEOBLAST_DEVELOPMENT	M014508f46776	False		5744,5745,3727,6469,1050	5744,5745,3727,6469,1050	5744,5745,3727,6469,1050	5	5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_OSTEOBLAST_DEVELOPMENT	08974442c6a7	0.33081980883487727	False	PASS	none	0.33081980883487727	PROXY_U01_OK		False	0	-1		b6db28ceda2d	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_9c9d7ddf40c9"",""entity"":""GOBP_OSTEOBLAST_DEVELOPMENT"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M014508f46776"",""gene_ids"":[""5744"",""5745"",""3727"",""6469"",""1050""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_OSTEOBLAST_DEVELOPMENT""],""gene_set_hash"":""08974442c6a7"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=266; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	3386	3386	0	50	266	False	0	1	0	deterministic		proxy_context_v2: u=0.331 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;tumor;genotype;tp53;mut	5	0.33081980883487727	0.33081980883487727	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'5744;5745;3727;6469;1050	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_OSTEOBLAST_DEVELOPMENT	False
c_a410da85e81a	GOBP_HEMOGLOBIN_METABOLIC_PROCESS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_HEMOGLOBIN_METABOLIC_PROCESS	fgsea_msigdb_C5_GO_BP_entrez	GOBP_HEMOGLOBIN_METABOLIC_PROCESS	GOBP_HEMOGLOBIN_METABOLIC_PROCESS	M43839269c7d6	False		8861,2056,3263	8861,2056,3263	8861,2056,3263	3	3	fgsea_msigdb_C5_GO_BP_entrez:GOBP_HEMOGLOBIN_METABOLIC_PROCESS	c9d9c3058e70	0.9185846943455196	False	PASS	none	0.9185846943455196	PROXY_U01_OK		False	0	-1		b6db28ceda2d	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_a410da85e81a"",""entity"":""GOBP_HEMOGLOBIN_METABOLIC_PROCESS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M43839269c7d6"",""gene_ids"":[""8861"",""2056"",""3263""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_HEMOGLOBIN_METABOLIC_PROCESS""],""gene_set_hash"":""c9d9c3058e70"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=266; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	3386	3386	0	50	266	False	0	1	0	deterministic		proxy_context_v2: u=0.919 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;tumor;genotype;tp53;mut	5	0.9185846943455196	0.9185846943455196	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'8861;2056;3263	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_HEMOGLOBIN_METABOLIC_PROCESS	False
c_f1dc589434fa	GOBP_PROTEIN_NEDDYLATION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_PROTEIN_NEDDYLATION	fgsea_msigdb_C5_GO_BP_entrez	GOBP_PROTEIN_NEDDYLATION	GOBP_PROTEIN_NEDDYLATION	M87b04f1b1187	False		10987,6125,9616,4738,9039	10987,6125,9616,4738,9039	10987,6125,9616,4738,9039	5	5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_PROTEIN_NEDDYLATION	3ad91572ce31	0.3659678923168359	False	PASS	none	0.3659678923168359	PROXY_U01_OK		False	0	-1		b6db28ceda2d	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_f1dc589434fa"",""entity"":""GOBP_PROTEIN_NEDDYLATION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M87b04f1b1187"",""gene_ids"":[""10987"",""6125"",""9616"",""4738"",""9039""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_PROTEIN_NEDDYLATION""],""gene_set_hash"":""3ad91572ce31"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=266; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	3386	3386	0	50	266	False	0	1	0	deterministic		proxy_context_v2: u=0.366 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;tumor;genotype;tp53;mut	5	0.3659678923168359	0.3659678923168359	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'10987;6125;9616;4738;9039	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_PROTEIN_NEDDYLATION	False
c_1102734d9baa	GOBP_MICROVILLUS_ORGANIZATION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_MICROVILLUS_ORGANIZATION	fgsea_msigdb_C5_GO_BP_entrez	GOBP_MICROVILLUS_ORGANIZATION	GOBP_MICROVILLUS_ORGANIZATION	M694f7db926f4	False		4640,5908,5337,11344,7429	4640,5908,5337,11344,7429	4640,5908,5337,11344,7429	5	5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_MICROVILLUS_ORGANIZATION	9ae83b642d5c	0.340369050076337	False	PASS	none	0.340369050076337	PROXY_U01_OK		False	0	-1		b6db28ceda2d	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_1102734d9baa"",""entity"":""GOBP_MICROVILLUS_ORGANIZATION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M694f7db926f4"",""gene_ids"":[""4640"",""5908"",""5337"",""11344"",""7429""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_MICROVILLUS_ORGANIZATION""],""gene_set_hash"":""9ae83b642d5c"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=266; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	3386	3386	0	50	266	False	0	1	0	deterministic		proxy_context_v2: u=0.340 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;tumor;genotype;tp53;mut	5	0.340369050076337	0.340369050076337	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'4640;5908;5337;11344;7429	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_MICROVILLUS_ORGANIZATION	False
c_ef23bc56e18e	GOBP_CELLULAR_RESPONSE_TO_ANGIOTENSIN	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CELLULAR_RESPONSE_TO_ANGIOTENSIN	fgsea_msigdb_C5_GO_BP_entrez	GOBP_CELLULAR_RESPONSE_TO_ANGIOTENSIN	GOBP_CELLULAR_RESPONSE_TO_ANGIOTENSIN	M3b7345480a0f	False		5580,815,760,5879,4921	5580,815,760,5879,4921	5580,815,760,5879,4921	5	5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CELLULAR_RESPONSE_TO_ANGIOTENSIN	01e0085166e3	0.6855678452940037	False	PASS	none	0.6855678452940037	PROXY_U01_OK		False	0	-1		b6db28ceda2d	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_ef23bc56e18e"",""entity"":""GOBP_CELLULAR_RESPONSE_TO_ANGIOTENSIN"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M3b7345480a0f"",""gene_ids"":[""5580"",""815"",""760"",""5879"",""4921""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_CELLULAR_RESPONSE_TO_ANGIOTENSIN""],""gene_set_hash"":""01e0085166e3"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=266; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	3386	3386	0	50	266	False	0	1	0	deterministic		proxy_context_v2: u=0.686 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;tumor;genotype;tp53;mut	5	0.6855678452940037	0.6855678452940037	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'5580;815;760;5879;4921	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_CELLULAR_RESPONSE_TO_ANGIOTENSIN	False
c_331def62d4a1	GOBP_RESPONSE_TO_IMMOBILIZATION_STRESS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPONSE_TO_IMMOBILIZATION_STRESS	fgsea_msigdb_C5_GO_BP_entrez	GOBP_RESPONSE_TO_IMMOBILIZATION_STRESS	GOBP_RESPONSE_TO_IMMOBILIZATION_STRESS	M355e354e74ee	False		745,7031,5309,4303,1543	745,7031,5309,4303,1543	745,7031,5309,4303,1543	5	5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPONSE_TO_IMMOBILIZATION_STRESS	f1c772edd455	0.00922574296978107	False	FAIL	none	0.00922574296978107	PROXY_U01_LOW_FAIL		False	0	-1		b6db28ceda2d	False	hard	False	True	False	1.0	True	ok	"{""claim_id"":""c_331def62d4a1"",""entity"":""GOBP_RESPONSE_TO_IMMOBILIZATION_STRESS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M355e354e74ee"",""gene_ids"":[""745"",""7031"",""5309"",""4303"",""1543""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPONSE_TO_IMMOBILIZATION_STRESS""],""gene_set_hash"":""f1c772edd455"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=266; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	3386	3386	0	50	266	False	0	1	0	deterministic		proxy_context_v2: u=0.009 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;tumor;genotype;tp53;mut	5	0.00922574296978107	0.00922574296978107	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'745;7031;5309;4303;1543	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPONSE_TO_IMMOBILIZATION_STRESS	True
c_baf487b9be43	GOBP_EMBRYONIC_PLACENTA_MORPHOGENESIS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_EMBRYONIC_PLACENTA_MORPHOGENESIS	fgsea_msigdb_C5_GO_BP_entrez	GOBP_EMBRYONIC_PLACENTA_MORPHOGENESIS	GOBP_EMBRYONIC_PLACENTA_MORPHOGENESIS	M58768edfcae1	False		3586,2885,3491	3586,2885,3491	3586,2885,3491	3	3	fgsea_msigdb_C5_GO_BP_entrez:GOBP_EMBRYONIC_PLACENTA_MORPHOGENESIS	2128771b8573	0.6639863597589186	False	PASS	none	0.6639863597589186	PROXY_U01_OK		False	0	-1		b6db28ceda2d	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_baf487b9be43"",""entity"":""GOBP_EMBRYONIC_PLACENTA_MORPHOGENESIS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M58768edfcae1"",""gene_ids"":[""3586"",""2885"",""3491""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_EMBRYONIC_PLACENTA_MORPHOGENESIS""],""gene_set_hash"":""2128771b8573"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=266; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	3386	3386	0	50	266	False	0	1	0	deterministic		proxy_context_v2: u=0.664 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	brca;tumor;genotype;tp53;mut	5	0.6639863597589186	0.6639863597589186	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'3586;2885;3491	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_EMBRYONIC_PLACENTA_MORPHOGENESIS	False
