term_id	term_name	source	stat	qval	direction	evidence_genes	group_id	invalid_reason	is_summary	is_valid	pval	pval_provided	pval_source	qval_provided	qval_source	term_id_salvaged	term_name_salvaged
GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	fgsea_msigdb_C5_GO_BP_entrez	-1.91850981122212	0.326975982224	down	345;11160;10613;2329;672;3638;634;207			False	True		False	missing	True	qval	False	False
GOBP_GLIAL_CELL_PROLIFERATION	GOBP_GLIAL_CELL_PROLIFERATION	fgsea_msigdb_C5_GO_BP_entrez	1.90508129637257	0.326975982224	up	3418;1385;5179;6659;4774;7957;1938;4204;1869;3953;2670;3845;5501;6833;1191;6376;5925;1436;4781;4693;7124;4067;9921;5583;1435;3569;4771;7424;2629;4049			False	True		False	missing	True	qval	False	False
GOBP_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY	GOBP_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY	fgsea_msigdb_C5_GO_BP_entrez	1.90200589205781	0.326975982224	up	9052;3586;10268;4988			False	True		False	missing	True	qval	False	False
GOBP_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	GOBP_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	fgsea_msigdb_C5_GO_BP_entrez	1.83643351655844	0.326975982224	up	10673;3586;1141;7292;3574;7494;10459;100;572;940;3565;10451			False	True		False	missing	True	qval	False	False
GOBP_REGULATION_OF_B_CELL_ACTIVATION	GOBP_REGULATION_OF_B_CELL_ACTIVATION	fgsea_msigdb_C5_GO_BP_entrez	1.77629047419974	0.326975982224	up	10673;3586;1141;3398;7292;3574;7494;10459;100;7805;572;3149;940;3565;9473;677;10451;472;6830;5074;7305			False	True		False	missing	True	qval	False	False
GOBP_B_CELL_DIFFERENTIATION	GOBP_B_CELL_DIFFERENTIATION	fgsea_msigdb_C5_GO_BP_entrez	1.65091833863718	0.326975982224	up	10673;3586;3398;3578;3574;7494;10892;5897;100;7805;572;7528;3149;3565;3589;1316;3815;677;7922;6670;472;292;602;1380;8503;2323;7412;5293			False	True		False	missing	True	qval	False	False
GOBP_CELL_KILLING	GOBP_CELL_KILLING	fgsea_msigdb_C5_GO_BP_entrez	1.57052228015433	0.326975982224	up	3575;3916;1604;3586;3251;2013;2214;3107;3122;10870;3799;5473;6355;2921;8772;2999;563;3500;6863;10666;6845;1670;5052;11151;3565;3589;1667;9103;177;3606;383;1668;1673;1512;3684;3594;4068;7305;913;2597;2633;3576;922;1669;5443;10850;1524;1773;735;566;3635;2213;11334;909			False	True		False	missing	True	qval	False	False
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	fgsea_msigdb_C5_GO_BP_entrez	1.55798532449858	0.326975982224	up	10673;9021;3598;3575;1604;3572;3586;3251;3503;2013;2214;3581;3107;3578;3122;7292;924;5245;10892;8772;10459;563;3501;100;3500;10666;940;10068;3565;9103;1178;177;3606;3543;710;383;3142;7454;4683;3426;6095;1512;6830;602;10538;3594;8767;1380;913			False	True		False	missing	True	qval	False	False
GOBP_LEUKOCYTE_PROLIFERATION	GOBP_LEUKOCYTE_PROLIFERATION	fgsea_msigdb_C5_GO_BP_entrez	1.52117666374484	0.326975982224	up	10673;7001;3568;3575;1604;3572;3586;3251;1141;3659;2013;2214;3578;923;7292;3574;10892;6355;10467;8772;5897;1437;100;7805;6863;4352;3479;940;11151;3565;8440;3988;3815;1178;177;3606;10451;5322;383;6541;472;5074;3594;6869;8767;1380;7305;2323;1401;5573;944;7412;3485;7037;3481			False	True		False	missing	True	qval	False	False
GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION	GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION	fgsea_msigdb_C5_GO_BP_entrez	1.50085102971499	0.326975982224	up	10673;3120;3575;8289;1604;3572;3586;7525;1141;2214;6602;923;3122;7292;3574;7494;3603;10892;8772;101;10459;6659;100;6598;6863;10666;4352;572;3479;3932;940;2815;11151;3565;6403;8440;6599;177;3606;10451;3142;6541;3727;3594;6869;8767;7305;2323;2309;10808;5395;7412;5293;3485;7037;3481;5170;5105;3127;6461;1445;3635;6604			False	True		False	missing	True	qval	False	False
