row_index	mode	before_n	after_n	dropped_n	dropped_hash	injected_n	injected_hash
0	clean	10	10	0		0	
1	clean	58	58	0		0	
2	clean	12	12	0		0	
3	clean	9	9	0		0	
4	clean	6	6	0		0	
5	clean	22	22	0		0	
6	clean	33	33	0		0	
7	clean	41	41	0		0	
8	clean	36	36	0		0	
9	clean	22	22	0		0	
10	clean	63	63	0		0	
11	clean	55	55	0		0	
12	clean	37	37	0		0	
13	clean	55	55	0		0	
14	clean	14	14	0		0	
15	clean	28	28	0		0	
16	clean	43	43	0		0	
17	clean	18	18	0		0	
18	clean	50	50	0		0	
19	clean	7	7	0		0	
20	clean	57	57	0		0	
21	clean	8	8	0		0	
22	clean	30	30	0		0	
23	clean	42	42	0		0	
24	clean	32	32	0		0	
25	clean	51	51	0		0	
26	clean	37	37	0		0	
27	clean	22	22	0		0	
28	clean	26	26	0		0	
29	clean	21	21	0		0	
30	clean	28	28	0		0	
31	clean	11	11	0		0	
32	clean	29	29	0		0	
33	clean	10	10	0		0	
34	clean	24	24	0		0	
35	clean	28	28	0		0	
36	clean	14	14	0		0	
37	clean	43	43	0		0	
38	clean	41	41	0		0	
39	clean	13	13	0		0	
40	clean	15	15	0		0	
41	clean	37	37	0		0	
42	clean	17	17	0		0	
43	clean	25	25	0		0	
44	clean	16	16	0		0	
45	clean	40	40	0		0	
46	clean	9	9	0		0	
47	clean	46	46	0		0	
48	clean	9	9	0		0	
49	clean	10	10	0		0	
