condition	tissue	perturbation	comparison	context_key	claim_id	entity	direction	context_keys	term_uid	source	term_id	term_name	module_id	module_reason	gene_ids	term_ids	gene_set_hash	context_score	eligible	term_survival	keep_term	keep_reason	claim_json	claim_mode	llm_notes	context_evaluated	context_method	context_status	context_reason	context_notes	context_confidence	context_gate_mode	context_review_mode	context_ctx_id	context_proxy_method	context_score_proxy	context_score_proxy_norm	module_context_weight	context_score_proxy_reason	context_score_proxy_n_nonzero	context_tokens_method	context_tokens	context_tokens_n	context_signature	context_score_proxy_u01	context_score_proxy_u01_norm	context_ctx_id_original	context_ctx_id_effective	context_swap_from	context_swap_to	gene_ids_excel	term_ids_excel	context_gate_applied_pre_audit
HNSC	tumor	genotype	TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	c_de0c536ad356	HALLMARK_APOPTOSIS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	fgsea_msigdb_H_entrez	HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Mdf6350d89cee		4060,1499,7818,6304,5970,3301,4000,633,2879,3482,1676,8878,8837,2064,5366,7417,840,5747,1634,1806,835,2876,5058,595,4092,6041,331,2069,5914,3553,4744,3569,3725,3552,4616,5159	fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	1b912bf139ec	0.0	True	1.0	True	ok	"{""claim_id"":""c_de0c536ad356"",""entity"":""HALLMARK_APOPTOSIS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":true,""context_method"":""llm"",""context_status"":""PASS"",""context_reason"":""The term HALLMARK_APOPTOSIS is relevant to the context of TP53 mutation in a tumor sample (HNSC), as apoptosis is often associated with cancer and TP53 mutation"",""context_notes"":null,""evidence_ref"":{""module_id"":""Mdf6350d89cee"",""gene_ids"":[""4060"",""1499"",""7818"",""6304"",""5970"",""3301"",""4000"",""633"",""2879"",""3482"",""1676"",""8878"",""8837"",""2064"",""5366"",""7417"",""840"",""5747"",""1634"",""1806"",""835"",""2876"",""5058"",""595"",""4092"",""6041"",""331"",""2069"",""5914"",""3553"",""4744"",""3569"",""3725"",""3552"",""4616"",""5159""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS""],""gene_set_hash"":""1b912bf139ec"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	llm	ok	True	llm	PASS	The term HALLMARK_APOPTOSIS is relevant to the context of TP53 mutation in a tumor sample (HNSC), as apoptosis is often associated with cancer and TP53 mutation		1.0	hard	llm	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	4f87a455d90d	0.597218030864805	0.597218030864805	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'4060;1499;7818;6304;5970;3301;4000;633;2879;3482;1676;8878;8837;2064;5366;7417;840;5747;1634;1806;835;2876;5058;595;4092;6041;331;2069;5914;3553;4744;3569;3725;3552;4616;5159	'fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	False
HNSC	tumor	genotype	TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	c_402f11698cfb	HALLMARK_P53_PATHWAY	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	fgsea_msigdb_H_entrez	HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Maf269dcd4575		4033,7062,5372,2258,3265,4084,3732,8626,1839,3691,5900,9618,10458,10906,7378,8651,7867,9883,8848,7164,3006,8722,1969,677,3725,3552,5429,317,10608,247,5154,2872,7832,6256,10628,2760,8493,10614,2052,11059,10437,8744,2073,3625,896,10668,6948,2517,3976,1026,10769,4193,6281,578,900,975,7704,7039,100,1030,5820,10399,5268	fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	73cbba12ef1c	0.0	True	1.0	True	ok	"{""claim_id"":""c_402f11698cfb"",""entity"":""HALLMARK_P53_PATHWAY"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":true,""context_method"":""llm"",""context_status"":""PASS"",""context_reason"":""The term HALLMARK_P53_PATHWAY is relevant to the context condition HNSC and perturbation genotype TP53_mut_vs_TP53_wt."",""context_notes"":null,""evidence_ref"":{""module_id"":""Maf269dcd4575"",""gene_ids"":[""4033"",""7062"",""5372"",""2258"",""3265"",""4084"",""3732"",""8626"",""1839"",""3691"",""5900"",""9618"",""10458"",""10906"",""7378"",""8651"",""7867"",""9883"",""8848"",""7164"",""3006"",""8722"",""1969"",""677"",""3725"",""3552"",""5429"",""317"",""10608"",""247"",""5154"",""2872"",""7832"",""6256"",""10628"",""2760"",""8493"",""10614"",""2052"",""11059"",""10437"",""8744"",""2073"",""3625"",""896"",""10668"",""6948"",""2517"",""3976"",""1026"",""10769"",""4193"",""6281"",""578"",""900"",""975"",""7704"",""7039"",""100"",""1030"",""5820"",""10399"",""5268""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY""],""gene_set_hash"":""73cbba12ef1c"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	llm	ok	True	llm	PASS	The term HALLMARK_P53_PATHWAY is relevant to the context condition HNSC and perturbation genotype TP53_mut_vs_TP53_wt.		1.0	hard	llm	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	4f87a455d90d	0.30170462089314	0.30170462089314	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'4033;7062;5372;2258;3265;4084;3732;8626;1839;3691;5900;9618;10458;10906;7378;8651;7867;9883;8848;7164;3006;8722;1969;677;3725;3552;5429;317;10608;247;5154;2872;7832;6256;10628;2760;8493;10614;2052;11059;10437;8744;2073;3625;896;10668;6948;2517;3976;1026;10769;4193;6281;578;900;975;7704;7039;100;1030;5820;10399;5268	'fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	False
HNSC	tumor	genotype	TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	c_53120a9f833e	HALLMARK_TNFA_SIGNALING_VIA_NFKB	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB	fgsea_msigdb_H_entrez	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Mdf6350d89cee		8013,4794,7128,1435,5970,4084,1839,5271,5743,7262,6385,10957,8613,8878,8837,2920,7071,5209,1958,11080,5606,6347,8848,595,5055,2355,7280,7097,3164,1959,3553,3569,3725,3552,6372,10318,9242,4616,5971,4783,7832,3949,2921,3726,8303,5806,1906,10221,8744,8942,1827,4780,2683,2919,10209	fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB	8f055c2f4077	0.0	True	1.0	True	ok	"{""claim_id"":""c_53120a9f833e"",""entity"":""HALLMARK_TNFA_SIGNALING_VIA_NFKB"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":true,""context_method"":""llm"",""context_status"":""PASS"",""context_reason"":""The term HALLMARK_TNFA_SIGNALING_VIA_NFKB is associated with genes involved in TNF-alpha signaling via NF-kappa B pathway, which is relevant to the context of H"",""context_notes"":null,""evidence_ref"":{""module_id"":""Mdf6350d89cee"",""gene_ids"":[""8013"",""4794"",""7128"",""1435"",""5970"",""4084"",""1839"",""5271"",""5743"",""7262"",""6385"",""10957"",""8613"",""8878"",""8837"",""2920"",""7071"",""5209"",""1958"",""11080"",""5606"",""6347"",""8848"",""595"",""5055"",""2355"",""7280"",""7097"",""3164"",""1959"",""3553"",""3569"",""3725"",""3552"",""6372"",""10318"",""9242"",""4616"",""5971"",""4783"",""7832"",""3949"",""2921"",""3726"",""8303"",""5806"",""1906"",""10221"",""8744"",""8942"",""1827"",""4780"",""2683"",""2919"",""10209""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB""],""gene_set_hash"":""8f055c2f4077"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	llm	ok	True	llm	PASS	The term HALLMARK_TNFA_SIGNALING_VIA_NFKB is associated with genes involved in TNF-alpha signaling via NF-kappa B pathway, which is relevant to the context of H		1.0	hard	llm	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	4f87a455d90d	0.5578503101011103	0.5578503101011103	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'8013;4794;7128;1435;5970;4084;1839;5271;5743;7262;6385;10957;8613;8878;8837;2920;7071;5209;1958;11080;5606;6347;8848;595;5055;2355;7280;7097;3164;1959;3553;3569;3725;3552;6372;10318;9242;4616;5971;4783;7832;3949;2921;3726;8303;5806;1906;10221;8744;8942;1827;4780;2683;2919;10209	'fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB	False
HNSC	tumor	genotype	TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	c_07978786a0ce	HALLMARK_ANGIOGENESIS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_ANGIOGENESIS	fgsea_msigdb_H_entrez	HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Me6bf443283c2		4060,6578,5553,5196,8993,5747,5104	fgsea_msigdb_H_entrez:HALLMARK_ANGIOGENESIS	e7371f4eac9a	0.0	True	0.9375	True	ok	"{""claim_id"":""c_07978786a0ce"",""entity"":""HALLMARK_ANGIOGENESIS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":true,""context_method"":""llm"",""context_status"":""PASS"",""context_reason"":""The term HALLMARK_ANGIOGENESIS is associated with angiogenesis, which is a characteristic of tumor tissues."",""context_notes"":null,""evidence_ref"":{""module_id"":""Me6bf443283c2"",""gene_ids"":[""4060"",""6578"",""5553"",""5196"",""8993"",""5747"",""5104""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_ANGIOGENESIS""],""gene_set_hash"":""e7371f4eac9a"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	llm	ok	True	llm	PASS	The term HALLMARK_ANGIOGENESIS is associated with angiogenesis, which is a characteristic of tumor tissues.		1.0	hard	llm	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	4f87a455d90d	0.12904671214151797	0.12904671214151797	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'4060;6578;5553;5196;8993;5747;5104	'fgsea_msigdb_H_entrez:HALLMARK_ANGIOGENESIS	False
HNSC	tumor	genotype	TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	c_7991fb0c5841	HALLMARK_WNT_BETA_CATENIN_SIGNALING	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_WNT_BETA_CATENIN_SIGNALING	fgsea_msigdb_H_entrez	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	M591a524fec18		1499,4855,8325,8313,10014,1856,6868,6502	fgsea_msigdb_H_entrez:HALLMARK_WNT_BETA_CATENIN_SIGNALING	fdfa5bae0a42	0.0	False	0.9375	True	ok	"{""claim_id"":""c_7991fb0c5841"",""entity"":""HALLMARK_WNT_BETA_CATENIN_SIGNALING"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":true,""context_method"":""llm"",""context_status"":""FAIL"",""context_reason"":""Term 'HALLMARK_WNT_BETA_CATENIN_SIGNALING' does not match context condition 'HNSC'"",""context_notes"":null,""evidence_ref"":{""module_id"":""M591a524fec18"",""gene_ids"":[""1499"",""4855"",""8325"",""8313"",""10014"",""1856"",""6868"",""6502""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_WNT_BETA_CATENIN_SIGNALING""],""gene_set_hash"":""fdfa5bae0a42"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	llm	ok	True	llm	FAIL	Term 'HALLMARK_WNT_BETA_CATENIN_SIGNALING' does not match context condition 'HNSC'		0.0	hard	llm	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	4f87a455d90d	0.7749909076017352	0.7749909076017352	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'1499;4855;8325;8313;10014;1856;6868;6502	'fgsea_msigdb_H_entrez:HALLMARK_WNT_BETA_CATENIN_SIGNALING	True
HNSC	tumor	genotype	TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	c_6ec10a980027	HALLMARK_ADIPOGENESIS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	fgsea_msigdb_H_entrez	HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	M03a383e6e086		6817,1337,10989,8404,1652,2053,8322,1306,2879,1431,5004,5495,6391,5209,6576,112,50,2109,1349,948,10113,7086,4958,8491,6390,204,1376,334	fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	ce5fe3ea4387	0.0	False	0.9375	True	ok	"{""claim_id"":""c_6ec10a980027"",""entity"":""HALLMARK_ADIPOGENESIS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":true,""context_method"":""llm"",""context_status"":""FAIL"",""context_reason"":""The term HALLMARK_ADIPOGENESIS is not related to the context condition HNSC or tissue tumor."",""context_notes"":null,""evidence_ref"":{""module_id"":""M03a383e6e086"",""gene_ids"":[""6817"",""1337"",""10989"",""8404"",""1652"",""2053"",""8322"",""1306"",""2879"",""1431"",""5004"",""5495"",""6391"",""5209"",""6576"",""112"",""50"",""2109"",""1349"",""948"",""10113"",""7086"",""4958"",""8491"",""6390"",""204"",""1376"",""334""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS""],""gene_set_hash"":""ce5fe3ea4387"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	llm	ok	True	llm	FAIL	The term HALLMARK_ADIPOGENESIS is not related to the context condition HNSC or tissue tumor.		0.0	hard	llm	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	4f87a455d90d	0.4775480500800706	0.4775480500800706	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'6817;1337;10989;8404;1652;2053;8322;1306;2879;1431;5004;5495;6391;5209;6576;112;50;2109;1349;948;10113;7086;4958;8491;6390;204;1376;334	'fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	True
HNSC	tumor	genotype	TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	c_4e1651d119b7	HALLMARK_APICAL_JUNCTION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_APICAL_JUNCTION	fgsea_msigdb_H_entrez	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Mf906280fa5e1		1297,1002,3265,7070,9379,1006,1001,88,7087,3691,10290,4627,87,10458,5747,3675,7059,3757,8174,10174,5603,7408,478,10398,1366	fgsea_msigdb_H_entrez:HALLMARK_APICAL_JUNCTION	37b4810ad81e	0.0	True	0.9375	True	ok	"{""claim_id"":""c_4e1651d119b7"",""entity"":""HALLMARK_APICAL_JUNCTION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":true,""context_method"":""llm"",""context_status"":""PASS"",""context_reason"":""The term HALLMARK_APICAL_JUNCTION is associated with apical junctions in epithelial cells, which are relevant to tumor tissues."",""context_notes"":null,""evidence_ref"":{""module_id"":""Mf906280fa5e1"",""gene_ids"":[""1297"",""1002"",""3265"",""7070"",""9379"",""1006"",""1001"",""88"",""7087"",""3691"",""10290"",""4627"",""87"",""10458"",""5747"",""3675"",""7059"",""3757"",""8174"",""10174"",""5603"",""7408"",""478"",""10398"",""1366""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_APICAL_JUNCTION""],""gene_set_hash"":""37b4810ad81e"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	llm	ok	True	llm	PASS	The term HALLMARK_APICAL_JUNCTION is associated with apical junctions in epithelial cells, which are relevant to tumor tissues.		1.0	hard	llm	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	4f87a455d90d	0.4267756877622437	0.4267756877622437	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'1297;1002;3265;7070;9379;1006;1001;88;7087;3691;10290;4627;87;10458;5747;3675;7059;3757;8174;10174;5603;7408;478;10398;1366	'fgsea_msigdb_H_entrez:HALLMARK_APICAL_JUNCTION	False
HNSC	tumor	genotype	TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	c_287d32df5891	HALLMARK_HEDGEHOG_SIGNALING	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING	fgsea_msigdb_H_entrez	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	M0332a8692e9e		8861,7070,7857,4627,4897,8633	fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING	613ae2fabfbc	0.0	True	0.921875	True	ok	"{""claim_id"":""c_287d32df5891"",""entity"":""HALLMARK_HEDGEHOG_SIGNALING"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":true,""context_method"":""llm"",""context_status"":""PASS"",""context_reason"":""The term HALLMARK_HEDGEHOG_SIGNALING is known to be associated with TP53 mutations in the context of HNSC tumors."",""context_notes"":null,""evidence_ref"":{""module_id"":""M0332a8692e9e"",""gene_ids"":[""8861"",""7070"",""7857"",""4627"",""4897"",""8633""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING""],""gene_set_hash"":""613ae2fabfbc"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	llm	ok	True	llm	PASS	The term HALLMARK_HEDGEHOG_SIGNALING is known to be associated with TP53 mutations in the context of HNSC tumors.		1.0	hard	llm	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	4f87a455d90d	0.7967995035327302	0.7967995035327302	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'8861;7070;7857;4627;4897;8633	'fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING	False
HNSC	tumor	genotype	TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	c_3d57869efdf6	HALLMARK_IL6_JAK_STAT3_SIGNALING	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING	fgsea_msigdb_H_entrez	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Ma4188ca7ae89		8809,1435,5781,3597,4050,10379,5196,6354,4055,1438,5292,8651,1441,948,7097,3553,3569,3725	fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING	23229151cd5d	0.0	True	0.921875	True	ok	"{""claim_id"":""c_3d57869efdf6"",""entity"":""HALLMARK_IL6_JAK_STAT3_SIGNALING"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":true,""context_method"":""llm"",""context_status"":""PASS"",""context_reason"":""The term is associated with IL-6/JAK/STAT3 signaling pathway, which is relevant to HNSC (Head and Neck Squamous Cell Carcinoma) and tumor samples."",""context_notes"":null,""evidence_ref"":{""module_id"":""Ma4188ca7ae89"",""gene_ids"":[""8809"",""1435"",""5781"",""3597"",""4050"",""10379"",""5196"",""6354"",""4055"",""1438"",""5292"",""8651"",""1441"",""948"",""7097"",""3553"",""3569"",""3725""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING""],""gene_set_hash"":""23229151cd5d"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	llm	ok	True	llm	PASS	The term is associated with IL-6/JAK/STAT3 signaling pathway, which is relevant to HNSC (Head and Neck Squamous Cell Carcinoma) and tumor samples.		1.0	hard	llm	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	4f87a455d90d	0.1874022056648792	0.1874022056648792	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'8809;1435;5781;3597;4050;10379;5196;6354;4055;1438;5292;8651;1441;948;7097;3553;3569;3725	'fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING	False
HNSC	tumor	genotype	TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	c_0140522d1577	HALLMARK_CHOLESTEROL_HOMEOSTASIS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS	fgsea_msigdb_H_entrez	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	M5ff3f8386599		5165,6811,1499,875,4047,10957,308,5833,2222,6721,10654,1595,4783,2990,3949,4023,7869,1191,1891,5359,5468,230	fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS	01a3aafc0275	0.0	False	0.90625	True	ok	"{""claim_id"":""c_0140522d1577"",""entity"":""HALLMARK_CHOLESTEROL_HOMEOSTASIS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":true,""context_method"":""llm"",""context_status"":""FAIL"",""context_reason"":""The term HALLMARK_CHOLESTEROL_HOMEOSTASIS is not related to the context condition HNSC or cancer type."",""context_notes"":null,""evidence_ref"":{""module_id"":""M5ff3f8386599"",""gene_ids"":[""5165"",""6811"",""1499"",""875"",""4047"",""10957"",""308"",""5833"",""2222"",""6721"",""10654"",""1595"",""4783"",""2990"",""3949"",""4023"",""7869"",""1191"",""1891"",""5359"",""5468"",""230""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS""],""gene_set_hash"":""01a3aafc0275"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	llm	ok	True	llm	FAIL	The term HALLMARK_CHOLESTEROL_HOMEOSTASIS is not related to the context condition HNSC or cancer type.		0.0	hard	llm	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	0.0	EMPTY_WEIGHTS	0	v2	hnsc;tumor;genotype;tp53;mut	5	4f87a455d90d	0.13491924837690128	0.13491924837690128	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt	HNSC|tumor|genotype|TP53_mut_vs_TP53_wt			'5165;6811;1499;875;4047;10957;308;5833;2222;6721;10654;1595;4783;2990;3949;4023;7869;1191;1891;5359;5468;230	'fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS	True
