claim_id	human_label	rater_id	label_version	condition	entity	direction	term_name	gene_symbols_str	module_id_effective	_src
c_a109d5f2a3c3	ACCEPT	R1	v1	HNSC	HALLMARK_APOPTOSIS	up	HALLMARK_APOPTOSIS	LUM;CTNNB1;DAP3;SATB1;RELA;DNAJA1;LMNA;BGN;GPX4;IGF2R	Mdf6350d89cee	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_9da4a1e8752d	REJECT	R1	v1	HNSC	HALLMARK_P53_PATHWAY	up	HALLMARK_P53_PATHWAY	IRAG2;TCHH;PMM1;FGF13;HRAS;MXD1;CD82;TP63;HBEGF;ITGB4	Maf269dcd4575	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_3de6c9d2aa73	ACCEPT	R1	v1	HNSC	HALLMARK_OXIDATIVE_PHOSPHORYLATION	up	HALLMARK_OXIDATIVE_PHOSPHORYLATION	SURF1;COX7A2L;COX6A1;IMMT;NDUFS8;COX5A;NDUFC1;ATP5F1E;ATP5F1D;ATP5PB	M03a383e6e086	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_02aa46f2c7ef	ACCEPT	R1	v1	HNSC	HALLMARK_COMPLEMENT	down	HALLMARK_COMPLEMENT	ANG;IRF7;LGMN;HSPA5;LTF;LIPA;CTSC;TIMP1;C1QA;DUSP5	Mc4fe664d694a	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_3e9cb46ac1f2	ACCEPT	R1	v1	HNSC	HALLMARK_MTORC1_SIGNALING	up	HALLMARK_MTORC1_SIGNALING	USO1;PSME3;HPRT1;IMMT;SHMT2;DDX39A;TOMM40;PNP;NHERF1;SLC6A6	M852823ef4bff	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_b0e66db519e8	ACCEPT	R1	v1	HNSC	HALLMARK_PEROXISOME	up	HALLMARK_PEROXISOME	DLG4;HRAS;SIAH1;EPHX2;CRABP2;STS;HSD17B4;HSD11B2;PEX6;ABCC8	M316384fde50c	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_d65586fa6a4a	ACCEPT	R1	v1	HNSC	HALLMARK_INTERFERON_ALPHA_RESPONSE	down	HALLMARK_INTERFERON_ALPHA_RESPONSE	MX1;IRF7;B2M;IFI44;PSMB9;CNP;IFI27;IFITM3;HLA-C	M94039d22fbff	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_f486da562f1b	ACCEPT	R1	v1	HNSC	HALLMARK_PI3K_AKT_MTOR_SIGNALING	down	HALLMARK_PI3K_AKT_MTOR_SIGNALING	AP2M1;TSC2;MAPK1;IL4;GSK3B;MAP3K7;ATF1;LCK;NFKBIB;DDIT3	Ma9ddf8f5a0b5	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_7132ece5e87e	ACCEPT	R1	v1	HNSC	HALLMARK_E2F_TARGETS	down	HALLMARK_E2F_TARGETS	CCP110;RFC2;NOLC1;PRDX4;TUBG1;CENPE;PCNA;H2AZ1;HMMR;RFC3	M0b67a17cb0b6	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_71353c2d3baa	ACCEPT	R1	v1	HNSC	HALLMARK_UV_RESPONSE_UP	down	HALLMARK_UV_RESPONSE_UP	STARD3;MSX1;TMBIM6;BSG;SLC6A8;FKBP4;PSMC3;CNP;IGFBP2;PPT1	M210904edebae	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_7eb60753a906	REJECT	R1	v1	HNSC	HALLMARK_KRAS_SIGNALING_UP	down	HALLMARK_KRAS_SIGNALING_UP	ETV1;GABRA3;KCNN4;PCP4;SCN1B;PRDM1;DOCK2;MYCN;NR0B2;CSF2	M40cd09ad5a42	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_37366b7dfe92	ACCEPT	R1	v1	HNSC	HALLMARK_KRAS_SIGNALING_DN	down	HALLMARK_KRAS_SIGNALING_DN	ARPP21;HTR1D;MX1;KCNN1;TSHB;ACTC1;SKIL;IDUA;TGFB2;PDE6B	M740963684598	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
