claim_id	human_label	rater_id	label_version	condition	entity	direction	term_name	gene_symbols_str	module_id_effective	_src
c_de0c536ad356		R1	v1	HNSC	HALLMARK_APOPTOSIS	up	HALLMARK_APOPTOSIS	LUM;CTNNB1;DAP3;SATB1;RELA;DNAJA1;LMNA;BGN;GPX4;IGF2R;DFFA;SQSTM1;CFLAR;ERBB2;PMAIP1;VDAC2;CASP7;PTK2;DCN;DPYD;CASP2;GPX1;PAK1;CCND1;SMAD7;RNASEL;XIAP;EREG;RARA;IL1B;NEFH;IL6;JUN;IL1A;GADD45B;PDGFRB	Mdf6350d89cee	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_402f11698cfb		R1	v1	HNSC	HALLMARK_P53_PATHWAY	up	HALLMARK_P53_PATHWAY	IRAG2;TCHH;PMM1;FGF13;HRAS;MXD1;CD82;TP63;HBEGF;ITGB4;RALGDS;TRAF4;BAIAP2;TRAFD1;UPP1;SOCS1;MAPKAPK3;POM121;TSC22D1;TPD52L1;H1-2;CTSF;EPHA2;ZFP36L1;JUN;IL1A;POLH;APAF1;MXD4;ALOX15B;PDGFA;MKNK2;BTG2;RXRA;TXNIP;GM2A;PPM1D;HEXIM1;EPHX1;WWP1;IFI30;TNFSF9;ERCC5;INHBB;CCND3;CGRRF1;TCN2;FUCA1;LIF;CDKN1A;PLK2;MDM2;S100A10;BAK1;CCNG1;CD81;ZBTB16;TGFA;ADA;CDKN2B;PVT1;RACK1;SERPINB5	Maf269dcd4575	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_53120a9f833e		R1	v1	HNSC	HALLMARK_TNFA_SIGNALING_VIA_NFKB	up	HALLMARK_TNFA_SIGNALING_VIA_NFKB	NR4A3;NFKBIE;TNFAIP3;CSF1;RELA;MXD1;HBEGF;SERPINB8;PTGS2;PHLDA2;SDC4;PNRC1;PLPP3;SQSTM1;CFLAR;CXCL2;KLF10;PFKFB3;EGR1;DNAJB4;MAP2K3;CCL2;TSC22D1;CCND1;SERPINB2;FOSL2;TUBB2A;TLR2;NR4A1;EGR2;IL1B;IL6;JUN;IL1A;CXCL6;TNIP1;MSC;GADD45B;RELB;NFIL3;BTG2;LDLR;CXCL3;JUNB;SNN;PTX3;EDN1;TRIB1;TNFSF9;KYNU;RCAN1;NFE2L2;B4GALT1;CXCL1;EIF1	Mdf6350d89cee	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_07978786a0ce		R1	v1	HNSC	HALLMARK_ANGIOGENESIS	up	HALLMARK_ANGIOGENESIS	LUM;SLCO2A1;PRG2;PF4;PGLYRP1;PTK2;SERPINA5	Me6bf443283c2	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_7991fb0c5841		R1	v1	HNSC	HALLMARK_WNT_BETA_CATENIN_SIGNALING	up	HALLMARK_WNT_BETA_CATENIN_SIGNALING	CTNNB1;NOTCH4;FZD8;AXIN2;HDAC5;DVL2;ADAM17;SKP2	M591a524fec18	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_6ec10a980027		R1	v1	HNSC	HALLMARK_ADIPOGENESIS	up	HALLMARK_ADIPOGENESIS	SULT1A1;COX6A1;IMMT;SPARCL1;DDT;EPHX2;FZD4;COL15A1;GPX4;CS;ORM1;PPM1B;SDHC;PFKFB3;SLC25A1;ADCY6;ACO2;ETFB;COX7B;CD36;PREB;TKT;OMD;MAP4K3;SDHB;AK2;CPT2;APLP2	M03a383e6e086	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_4e1651d119b7		R1	v1	HNSC	HALLMARK_APICAL_JUNCTION	up	HALLMARK_APICAL_JUNCTION	COL9A1;CDH4;HRAS;THY1;NRXN2;CDH8;CDH3;ACTN2;ICAM5;ITGB4;SPEG;MYH9;ACTN1;BAIAP2;PTK2;ITGA3;THBS3;KCNH2;MADCAM1;SORBS3;MAPK13;VASP;ATP1A3;MYL9;CLDN7	Mf906280fa5e1	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_287d32df5891		R1	v1	HNSC	HALLMARK_HEDGEHOG_SIGNALING	up	HALLMARK_HEDGEHOG_SIGNALING	LDB1;THY1;SCG2;MYH9;NRCAM;UNC5C	M0332a8692e9e	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_3d57869efdf6		R1	v1	HNSC	HALLMARK_IL6_JAK_STAT3_SIGNALING	up	HALLMARK_IL6_JAK_STAT3_SIGNALING	IL18R1;CSF1;PTPN11;IL13RA1;LTB;IRF9;PF4;CCL7;LTBR;CSF2RA;PIM1;SOCS1;CSF3R;CD36;TLR2;IL1B;IL6;JUN	Ma4188ca7ae89	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
c_0140522d1577		R1	v1	HNSC	HALLMARK_CHOLESTEROL_HOMEOSTASIS	up	HALLMARK_CHOLESTEROL_HOMEOSTASIS	PDK3;STX5;CTNNB1;CBS;LSS;PNRC1;ANXA5;PCYT2;FDFT1;SREBF2;PMVK;CYP51A1;NFIL3;GUSB;LDLR;LPL;SEMA3B;CLU;ECH1;PLSCR1;PPARG;ALDOC	M5ff3f8386599	/work/paper/source_data/PANCAN_TP53_v1/out_llm/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
