raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	dropped_n	dropped_genes_str	dropped_genes_symbols_str	notes	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
0	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.86353415077299	0.304351623136029	up	['9167', '1337', '9377', '1346', '1350', '1347', '1349']		False		False	False	9167;1337;9377;1346;1350;1347;1349	True		qval	True	missing	False	42	True	7	0	0				0	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV	evidence_perturb	True	466	True	False	1		0.9375	60	64	computed	0.9375	e22c7df6ccf4	0.9375	0.484375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8794642857142857	0.8794642857142857	1.0	0.9375	True	ok	off		M1c542afc7917	False	0.9375	3.0	3.0	term_survival:min
1	KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.83212469476638	0.304351623136029	up	['9167', '1337', '9377', '1346', '1350', '1347', '1349']		False		False	False	9167;1337;9377;1346;1350;1347;1349	True		qval	True	missing	False	42	True	7	0	0				1	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	evidence_perturb	True	466	True	False	1		0.96875	62	64	computed	0.96875	e22c7df6ccf4	0.96875	0.546875	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8928571428571428	0.8928571428571428	1.0	0.96875	True	ok	off		M1c542afc7917	False	0.9375	3.0	3.0	term_survival:min
2	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.73942356691892	0.341432034136079	up	['9167', '1337', '9377', '1346', '1350', '1347', '1349']		False		False	False	9167;1337;9377;1346;1350;1347;1349	True		qval	True	missing	False	42	True	7	0	0				2	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	evidence_perturb	True	466	True	False	1		0.984375	63	64	computed	0.984375	e22c7df6ccf4	0.984375	0.5	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.90625	0.90625	1.0	0.984375	True	ok	off		M1c542afc7917	False	0.9375	3.0	3.0	term_survival:min
3	KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE	KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.72952598635347	0.341432034136079	up	['1778', '1781', '10121', '11258', '1783', '10540']		False		False	False	1778;1781;10121;11258;1783;10540	True		qval	True	missing	False	42	True	7	1	1	1063	CENPF		3	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE	evidence_perturb	True	466	True	False	1		0.9375	60	64	computed	0.9375	c7add5cfe6da	0.9375	0.421875	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9140625	0.9140625	1.0	0.9375	True	ok	off		M790b3b4d1bf5	False	0.9375	5.0	5.0	term_survival:min
4	KEGG_MEDICUS_REFERENCE_TLR5_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TLR5_NFKB_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.72493181946725	0.341432034136079	down	['3654', '8517', '6885', '7100', '3593', '3592']		False		False	False	3654;8517;6885;7100;3593;3592	True		qval	True	missing	False	42	True	6	0	0				4	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TLR5_NFKB_SIGNALING_PATHWAY	evidence_perturb	True	466	True	False	1		0.890625	57	64	computed	0.890625	43b79b2cdf1f	0.890625	0.390625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9088541666666666	0.9088541666666666	1.0	0.890625	True	ok	off		M4e9e205a9b0a	False	0.828125	8.0	8.0	term_survival:min
5	KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION	KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.70294998190074	0.500212934496393	up	['8453', '7314', '7415']		False		False	False	8453;7314;7415	True		qval	True	missing	False	42	True	6	3	3	4176;4175;8318	MCM7;MCM6;CDC45		5	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION	evidence_perturb	True	466	True	False	1		0.9375	60	64	computed	0.9375	8baa5ed2ed2d	0.9375	0.328125	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8697916666666666	0.8697916666666666	1.0	0.9375	True	ok	off		M4c07ccbddcfb	False	0.84375	5.0	5.0	term_survival:min
6	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_TRANSPORT_OF_CALCIUM	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_TRANSPORT_OF_CALCIUM	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.67403939229379	0.513367276199973	up	['1742', '2905', '7417', '317', '7419', '2904', '842', '2906', '2902']		False		False	False	1742;2905;7417;317;7419;2904;842;2906;2902	True		qval	True	missing	False	42	True	9	0	0				6	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_TRANSPORT_OF_CALCIUM	evidence_perturb	True	466	True	False	1		0.921875	59	64	computed	0.921875	a472b8598d63	0.921875	0.65625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8802083333333334	0.8802083333333334	1.0	0.921875	True	ok	off		Mb239dce5253f	False	0.84375	70.0	70.0	term_survival:min
7	KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT	KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.51161622552338	0.944522540782634	up	['1778', '1781', '10121', '11258', '1783', '10540', '7280']		False		False	False	1778;1781;10121;11258;1783;10540;7280	True		qval	True	missing	False	42	True	7	0	0				7	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT	evidence_perturb	True	466	True	False	1		0.9375	60	64	computed	0.9375	4fafe3e0bc82	0.9375	0.515625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.890625	0.890625	1.0	0.9375	True	ok	off		M790b3b4d1bf5	False	0.9375	5.0	5.0	term_survival:min
8	KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION	KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.47538327786706	0.944522540782634	up	['5001', '5427', '9401', '5000', '5426', '4998', '9837', '11073']		False		False	False	5001;5427;9401;5000;5426;4998;9837;11073	True		qval	True	missing	False	42	True	12	4	4	4176;4175;8318;4174	MCM7;MCM6;CDC45;MCM5		8	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION	evidence_perturb	True	466	True	False	1		0.9375	60	64	computed	0.9375	0e9ed6fe274f	0.9375	0.65625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.88671875	0.88671875	1.0	0.9375	True	ok	off		Md498192cf922	False	0.9375	2.0	2.0	term_survival:min
9	KEGG_MEDICUS_REFERENCE_VGCC_CA2_APOPTOTIC_PATHWAY	KEGG_MEDICUS_REFERENCE_VGCC_CA2_APOPTOTIC_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.46650230845459	0.944522540782634	up	['8912', '7417', '840', '775', '776', '317', '773', '7419', '8913', '842']		False		False	False	8912;7417;840;775;776;317;773;7419;8913;842	True		qval	True	missing	False	42	True	10	0	0				9	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_VGCC_CA2_APOPTOTIC_PATHWAY	evidence_perturb	True	466	True	False	1		0.984375	63	64	computed	0.984375	24e38ba338c8	0.984375	0.703125	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8812500000000001	0.8812500000000001	1.0	0.984375	True	ok	off		Mb239dce5253f	False	0.84375	70.0	70.0	term_survival:min
