raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	dropped_n	dropped_genes_str	dropped_genes_symbols_str	notes	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
0	KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY	KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.79808166809708	0.443913817398753	down	['2950', '2948', '405', '4258', '2946', '2947', '2949', '1545', '1543', '2941']		False		False	False	2950;2948;405;4258;2946;2947;2949;1545;1543;2941	True		qval	True	missing	False	42	True	10	0	0				0	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY	evidence_perturb	True	456	True	False	1		0.984375	63	64	computed	0.984375	3e5da06c9e5e	0.984375	0.640625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.909375	0.909375	1.0	0.984375	True	ok	off		M42b85c964799	False	0.921875	3.0	3.0	term_survival:min
1	KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.7611376869557	0.443913817398753	down	['2950', '2948', '4258', '2946', '2947', '2949']		False		False	False	2950;2948;4258;2946;2947;2949	True		qval	True	missing	False	42	True	6	0	0				1	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	evidence_perturb	True	456	True	False	1		0.921875	59	64	computed	0.921875	431b464cb10f	0.921875	0.4375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9088541666666666	0.9088541666666666	1.0	0.921875	True	ok	off		M42b85c964799	False	0.921875	3.0	3.0	term_survival:min
2	KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_ERK_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.72746389092895	0.443913817398753	up	['10681', '3579', '2787', '2785', '2790', '3845', '3576', '2782', '2788']		False		False	False	10681;3579;2787;2785;2790;3845;3576;2782;2788	True		qval	True	missing	False	42	True	9	0	0				2	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_ERK_SIGNALING_PATHWAY	evidence_perturb	True	456	True	False	1		0.953125	61	64	computed	0.953125	1cc5161eca31	0.953125	0.578125	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9097222222222222	0.9097222222222222	1.0	0.953125	True	ok	off		M611e6b32b085	False	0.921875	20.0	20.0	term_survival:min
3	KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.70713272094466	0.443913817398753	down	['3695', '7414', '3680', '87', '3673', '5829', '3679', '3611', '2335', '8516', '5747', '3688', '3672']		False		False	False	3695;7414;3680;87;3673;5829;3679;3611;2335;8516;5747;3688;3672	True		qval	True	missing	False	42	True	13	0	0				3	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY	evidence_perturb	True	456	True	False	1		0.921875	59	64	computed	0.921875	00ccbbba791b	0.921875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8426339285714285	0.9074519230769231	0.9213986534299036	0.921875	True	ok	off		M5684230d5376	False	0.859375	6.0	6.0	term_survival:min
4	KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.55693945889673	0.443913817398753	down	['887', '5724', '3356', '148', '146', '3709', '3269', '6915', '886', '10800', '5332', '1909', '185', '2149', '6865']		False		False	False	887;5724;3356;148;146;3709;3269;6915;886;10800;5332;1909;185;2149;6865	True		qval	True	missing	False	42	True	15	0	0				4	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY	evidence_perturb	True	456	True	False	1		0.953125	61	64	computed	0.953125	b561f9afec71	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.833984375	0.8895833333333334	0.9298109442640694	0.953125	True	ok	off		Md81ab76738b4	False	0.796875	66.0	66.0	term_survival:min
5	KEGG_MEDICUS_REFERENCE_LPAR_GNB_G_RHO_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_LPAR_GNB_G_RHO_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.68055164630904	0.501060471345137	up	['10681', '2846', '2787', '2785', '2790']		False		False	False	10681;2846;2787;2785;2790	True		qval	True	missing	False	42	True	5	0	0				5	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_LPAR_GNB_G_RHO_SIGNALING_PATHWAY	evidence_perturb	True	456	True	False	1		0.96875	62	64	computed	0.96875	9524ee0c98e7	0.96875	0.421875	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8875	0.8875	1.0	0.96875	True	ok	off		M611e6b32b085	False	0.921875	20.0	20.0	term_survival:min
6	KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_ERK_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.60962821224643	0.501060471345137	down	['673', '5336', '1950', '5335', '5578', '369', '5604', '5605', '5582', '5579']		False		False	False	673;5336;1950;5335;5578;369;5604;5605;5582;5579	True		qval	True	missing	False	42	True	10	0	0				6	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_ERK_SIGNALING_PATHWAY	evidence_perturb	True	456	True	False	1		1.0	64	64	computed	1.0	2089a4dddbf0	1.0	0.59375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9171875	0.9171875	1.0	1.0	True	ok	off		Md81ab76738b4	False	0.796875	66.0	66.0	term_survival:min
7	KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER	KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.59454238730766	0.501060471345137	down	['1642', '1643', '4331', '7508', '1069']		False		False	False	1642;1643;4331;7508;1069	True		qval	True	missing	False	42	True	5	0	0				7	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER	evidence_perturb	True	456	True	False	1		0.984375	63	64	computed	0.984375	c086e9eff60b	0.984375	0.515625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.871875	0.871875	1.0	0.984375	True	ok	off		Mc845dfb3932b	False	0.984375	1.0	1.0	term_survival:min
8	KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_PI3K_AKT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_PI3K_AKT_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.58625039346421	0.501060471345137	up	['10681', '3579', '2787', '2785', '2790', '3576', '2782', '2788', '208']		False		False	False	10681;3579;2787;2785;2790;3576;2782;2788;208	True		qval	True	missing	False	42	True	9	0	0				8	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_PI3K_AKT_SIGNALING_PATHWAY	evidence_perturb	True	456	True	False	1		0.953125	61	64	computed	0.953125	e3513e374210	0.953125	0.703125	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8923611111111112	0.8923611111111112	1.0	0.953125	True	ok	off		M611e6b32b085	False	0.921875	20.0	20.0	term_survival:min
9	KEGG_MEDICUS_REFERENCE_KEAP1_NRF2_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_KEAP1_NRF2_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.54713630776816	0.501060471345137	down	['2950', '2948', '4258', '2946', '3162', '2947', '2949']		False		False	False	2950;2948;4258;2946;3162;2947;2949	True		qval	True	missing	False	42	True	7	0	0				9	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_KEAP1_NRF2_SIGNALING_PATHWAY	evidence_perturb	True	456	True	False	1		0.9375	60	64	computed	0.9375	27a548be6f75	0.9375	0.546875	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8839285714285714	0.8839285714285714	1.0	0.9375	True	ok	off		M42b85c964799	False	0.921875	3.0	3.0	term_survival:min
10	KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.48247207525687	0.501060471345137	down	['5686', '5688', '5693', '5714', '7311', '5718', '5690', '11047', '5682', '5694', '5707', '5685', '5710', '5691', '7316', '5719']		False		False	False	5686;5688;5693;5714;7311;5718;5690;11047;5682;5694;5707;5685;5710;5691;7316;5719	True		qval	True	missing	False	42	True	16	0	0				10	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	evidence_perturb	True	456	True	False	1		0.9375	60	64	computed	0.9375	143c829c3eda	0.9375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8676470588235294	0.921875	0.9360799127343246	0.9375	True	ok	off		M46b0a7849e86	False	0.75	8.0	8.0	term_survival:min
11	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.48247207525687	0.501060471345137	down	['5686', '5688', '5693', '5714', '7311', '5718', '5690', '11047', '5682', '5694', '5707', '5685', '5710', '5691', '7316', '5719']		False		False	False	5686;5688;5693;5714;7311;5718;5690;11047;5682;5694;5707;5685;5710;5691;7316;5719	True		qval	True	missing	False	42	True	16	0	0				11	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	evidence_perturb	True	456	True	False	1		0.9375	60	64	computed	0.9375	143c829c3eda	0.9375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8529411764705883	0.90625	0.9350639594780221	0.9375	True	ok	off		M46b0a7849e86	False	0.75	8.0	8.0	term_survival:min
12	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.46557907772996	0.501060471345137	down	['5686', '5688', '5693', '5714', '5718', '5690', '11047', '5682', '5694', '5707', '5685', '3064', '5710', '5691', '5719']		False		False	False	5686;5688;5693;5714;5718;5690;11047;5682;5694;5707;5685;3064;5710;5691;5719	True		qval	True	missing	False	42	True	15	0	0				12	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	evidence_perturb	True	456	True	False	1		0.875	56	64	computed	0.875	de76dfbec42a	0.875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8330078125	0.8885416666666667	0.9294400261197138	0.875	True	ok	off		M46b0a7849e86	False	0.75	8.0	8.0	term_survival:min
13	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.45827931254466	0.501060471345137	down	['5686', '5688', '5693', '5714', '7311', '5718', '5690', '11047', '5682', '5694', '5707', '5685', '5710', '5691', '7316', '5719']		False		False	False	5686;5688;5693;5714;7311;5718;5690;11047;5682;5694;5707;5685;5710;5691;7316;5719	True		qval	True	missing	False	42	True	16	0	0				13	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	evidence_perturb	True	456	True	False	1		0.984375	63	64	computed	0.984375	143c829c3eda	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8602941176470589	0.9140625	0.935679818802521	0.984375	True	ok	off		M46b0a7849e86	False	0.75	8.0	8.0	term_survival:min
14	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.45491139526748	0.501060471345137	down	['5686', '5688', '5693', '5714', '7311', '5718', '5690', '11047', '5682', '5694', '5707', '5685', '5710', '5691', '7316', '5719']		False		False	False	5686;5688;5693;5714;7311;5718;5690;11047;5682;5694;5707;5685;5710;5691;7316;5719	True		qval	True	missing	False	42	True	16	0	0				14	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	evidence_perturb	True	456	True	False	1		0.890625	57	64	computed	0.890625	143c829c3eda	0.890625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8465073529411764	0.8994140625	0.9345924487583496	0.890625	True	ok	off		M46b0a7849e86	False	0.75	8.0	8.0	term_survival:min
15	KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.55454872630048	0.506016351915725	up	['3575', '3581', '3578', '3574', '3565']		False		False	False	3575;3581;3578;3574;3565	True		qval	True	missing	False	42	True	5	0	0				15	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY	evidence_perturb	True	456	True	False	1		1.0	64	64	computed	1.0	e21f24104d22	1.0	0.421875	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8937499999999999	0.8937499999999999	1.0	1.0	True	ok	off		M71b448923518	False	0.984375	2.0	2.0	term_survival:min
16	KEGG_MEDICUS_REFERENCE_CXCL12_CXCR4_PKC_ERK_SIGNALING_PATHAWAY	KEGG_MEDICUS_REFERENCE_CXCL12_CXCR4_PKC_ERK_SIGNALING_PATHAWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.50411401913133	0.558314217289358	down	['673', '5336', '5332', '6387', '5331', '5335', '5578', '369', '5604', '5605', '5582', '5579']		False		False	False	673;5336;5332;6387;5331;5335;5578;369;5604;5605;5582;5579	True		qval	True	missing	False	42	True	12	0	0				16	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_CXCL12_CXCR4_PKC_ERK_SIGNALING_PATHAWAY	evidence_perturb	True	456	True	False	1		0.8125	52	64	computed	0.8125	bf8fb484a098	0.8125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8173076923076923	0.8854166666666667	0.912974091880342	0.8125	True	ok	off		Md81ab76738b4	False	0.796875	66.0	66.0	term_survival:min
17	KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_JNK_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_JNK_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.48013198299868	0.601212121212121	up	['10681', '2787', '2785', '2790', '3576', '2782', '2788', '5879']		False		False	False	10681;2787;2785;2790;3576;2782;2788;5879	True		qval	True	missing	False	42	True	8	0	0				17	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_JNK_SIGNALING_PATHWAY	evidence_perturb	True	456	True	False	1		0.984375	63	64	computed	0.984375	19817c59e3a5	0.984375	0.609375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.900390625	0.900390625	1.0	0.984375	True	ok	off		M611e6b32b085	False	0.921875	20.0	20.0	term_survival:min
18	KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_CDC42_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_CDC42_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.44610252451167	0.671545667447307	down	['3695', '3680', '3673', '5829', '3679', '2335', '8516', '5747', '3688', '3672', '9815', '3693', '3690', '6714', '3696']		False		False	False	3695;3680;3673;5829;3679;2335;8516;5747;3688;3672;9815;3693;3690;6714;3696	True		qval	True	missing	False	42	True	15	0	0				18	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_CDC42_SIGNALING_PATHWAY	evidence_perturb	True	456	True	False	1		0.9375	60	64	computed	0.9375	dba9c11fa00e	0.9375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.837890625	0.89375	0.9301078478812854	0.9375	True	ok	off		M5684230d5376	False	0.859375	6.0	6.0	term_survival:min
19	KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION	KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.43398350976919	0.671545667447307	up	['5429', '5111', '7507', '2072', '5426', '2073', '2968', '2967', '7515', '5427']		False		False	False	5429;5111;7507;2072;5426;2073;2968;2967;7515;5427	True		qval	True	missing	False	42	True	11	1	1	10714	POLD3		19	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION	evidence_perturb	True	456	True	False	1		1.0	64	64	computed	1.0	16dd20ba0367	1.0	0.5625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9187500000000001	0.9187500000000001	1.0	1.0	True	ok	off		Mc26188db5510	False	0.890625	6.0	6.0	term_survival:min
