raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
0	KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	2.0387045043189	0.0783052521221265	up	['3578', '3581', '3601', '3575', '6778', '6776', '3574', '3565', '3600', '3566', '3716', '3718']		False		False	False	3578;3581;3601;3575;6778;6776;3574;3565;3600;3566;3716;3718	True		qval	True	missing	False	42	True	12	0	0	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY	evidence_perturb	True	458	True	False	1		0.90625	58	64	computed	0.90625	754a309d15a3	0.90625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.84375	0.9140625	0.915831997863248	0.90625	True	ok	off		Ma5b6d66e18fe	False	0.8125	15.0	15.0	term_survival:min
1	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.80429766799277	0.286476880576017	up	['650', '7479', '7476', '7484', '7474', '5727', '6608', '7477', '7483', '7471', '7475']		False		False	False	650;7479;7476;7484;7474;5727;6608;7477;7483;7471;7475	True		qval	True	missing	False	42	True	11	0	1	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY	evidence_perturb	True	458	True	False	1		0.921875	59	64	computed	0.921875	7571a27295fc	0.921875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8255208333333334	0.9005681818181819	0.9074139835858587	0.921875	True	ok	off		M4ee18f7bc545	False	0.875	7.0	7.0	term_survival:min
2	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.80429766799277	0.286476880576017	up	['650', '7479', '7476', '7484', '7474', '5727', '6608', '7477', '7483', '7471', '7475']		False		False	False	650;7479;7476;7484;7474;5727;6608;7477;7483;7471;7475	True		qval	True	missing	False	42	True	11	0	2	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY	evidence_perturb	True	458	True	False	1		0.953125	61	64	computed	0.953125	7571a27295fc	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.84375	0.9204545454545455	0.9094933712121213	0.953125	True	ok	off		M4ee18f7bc545	False	0.875	7.0	7.0	term_survival:min
3	KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.74429179041521	0.456645822097351	down	['2946', '2947', '4258', '2948', '2940', '2938', '4257', '2939', '2941', '2952', '2949']		False		False	False	2946;2947;4258;2948;2940;2938;4257;2939;2941;2952;2949	True		qval	True	missing	False	42	True	11	0	3	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	evidence_perturb	True	458	True	False	1		0.828125	53	64	computed	0.828125	b8f7f9fe1b20	0.828125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8177083333333334	0.8920454545454546	0.9062934027777778	0.828125	True	ok	off		M470a8e3441ec	False	0.828125	3.0	3.0	term_survival:min
4	KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.56663320936546	0.687026393929197	up	['3593', '3601', '3454', '3575', '6778', '3597', '2057', '6776', '3574', '3565', '3600', '2056', '3566', '3567', '3716', '3718']		False		False	False	3593;3601;3454;3575;6778;3597;2057;6776;3574;3565;3600;2056;3566;3567;3716;3718	True		qval	True	missing	False	42	True	16	0	4	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	evidence_perturb	True	458	True	False	1		0.953125	61	64	computed	0.953125	dc8c87ea3760	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8511029411764705	0.904296875	0.9349763402957338	0.953125	True	ok	off		Ma5b6d66e18fe	False	0.8125	15.0	15.0	term_survival:min
5	KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY	KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.64178667533073	0.743803415164963	down	['2946', '2947', '4258', '2948', '405', '2940', '2938', '4257', '2939', '2941', '1545', '2952', '2949']		False		False	False	2946;2947;4258;2948;405;2940;2938;4257;2939;2941;1545;2952;2949	True		qval	True	missing	False	42	True	13	0	5	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY	evidence_perturb	True	458	True	False	1		0.890625	57	64	computed	0.890625	8092b7f076b5	0.890625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8470982142857143	0.9122596153846154	0.921663752913753	0.890625	True	ok	off		M470a8e3441ec	False	0.828125	3.0	3.0	term_survival:min
6	KEGG_MEDICUS_REFERENCE_CCR_CXCR_GNB_G_PI3K_RAC_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CCR_CXCR_GNB_G_PI3K_RAC_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.61257808918889	0.809786746120364	up	['3576', '6347', '6351', '2793', '3579', '2792', '2791']		False		False	False	3576;6347;6351;2793;3579;2792;2791	True		qval	True	missing	False	42	True	7	0	6	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_CCR_CXCR_GNB_G_PI3K_RAC_SIGNALING_PATHWAY	evidence_perturb	True	458	True	False	1		1.0	64	64	computed	1.0	9660b8f950eb	1.0	0.515625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9107142857142857	0.9107142857142857	1.0	1.0	True	ok	off		Mf77d4ece5c4b	False	0.84375	58.0	58.0	term_survival:min
7	KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES	KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.54471759168865	0.851007217366425	down	['3065', '2146', '11335', '2145', '11091', '7314', '7027', '3066', '6015', '4149']		False		False	False	3065;2146;11335;2145;11091;7314;7027;3066;6015;4149	True		qval	True	missing	False	42	True	10	0	7	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES	evidence_perturb	True	458	True	False	1		0.96875	62	64	computed	0.96875	9685fd7b24ae	0.96875	0.734375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.89375	0.89375	1.0	0.96875	True	ok	off		Ma0d2ec03f20e	False	0.796875	7.0	7.0	term_survival:min
8	KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.52129135262753	0.851007217366425	up	['468', '2793', '1388', '2792', '2791', '1385', '2790', '10488']		False		False	False	468;2793;1388;2792;2791;1385;2790;10488	True		qval	True	missing	False	42	True	8	0	8	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY	evidence_perturb	True	458	True	False	1		0.984375	63	64	computed	0.984375	cf8bcb071f6e	0.984375	0.484375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.923828125	0.923828125	1.0	0.984375	True	ok	off		Mf77d4ece5c4b	False	0.84375	58.0	58.0	term_survival:min
9	KEGG_MEDICUS_REFERENCE_BCR_PLCG_CALCINEURIN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_BCR_PLCG_CALCINEURIN_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.48735113078608	0.911433756805808	up	['4776', '4775', '6850', '5532']		False		False	False	4776;4775;6850;5532	True		qval	True	missing	False	42	True	4	0	9	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_BCR_PLCG_CALCINEURIN_SIGNALING_PATHWAY	evidence_perturb	True	458	True	False	1		0.9375	60	64	computed	0.9375	2a6118754db9	0.9375	0.390625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.88671875	0.88671875	1.0	0.9375	True	ok	off		Mf77d4ece5c4b	False	0.84375	58.0	58.0	term_survival:min
10	KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119	KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.51900831137932	0.956057246522878	down	['2146', '648', '8535', '3021', '2145', '6923', '7314', '1487', '6015', '8358', '6921']		False		False	False	2146;648;8535;3021;2145;6923;7314;1487;6015;8358;6921	True		qval	True	missing	False	42	True	11	0	10	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119	evidence_perturb	True	458	True	False	1		0.859375	55	64	computed	0.859375	5ba552ce7997	0.859375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8098958333333333	0.8835227272727273	0.9055132801226552	0.859375	True	ok	off		Ma0d2ec03f20e	False	0.796875	7.0	7.0	term_survival:min
