coverage_pass_total	coverage_decided_total	risk_fail_given_decided	risk_fail_total	fail_rate_total	n_pass	n_fail	n_abstain	n_decided	n_total	threshold	score_col	status_col	pass_if_score_ge	promote_abstain
1.0	1.0	0.0	0.0	0.0	50.0	0.0	0.0	50.0	50.0	0.796875	term_survival_agg	status	True	True
0.94	0.94	0.0	0.0	0.0	47.0	0.0	3.0	47.0	50.0	0.8125	term_survival_agg	status	True	True
0.9	0.9	0.0	0.0	0.0	45.0	0.0	5.0	45.0	50.0	0.828125	term_survival_agg	status	True	True
0.88	0.88	0.0	0.0	0.0	44.0	0.0	6.0	44.0	50.0	0.84375	term_survival_agg	status	True	True
0.86	0.86	0.0	0.0	0.0	43.0	0.0	7.0	43.0	50.0	0.859375	term_survival_agg	status	True	True
0.84	0.84	0.0	0.0	0.0	42.0	0.0	8.0	42.0	50.0	0.875	term_survival_agg	status	True	True
0.78	0.78	0.0	0.0	0.0	39.0	0.0	11.0	39.0	50.0	0.890625	term_survival_agg	status	True	True
0.76	0.76	0.0	0.0	0.0	38.0	0.0	12.0	38.0	50.0	0.90625	term_survival_agg	status	True	True
0.74	0.74	0.0	0.0	0.0	37.0	0.0	13.0	37.0	50.0	0.9375	term_survival_agg	status	True	True
0.64	0.64	0.0	0.0	0.0	32.0	0.0	18.0	32.0	50.0	0.953125	term_survival_agg	status	True	True
0.58	0.58	0.0	0.0	0.0	29.0	0.0	21.0	29.0	50.0	0.96875	term_survival_agg	status	True	True
0.46	0.46	0.0	0.0	0.0	23.0	0.0	27.0	23.0	50.0	0.984375	term_survival_agg	status	True	True
0.24	0.24	0.0	0.0	0.0	12.0	0.0	38.0	12.0	50.0	1.0	term_survival_agg	status	True	True
