claim_id	entity	direction	context_keys	term_uid	source	term_id	term_name	module_id	module_missing	module_reason	gene_ids	gene_ids_suggest	gene_ids_snippet	gene_ids_n_total	gene_ids_n_in_claim	term_ids	gene_set_hash	context_score	context_evaluated	context_status	context_method	context_confidence	context_reason	select_context_score	select_context_evaluated	select_context_tokens_n	select_context_status_score	select_context_tiebreak	context_signature	context_swap_active	context_gate_mode	context_gate_hit	eligible_context	eligible	term_survival	keep_term	keep_reason	claim_json	preselect_tau_gate	context_score_proxy	select_context_mode	select_context_policy	select_notes	select_diag_n_total	select_diag_n_eligible	select_diag_n_ineligible	select_diag_n_picked	select_diag_blocked_by_module_cap	select_diag_relaxed	select_diag_relax_passes	select_diag_max_per_module	select_diag_ctx_hit_terms	claim_mode	llm_notes	context_notes	context_review_mode	context_ctx_id	context_proxy_method	context_score_proxy_norm	module_context_weight	context_score_proxy_reason	context_score_proxy_n_nonzero	context_tokens_n	context_score_proxy_u01	context_score_proxy_u01_norm	context_ctx_id_original	context_ctx_id_effective	context_swap_from	context_swap_to	gene_ids_excel	term_ids_excel	context_gate_applied_pre_audit
c_5cbc304e6e40	REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	M84a0347ee0d3	False		10381,5562,7277,7846,10382,10376,7280,4137,10383,801	10381,5562,7277,7846,10382,10376,7280,4137,10383,801	10381,5562,7277,7846,10382,10376,7280,4137,10383,801	10	10	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	65b10363dbb3	0.764829584606658	False	PASS	none	0.764829584606658	PROXY_U01_OK		False	0	-1		b6db28ceda2d	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_5cbc304e6e40"",""entity"":""REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M84a0347ee0d3"",""gene_ids"":[""10381"",""5562"",""7277"",""7846"",""10382"",""10376"",""7280"",""4137"",""10383"",""801""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS""],""gene_set_hash"":""65b10363dbb3"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=437; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	984	984	0	50	437	False	0	1	0	deterministic		proxy_context_v2: u=0.765 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.764829584606658	0.764829584606658	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'10381;5562;7277;7846;10382;10376;7280;4137;10383;801	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	False
c_20aec14ce06d	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	M4ff7b249389c	False		6572,6616,1103,10497,6857	6572,6616,1103,10497,6857	6572,6616,1103,10497,6857	5	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	a57e6c50742f	0.0978990009768359	False	ABSTAIN	none	0.0978990009768359	PROXY_U01_LOW_ABSTAIN		False	0	-1		b6db28ceda2d	False	hard	False	True	False	1.0	True	ok	"{""claim_id"":""c_20aec14ce06d"",""entity"":""REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M4ff7b249389c"",""gene_ids"":[""6572"",""6616"",""1103"",""10497"",""6857""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE""],""gene_set_hash"":""a57e6c50742f"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=437; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	984	984	0	50	437	False	0	1	0	deterministic		proxy_context_v2: u=0.098 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.0978990009768359	0.0978990009768359	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'6572;6616;1103;10497;6857	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	True
c_bf9e86fb5f9c	REACTOME_GLYCOSPHINGOLIPID_CATABOLISM	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_GLYCOSPHINGOLIPID_CATABOLISM	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_GLYCOSPHINGOLIPID_CATABOLISM	REACTOME_GLYCOSPHINGOLIPID_CATABOLISM	M8c9e19a0a9e9	False		4758,10825,2581,2717,2629,411,427,5660,6610,2720	4758,10825,2581,2717,2629,411,427,5660,6610,2720	4758,10825,2581,2717,2629,411,427,5660,6610,2720	10	10	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_GLYCOSPHINGOLIPID_CATABOLISM	53ade730f115	0.41539667439194616	False	PASS	none	0.41539667439194616	PROXY_U01_OK		False	0	-1		b6db28ceda2d	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_bf9e86fb5f9c"",""entity"":""REACTOME_GLYCOSPHINGOLIPID_CATABOLISM"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M8c9e19a0a9e9"",""gene_ids"":[""4758"",""10825"",""2581"",""2717"",""2629"",""411"",""427"",""5660"",""6610"",""2720""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_GLYCOSPHINGOLIPID_CATABOLISM""],""gene_set_hash"":""53ade730f115"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=437; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	984	984	0	50	437	False	0	1	0	deterministic		proxy_context_v2: u=0.415 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.41539667439194616	0.41539667439194616	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'4758;10825;2581;2717;2629;411;427;5660;6610;2720	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_GLYCOSPHINGOLIPID_CATABOLISM	False
c_99c272899cb4	REACTOME_REGULATION_OF_APOPTOSIS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_APOPTOSIS	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_REGULATION_OF_APOPTOSIS	REACTOME_REGULATION_OF_APOPTOSIS	M74d41cc16217	False		5704,5713,5700,5685,4976,5690,5709,5719,5718,5688	5704,5713,5700,5685,4976,5690,5709,5719,5718,5688	5704,5713,5700,5685,4976,5690,5709,5719,5718,5688	10	10	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_APOPTOSIS	aebbedd3ea4b	0.9743982793136998	False	PASS	none	0.9743982793136998	PROXY_U01_OK		False	0	-1		b6db28ceda2d	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_99c272899cb4"",""entity"":""REACTOME_REGULATION_OF_APOPTOSIS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M74d41cc16217"",""gene_ids"":[""5704"",""5713"",""5700"",""5685"",""4976"",""5690"",""5709"",""5719"",""5718"",""5688""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_APOPTOSIS""],""gene_set_hash"":""aebbedd3ea4b"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=437; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	984	984	0	50	437	False	0	1	0	deterministic		proxy_context_v2: u=0.974 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.9743982793136998	0.9743982793136998	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'5704;5713;5700;5685;4976;5690;5709;5719;5718;5688	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_APOPTOSIS	False
c_3bdb5bd251c1	REACTOME_SIGNALING_BY_SCF_KIT	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_SCF_KIT	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_SIGNALING_BY_SCF_KIT	REACTOME_SIGNALING_BY_SCF_KIT	Mf33619f09990	False		3717,2885,1215,5879,7525	3717,2885,1215,5879,7525	3717,2885,1215,5879,7525	5	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_SCF_KIT	6605a142b60c	0.22126871734940634	False	PASS	none	0.22126871734940634	PROXY_U01_OK		False	0	-1		b6db28ceda2d	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_3bdb5bd251c1"",""entity"":""REACTOME_SIGNALING_BY_SCF_KIT"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mf33619f09990"",""gene_ids"":[""3717"",""2885"",""1215"",""5879"",""7525""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_SCF_KIT""],""gene_set_hash"":""6605a142b60c"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=437; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	984	984	0	50	437	False	0	1	0	deterministic		proxy_context_v2: u=0.221 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.22126871734940634	0.22126871734940634	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'3717;2885;1215;5879;7525	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_SCF_KIT	False
c_0193d2bf2e24	REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY	REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY	M0e3cca132c52	False		7322	7322	7322	1	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY	c863f0b0ef26	0.08964583745553933	False	ABSTAIN	none	0.08964583745553933	PROXY_U01_LOW_ABSTAIN		False	0	-1		b6db28ceda2d	False	hard	False	True	False	1.0	True	ok	"{""claim_id"":""c_0193d2bf2e24"",""entity"":""REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M0e3cca132c52"",""gene_ids"":[""7322""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY""],""gene_set_hash"":""c863f0b0ef26"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=437; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	984	984	0	50	437	False	0	1	0	deterministic		proxy_context_v2: u=0.090 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.08964583745553933	0.08964583745553933	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'7322	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY	True
c_8d3f74f30e4c	REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	down	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	Ma91a9e26cea5	False		6714	6714	6714	1	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	957a5bd57448	0.27326241014435326	False	PASS	none	0.27326241014435326	PROXY_U01_OK		False	0	-1		b6db28ceda2d	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_8d3f74f30e4c"",""entity"":""REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Ma91a9e26cea5"",""gene_ids"":[""6714""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING""],""gene_set_hash"":""957a5bd57448"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=437; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	984	984	0	50	437	False	0	1	0	deterministic		proxy_context_v2: u=0.273 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.27326241014435326	0.27326241014435326	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'6714	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	False
c_8bb814a5d266	REACTOME_REGULATION_OF_PYRUVATE_METABOLISM	down	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_PYRUVATE_METABOLISM	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_REGULATION_OF_PYRUVATE_METABOLISM	REACTOME_REGULATION_OF_PYRUVATE_METABOLISM	M721e4eea65da	False		2954	2954	2954	1	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_PYRUVATE_METABOLISM	2021cbc81876	0.18851053932701012	False	ABSTAIN	none	0.18851053932701012	PROXY_U01_LOW_ABSTAIN		False	0	-1		b6db28ceda2d	False	hard	False	True	False	1.0	True	ok	"{""claim_id"":""c_8bb814a5d266"",""entity"":""REACTOME_REGULATION_OF_PYRUVATE_METABOLISM"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M721e4eea65da"",""gene_ids"":[""2954""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_PYRUVATE_METABOLISM""],""gene_set_hash"":""2021cbc81876"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=437; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	984	984	0	50	437	False	0	1	0	deterministic		proxy_context_v2: u=0.189 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.18851053932701012	0.18851053932701012	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'2954	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_PYRUVATE_METABOLISM	True
c_962fb5fd0dc2	REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION	down	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION	REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION	Mc8d5134557a6	False		5684,5689,5694,5683,5692,5698,5695	5684,5689,5694,5683,5692,5698,5695	5684,5689,5694,5683,5692,5698,5695	7	7	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION	96dde8509366	0.9990442822603418	False	PASS	none	0.9990442822603418	PROXY_U01_OK		False	0	-1		b6db28ceda2d	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_962fb5fd0dc2"",""entity"":""REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mc8d5134557a6"",""gene_ids"":[""5684"",""5689"",""5694"",""5683"",""5692"",""5698"",""5695""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION""],""gene_set_hash"":""96dde8509366"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=437; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	984	984	0	50	437	False	0	1	0	deterministic		proxy_context_v2: u=0.999 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.9990442822603418	0.9990442822603418	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'5684;5689;5694;5683;5692;5698;5695	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION	False
c_306dc0156c0f	REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS	down	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS	REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS	M361ebb95820a	False		5868,2023,3837,4843,5595	5868,2023,3837,4843,5595	5868,2023,3837,4843,5595	5	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS	62929eea3ecd	0.9477873366672787	False	PASS	none	0.9477873366672787	PROXY_U01_OK		False	0	-1		b6db28ceda2d	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_306dc0156c0f"",""entity"":""REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M361ebb95820a"",""gene_ids"":[""5868"",""2023"",""3837"",""4843"",""5595""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS""],""gene_set_hash"":""62929eea3ecd"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=437; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=b6db28ceda2d; ctx_hit_terms=0	984	984	0	50	437	False	0	1	0	deterministic		proxy_context_v2: u=0.948 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=b6db28ceda2d	proxy	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.9477873366672787	0.9477873366672787	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt	BRCA|tumor|genotype|TP53_mut_vs_TP53_wt			'5868;2023;3837;4843;5595	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS	False
