raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	dropped_n	dropped_genes_str	dropped_genes_symbols_str	notes	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
0	REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	fgsea_msigdb_C2_CP_REACTOME_entrez	2.03154257829762	0.125745120899973	up	['7534', '637', '208', '7532', '7529', '596']		False		False	False	7534;637;208;7532;7529;596	True		qval	True	missing	False	42	True	6	0	0				0	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	evidence_perturb	True	2743	True	False	1		0.84375	54	64	computed	0.84375	21681a6a383d	0.84375	0.390625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9010416666666666	0.9010416666666666	1.0	0.84375	True	ok	off		M75d9d8da4ca6	False	0.765625	510.0	510.0	term_survival:min
1	REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	fgsea_msigdb_C2_CP_REACTOME_entrez	1.73092652359344	0.125745120899973	up	['8353', '5890', '3717', '5568', '3660', '11216', '3659', '3799', '2626', '1017', '10381', '8350', '5879', '3831', '3798', '8358', '7277', '7846', '10382', '9732', '7157', '3445', '3448', '8352', '3442', '8357', '3449', '7465', '3045', '7975', '3451', '8351', '3439', '1793', '3705', '8354', '7280', '8356', '2625', '3020', '2624']		False		False	False	8353;5890;3717;5568;3660;11216;3659;3799;2626;1017;10381;8350;5879;3831;3798;8358;7277;7846;10382;9732;7157;3445;3448;8352;3442;8357;3449;7465;3045;7975;3451;8351;3439;1793;3705;8354;7280;8356;2625;3020;2624	True		qval	True	missing	False	42	True	43	2	2	3833;10376	KIFC1;TUBA1B		1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	evidence_perturb	True	2743	True	False	1		0.921875	59	64	computed	0.921875	2f9069f1ed36	0.921875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8546511627906975	0.896341463414634	0.9481827903174544	0.921875	True	ok	off		M75d9d8da4ca6	False	0.765625	510.0	510.0	term_survival:min
2	REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	fgsea_msigdb_C2_CP_REACTOME_entrez	1.86186326736949	0.163343973968977	up	['5917', '9255', '3035', '4677', '5464', '7965', '2617']		False		False	False	5917;9255;3035;4677;5464;7965;2617	True		qval	True	missing	False	42	True	7	0	0				2	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	evidence_perturb	True	2743	True	False	1		0.96875	62	64	computed	0.96875	ab2d7df14ed7	0.96875	0.578125	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9017857142857142	0.9017857142857142	1.0	0.96875	True	ok	off		M75d9d8da4ca6	False	0.765625	510.0	510.0	term_survival:min
3	REACTOME_TRNA_AMINOACYLATION	REACTOME_TRNA_AMINOACYLATION	fgsea_msigdb_C2_CP_REACTOME_entrez	1.72392105547072	0.488304254680694	up	['5917', '9255', '3035', '4677', '5464', '7965', '2617']		False		False	False	5917;9255;3035;4677;5464;7965;2617	True		qval	True	missing	False	42	True	7	0	0				3	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TRNA_AMINOACYLATION	evidence_perturb	True	2743	True	False	1		0.96875	62	64	computed	0.96875	ab2d7df14ed7	0.96875	0.453125	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9151785714285714	0.9151785714285714	1.0	0.96875	True	ok	off		M75d9d8da4ca6	False	0.765625	510.0	510.0	term_survival:min
4	REACTOME_RHOV_GTPASE_CYCLE	REACTOME_RHOV_GTPASE_CYCLE	fgsea_msigdb_C2_CP_REACTOME_entrez	1.70064275547255	0.488304254680694	up	['6709', '8826', '4296', '9352', '8239', '6711', '1213']		False		False	False	6709;8826;4296;9352;8239;6711;1213	True		qval	True	missing	False	42	True	7	0	0				4	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RHOV_GTPASE_CYCLE	evidence_perturb	True	2743	True	False	1		0.984375	63	64	computed	0.984375	e37f2e82ce1e	0.984375	0.515625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8995535714285713	0.8995535714285713	1.0	0.984375	True	ok	off		M75d9d8da4ca6	False	0.765625	510.0	510.0	term_survival:min
5	REACTOME_RHO_GTPASES_ACTIVATE_PAKS	REACTOME_RHO_GTPASES_ACTIVATE_PAKS	fgsea_msigdb_C2_CP_REACTOME_entrez	1.6996920171686	0.488304254680694	up	['5879', '5063', '2017', '4659', '4638', '4629', '5058', '4660', '5500', '2316', '4771', '801']		False		False	False	5879;5063;2017;4659;4638;4629;5058;4660;5500;2316;4771;801	True		qval	True	missing	False	42	True	12	0	0				5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RHO_GTPASES_ACTIVATE_PAKS	evidence_perturb	True	2743	True	False	1		0.796875	51	64	computed	0.796875	4793b13e4706	0.796875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8088942307692308	0.8763020833333334	0.9119797736985238	0.796875	True	ok	off		M75d9d8da4ca6	False	0.765625	510.0	510.0	term_survival:min
6	REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES	REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES	fgsea_msigdb_C2_CP_REACTOME_entrez	1.69291464348039	0.488304254680694	up	['8353', '4297', '8350', '8358', '8726', '9757', '5929', '10919', '8352', '9070', '8357', '8351', '4790', '11091', '8364', '8354', '8360', '8356', '4791', '8365']		False		False	False	8353;4297;8350;8358;8726;9757;5929;10919;8352;9070;8357;8351;4790;11091;8364;8354;8360;8356;4791;8365	True		qval	True	missing	False	42	True	20	0	0				6	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES	evidence_perturb	True	2743	True	False	1		0.9375	60	64	computed	0.9375	721b825319af	0.9375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8697916666666667	0.91328125	0.947726326001892	0.9375	True	ok	off		M75d9d8da4ca6	False	0.765625	510.0	510.0	term_survival:min
7	REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	fgsea_msigdb_C2_CP_REACTOME_entrez	1.68731066533281	0.488304254680694	up	['5347', '10381', '7532', '1778', '11258', '1639', '11190', '4926', '7277', '7840', '7846', '9814', '10382', '8481', '11116', '5116', '8636', '7280', '9702', '10844', '7531', '10142']		False		False	False	5347;10381;7532;1778;11258;1639;11190;4926;7277;7840;7846;9814;10382;8481;11116;5116;8636;7280;9702;10844;7531;10142	True		qval	True	missing	False	42	True	25	3	3	10376;10383;3320	TUBA1B;TUBB4B;HSP90AA1		7	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	evidence_perturb	True	2743	True	False	1		0.9375	60	64	computed	0.9375	49c6c5dd7837	0.9375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8614130434782609	0.9005681818181819	0.9517171512613782	0.9375	True	ok	off		M75d9d8da4ca6	False	0.765625	510.0	510.0	term_survival:min
8	REACTOME_CARDIOGENESIS	REACTOME_CARDIOGENESIS	fgsea_msigdb_C2_CP_REACTOME_entrez	1.68344823163345	0.488304254680694	up	['2626', '8861', '4208', '4303', '6722', '6910', '6862', '1499', '1482', '2648', '11091']		False		False	False	2626;8861;4208;4303;6722;6910;6862;1499;1482;2648;11091	True		qval	True	missing	False	42	True	11	0	0				8	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CARDIOGENESIS	evidence_perturb	True	2743	True	False	1		0.90625	58	64	computed	0.90625	44dae438bc2c	0.90625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8229166666666666	0.8977272727272727	0.9072166982323233	0.90625	True	ok	off		M75d9d8da4ca6	False	0.765625	510.0	510.0	term_survival:min
9	REACTOME_RHOU_GTPASE_CYCLE	REACTOME_RHOU_GTPASE_CYCLE	fgsea_msigdb_C2_CP_REACTOME_entrez	1.68154723575174	0.488304254680694	up	['6709', '2885', '8826', '9352', '8239', '6711', '1213', '5063', '4646']		False		False	False	6709;2885;8826;9352;8239;6711;1213;5063;4646	True		qval	True	missing	False	42	True	9	0	0				9	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RHOU_GTPASE_CYCLE	evidence_perturb	True	2743	True	False	1		0.9375	60	64	computed	0.9375	3653c41a1c7e	0.9375	0.640625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8923611111111112	0.8923611111111112	1.0	0.9375	True	ok	off		M75d9d8da4ca6	False	0.765625	510.0	510.0	term_survival:min
