raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
0	REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	fgsea_msigdb_C2_CP_REACTOME_entrez	-2.23902351430468	0.0001138872457595	down	['8367', '8343', '5926', '8339', '8335', '8338', '6907', '8341', '8342', '10362', '1107', '8352', '8360', '8368', '8351', '5928', '8344', '8353', '8347', '8361', '8365', '5931', '8819', '8350', '8329', '8358', '8355']		False		False	False	8367;8343;5926;8339;8335;8338;6907;8341;8342;10362;1107;8352;8360;8368;8351;5928;8344;8353;8347;8361;8365;5931;8819;8350;8329;8358;8355	True		qval	True	missing	False	42	True	27	0	0	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_HDACS_DEACETYLATE_HISTONES	evidence_perturb	True	2667	True	False	1		0.9375	60	64	computed	0.9375	2a1a55fff664	0.9375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8604910714285714	0.8923611111111112	0.9599951294176836	0.9375	True	ok	off		Me56fac9d83f0	False	0.734375	501.0	501.0	term_survival:min
1	REACTOME_CHROMATIN_ORGANIZATION	REACTOME_CHROMATIN_ORGANIZATION	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.92123766608042	0.0005658552754217	down	['8367', '8343', '5926', '8339', '8335', '8520', '6599', '8338', '6907', '8341', '8342', '10362', '1107', '6595', '8352', '8360', '8368', '10499', '8648', '8110', '8351', '5928', '6597', '10933', '10524', '3276', '9070', '8344', '8353', '8347', '1810', '1387', '6880', '8361', '8365', '8464', '6598', '8850', '5931', '8819', '6604', '6601', '8350', '10629', '8329', '8358', '8355', '5977', '8289']		False		False	False	8367;8343;5926;8339;8335;8520;6599;8338;6907;8341;8342;10362;1107;6595;8352;8360;8368;10499;8648;8110;8351;5928;6597;10933;10524;3276;9070;8344;8353;8347;1810;1387;6880;8361;8365;8464;6598;8850;5931;8819;6604;6601;8350;10629;8329;8358;8355;5977;8289	True		qval	True	missing	False	42	True	49	0	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CHROMATIN_ORGANIZATION	evidence_perturb	True	2667	True	False	1		0.96875	62	64	computed	0.96875	8a8d367647a7	0.96875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8590686274509804	0.8941326530612245	0.9562128577983986	0.96875	True	ok	off		Me56fac9d83f0	False	0.734375	501.0	501.0	term_survival:min
2	REACTOME_HATS_ACETYLATE_HISTONES	REACTOME_HATS_ACETYLATE_HISTONES	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.95867142060746	0.0017313405615753	down	['8367', '8343', '8339', '8335', '8520', '8338', '8341', '8342', '8352', '8360', '8368', '10499', '8648', '8351', '10933', '10524', '8344', '8353', '8347', '1810', '1387', '6880', '8361', '8365', '8464', '8850', '5931', '8350', '10629', '8329', '8358', '8355']		False		False	False	8367;8343;8339;8335;8520;8338;8341;8342;8352;8360;8368;10499;8648;8351;10933;10524;8344;8353;8347;1810;1387;6880;8361;8365;8464;8850;5931;8350;10629;8329;8358;8355	True		qval	True	missing	False	42	True	32	0	2	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_HATS_ACETYLATE_HISTONES	evidence_perturb	True	2667	True	False	1		0.96875	62	64	computed	0.96875	b13daad471d6	0.96875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8474264705882353	0.900390625	0.9348939571143037	0.96875	True	ok	off		Me56fac9d83f0	False	0.734375	501.0	501.0	term_survival:min
3	REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.77342906955816	0.0017313405615753	down	['8367', '8343', '8339', '8335', '6599', '8338', '6907', '8341', '8342', '7581', '1107', '6595', '8352', '8360', '8368', '2074', '10499', '8648', '8110', '2932', '2068', '8351', '9439', '5928', '6597', '9862', '9070', '9443', '8344', '7270', '8353', '8347', '6908', '1810', '1387', '8361', '8365', '10179', '6598', '8850', '5931', '5441', '2167', '8819', '6604', '5435', '6601', '8350', '8358', '9013', '8355', '5977', '2071', '8289', '5925', '8467', '10555', '9442', '2146', '11335', '3720']		False		False	False	8367;8343;8339;8335;6599;8338;6907;8341;8342;7581;1107;6595;8352;8360;8368;2074;10499;8648;8110;2932;2068;8351;9439;5928;6597;9862;9070;9443;8344;7270;8353;8347;6908;1810;1387;8361;8365;10179;6598;8850;5931;5441;2167;8819;6604;5435;6601;8350;8358;9013;8355;5977;2071;8289;5925;8467;10555;9442;2146;11335;3720	True		qval	True	missing	False	42	True	61	0	3	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	evidence_perturb	True	2667	True	False	1		1.0	64	64	computed	1.0	93fa8db5c1a7	1.0	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.856201171875	0.8983094262295082	0.9480085524154912	1.0	True	ok	off		Me56fac9d83f0	False	0.734375	501.0	501.0	term_survival:min
4	REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_PIWI_INTERACTING_RNAS_PIRNAS	REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_PIWI_INTERACTING_RNAS_PIRNAS	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.99490088943537	0.0019470836176753	down	['8367', '8343', '8339', '8335', '6599', '8338', '8341', '8342', '1107', '6595', '8352', '8360', '8368', '8110', '8351', '5928', '6597', '8344', '8353', '8347', '8361', '8365', '6598', '5931', '6604', '6601', '8350', '8358', '8355', '5977', '8289']		False		False	False	8367;8343;8339;8335;6599;8338;8341;8342;1107;6595;8352;8360;8368;8110;8351;5928;6597;8344;8353;8347;8361;8365;6598;5931;6604;6601;8350;8358;8355;5977;8289	True		qval	True	missing	False	42	True	31	0	4	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_PIWI_INTERACTING_RNAS_PIRNAS	evidence_perturb	True	2667	True	False	1		0.953125	61	64	computed	0.953125	2457977eda4a	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8522727272727273	0.907258064516129	0.9333611484257243	0.953125	True	ok	off		Me56fac9d83f0	False	0.734375	501.0	501.0	term_survival:min
5	REACTOME_GENE_SILENCING_BY_RNA	REACTOME_GENE_SILENCING_BY_RNA	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.93968317188354	0.002213569607959	down	['6895', '8367', '8343', '283', '8339', '8335', '8338', '8341', '8342', '8352', '8360', '8368', '8351', '3320', '8344', '8353', '8347', '8361', '8365', '5433', '5441', '8468', '7257', '10526', '10762', '5435', '9688', '8350', '8358', '8355']		False		False	False	6895;8367;8343;283;8339;8335;8338;8341;8342;8352;8360;8368;8351;3320;8344;8353;8347;8361;8365;5433;5441;8468;7257;10526;10762;5435;9688;8350;8358;8355	True		qval	True	missing	False	42	True	30	0	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_GENE_SILENCING_BY_RNA	evidence_perturb	True	2667	True	False	1		1.0	64	64	computed	1.0	927505455238	1.0	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.84423828125	0.9005208333333334	0.930882418119322	1.0	True	ok	off		Me56fac9d83f0	False	0.734375	501.0	501.0	term_survival:min
6	REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS	REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.93043179357647	0.002213569607959	down	['8367', '8343', '8339', '8335', '6599', '8338', '8341', '8342', '7581', '1107', '6595', '8352', '8360', '8368', '8110', '8351', '5928', '6597', '8344', '8353', '8347', '8361', '8365', '10179', '6598', '5931', '6604', '6601', '8350', '8358', '8355', '5977', '8289']		False		False	False	8367;8343;8339;8335;6599;8338;8341;8342;7581;1107;6595;8352;8360;8368;8110;8351;5928;6597;8344;8353;8347;8361;8365;10179;6598;5931;6604;6601;8350;8358;8355;5977;8289	True		qval	True	missing	False	42	True	33	0	6	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS	evidence_perturb	True	2667	True	False	1		0.953125	61	64	computed	0.953125	36381a91d759	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8397321428571427	0.890625	0.9361386090170218	0.953125	True	ok	off		Me56fac9d83f0	False	0.734375	501.0	501.0	term_survival:min
7	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.93737499056623	0.002585559930186	down	['8367', '8343', '8339', '8335', '8338', '8341', '8342', '1107', '8352', '8360', '8368', '2074', '2068', '8351', '5928', '8344', '7270', '8353', '8347', '6908', '8361', '8365', '8850', '5931', '5441', '5435', '8350', '8358', '9013', '8355', '2071']		False		False	False	8367;8343;8339;8335;8338;8341;8342;1107;8352;8360;8368;2074;2068;8351;5928;8344;7270;8353;8347;6908;8361;8365;8850;5931;5441;5435;8350;8358;9013;8355;2071	True		qval	True	missing	False	42	True	31	0	7	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	evidence_perturb	True	2667	True	False	1		0.9375	60	64	computed	0.9375	86b63b178454	0.9375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8494318181818182	0.904233870967742	0.9331380937549685	0.9375	True	ok	off		Me56fac9d83f0	False	0.734375	501.0	501.0	term_survival:min
8	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.98903790811375	0.0041816878527635	down	['8367', '8343', '8339', '8335', '8338', '8341', '8342', '1107', '8352', '8360', '8368', '2074', '8351', '5928', '8344', '7270', '8353', '8347', '8361', '8365', '5931', '8350', '8358', '8355']		False		False	False	8367;8343;8339;8335;8338;8341;8342;1107;8352;8360;8368;2074;8351;5928;8344;7270;8353;8347;8361;8365;5931;8350;8358;8355	True		qval	True	missing	False	42	True	24	0	8	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	evidence_perturb	True	2667	True	False	1		0.90625	58	64	computed	0.90625	cabcff0afae0	0.90625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.859375	0.8951822916666667	0.955366828220089	0.90625	True	ok	off		Me56fac9d83f0	False	0.734375	501.0	501.0	term_survival:min
9	REACTOME_HCMV_LATE_EVENTS	REACTOME_HCMV_LATE_EVENTS	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.97051429824879	0.0041816878527635	down	['8367', '8343', '8339', '8335', '8338', '8341', '8342', '8352', '8360', '8368', '8351', '8344', '8353', '8347', '8361', '8365', '10762', '9688', '8350', '1052', '8329', '8358', '8355']		False		False	False	8367;8343;8339;8335;8338;8341;8342;8352;8360;8368;8351;8344;8353;8347;8361;8365;10762;9688;8350;1052;8329;8358;8355	True		qval	True	missing	False	42	True	23	0	9	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_HCMV_LATE_EVENTS	evidence_perturb	True	2667	True	False	1		0.90625	58	64	computed	0.90625	3f6e7c319150	0.90625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8671875	0.904891304347826	0.9539464680929928	0.90625	True	ok	off		Me56fac9d83f0	False	0.734375	501.0	501.0	term_survival:min
