row_index	mode	before_n	after_n	dropped_n	dropped_hash	injected_n	injected_hash
0	clean	27	27	0		0	
1	clean	49	49	0		0	
2	clean	32	32	0		0	
3	clean	61	61	0		0	
4	clean	31	31	0		0	
5	clean	30	30	0		0	
6	clean	33	33	0		0	
7	clean	31	31	0		0	
8	clean	24	24	0		0	
9	clean	23	23	0		0	
10	clean	30	30	0		0	
11	clean	22	22	0		0	
12	clean	23	23	0		0	
13	clean	17	17	0		0	
14	clean	22	22	0		0	
15	clean	31	31	0		0	
16	clean	31	31	0		0	
17	clean	21	21	0		0	
18	clean	30	30	0		0	
19	clean	39	39	0		0	
20	clean	27	27	0		0	
21	clean	13	13	0		0	
22	clean	19	19	0		0	
23	clean	20	20	0		0	
24	clean	21	21	0		0	
25	clean	19	19	0		0	
26	clean	26	26	0		0	
27	clean	33	33	0		0	
28	clean	31	31	0		0	
29	clean	26	26	0		0	
30	clean	23	23	0		0	
31	clean	13	13	0		0	
32	clean	26	26	0		0	
33	clean	25	25	0		0	
34	clean	25	25	0		0	
35	clean	27	27	0		0	
36	clean	23	23	0		0	
37	clean	20	20	0		0	
38	clean	20	20	0		0	
39	clean	20	20	0		0	
40	clean	46	46	0		0	
41	clean	26	26	0		0	
42	clean	16	16	0		0	
43	clean	23	23	0		0	
44	clean	26	26	0		0	
45	clean	13	13	0		0	
46	clean	15	15	0		0	
47	clean	23	23	0		0	
48	clean	16	16	0		0	
49	clean	11	11	0		0	
50	clean	26	26	0		0	
51	clean	26	26	0		0	
52	clean	32	32	0		0	
53	clean	66	66	0		0	
54	clean	27	27	0		0	
55	clean	27	27	0		0	
56	clean	23	23	0		0	
57	clean	106	106	0		0	
58	clean	19	19	0		0	
59	clean	19	19	0		0	
60	clean	14	14	0		0	
61	clean	22	22	0		0	
62	clean	52	52	0		0	
63	clean	7	7	0		0	
64	clean	32	32	0		0	
65	clean	46	46	0		0	
66	clean	9	9	0		0	
67	clean	28	28	0		0	
68	clean	30	30	0		0	
69	clean	7	7	0		0	
70	clean	10	10	0		0	
71	clean	46	46	0		0	
72	clean	14	14	0		0	
73	clean	37	37	0		0	
74	clean	8	8	0		0	
75	clean	59	59	0		0	
76	clean	24	24	0		0	
77	clean	15	15	0		0	
78	clean	8	8	0		0	
79	clean	16	16	0		0	
80	clean	40	40	0		0	
81	clean	16	16	0		0	
82	clean	11	11	0		0	
83	clean	8	8	0		0	
84	clean	8	8	0		0	
85	clean	21	21	0		0	
86	clean	16	16	0		0	
87	clean	11	11	0		0	
88	clean	16	16	0		0	
89	clean	18	18	0		0	
90	clean	19	19	0		0	
91	clean	15	15	0		0	
92	clean	8	8	0		0	
93	clean	42	42	0		0	
94	clean	8	8	0		0	
95	clean	7	7	0		0	
96	clean	15	15	0		0	
97	clean	24	24	0		0	
98	clean	64	64	0		0	
99	clean	7	7	0		0	
100	clean	12	12	0		0	
101	clean	17	17	0		0	
102	clean	21	21	0		0	
103	clean	10	10	0		0	
104	clean	29	29	0		0	
105	clean	14	14	0		0	
106	clean	24	24	0		0	
107	clean	25	25	0		0	
108	clean	9	9	0		0	
109	clean	28	28	0		0	
110	clean	12	12	0		0	
111	clean	26	26	0		0	
112	clean	11	11	0		0	
113	clean	26	26	0		0	
114	clean	62	62	0		0	
115	clean	13	13	0		0	
116	clean	9	9	0		0	
117	clean	16	16	0		0	
118	clean	38	38	0		0	
119	clean	33	33	0		0	
120	clean	32	32	0		0	
121	clean	14	14	0		0	
122	clean	23	23	0		0	
123	clean	85	85	0		0	
124	clean	89	89	0		0	
125	clean	23	23	0		0	
126	clean	8	8	0		0	
127	clean	24	24	0		0	
128	clean	7	7	0		0	
129	clean	7	7	0		0	
130	clean	13	13	0		0	
131	clean	10	10	0		0	
132	clean	8	8	0		0	
133	clean	13	13	0		0	
