claim_id	entity	direction	context_keys	term_uid	source	term_id	term_name	module_id	module_missing	module_reason	gene_ids	gene_ids_suggest	gene_ids_snippet	gene_ids_n_total	gene_ids_n_in_claim	term_ids	gene_set_hash	context_score	context_evaluated	context_status	context_method	context_confidence	context_reason	select_context_score	select_context_evaluated	select_context_tokens_n	select_context_status_score	select_context_tiebreak	context_signature	context_swap_active	context_gate_mode	context_gate_hit	eligible_context	eligible	term_survival	keep_term	keep_reason	claim_json	preselect_tau_gate	context_score_proxy	select_context_mode	select_context_policy	select_notes	select_diag_n_total	select_diag_n_eligible	select_diag_n_ineligible	select_diag_n_picked	select_diag_blocked_by_module_cap	select_diag_relaxed	select_diag_relax_passes	select_diag_max_per_module	select_diag_ctx_hit_terms	claim_mode	llm_notes	context_notes	context_review_mode	context_ctx_id	context_proxy_method	context_score_proxy_norm	module_context_weight	context_score_proxy_reason	context_score_proxy_n_nonzero	context_tokens_n	context_score_proxy_u01	context_score_proxy_u01_norm	context_ctx_id_original	context_ctx_id_effective	context_swap_from	context_swap_to	gene_ids_excel	term_ids_excel	context_gate_applied_pre_audit
c_8472ab06fe20	REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS	REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS	M4f28c11ce30a	False		8289,6602,6598,6599,8110,6604,6597	8289,6602,6598,6599,8110,6604,6597	8289,6602,6598,6599,8110,6604,6597	7	7	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS	7fef566b911b	0.744929522492582	False	PASS	none	0.744929522492582	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_8472ab06fe20"",""entity"":""REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M4f28c11ce30a"",""gene_ids"":[""8289"",""6602"",""6598"",""6599"",""8110"",""6604"",""6597""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS""],""gene_set_hash"":""7fef566b911b"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=940; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	984	984	0	50	940	True	1	1	0	deterministic		proxy_context_v2: u=0.745 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.744929522492582	0.744929522492582	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'8289;6602;6598;6599;8110;6604;6597	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS	False
c_07340187b5b3	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	M5081877e9f28	True	missing_module_id				0	0	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	ff8d82c4b412	0.5243725585294976	False	PASS	none	0.5243725585294976	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_07340187b5b3"",""entity"":""REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M5081877e9f28"",""gene_ids"":[],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S""],""gene_set_hash"":""ff8d82c4b412"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=940; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	984	984	0	50	940	True	1	1	0	deterministic		proxy_context_v2: u=0.524 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.5243725585294976	0.5243725585294976	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt				'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	False
c_ee51662a0e6e	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	M754606c2e4cb	True	missing_module_id				0	0	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	bc476801744c	0.7176776740484683	False	PASS	none	0.7176776740484683	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_ee51662a0e6e"",""entity"":""REACTOME_EUKARYOTIC_TRANSLATION_INITIATION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M754606c2e4cb"",""gene_ids"":[],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_EUKARYOTIC_TRANSLATION_INITIATION""],""gene_set_hash"":""bc476801744c"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=940; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	984	984	0	50	940	True	1	1	0	deterministic		proxy_context_v2: u=0.718 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.7176776740484683	0.7176776740484683	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt				'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	False
c_874af35d50ff	REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION	REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION	M377873fc62a5	False		7525	7525	7525	1	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION	277879fdcbcd	0.08203287131317549	False	ABSTAIN	none	0.08203287131317549	PROXY_U01_LOW_ABSTAIN		False	0	-1		0ae09edd5ce3	False	hard	False	True	False	1.0	True	ok	"{""claim_id"":""c_874af35d50ff"",""entity"":""REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M377873fc62a5"",""gene_ids"":[""7525""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION""],""gene_set_hash"":""277879fdcbcd"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=940; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	984	984	0	50	940	True	1	1	0	deterministic		proxy_context_v2: u=0.082 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.08203287131317549	0.08203287131317549	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'7525	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION	True
c_4cbcb869b85d	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	Mc222af866fdc	True	missing_module_id				0	0	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	c7bd1e316ddc	0.4742343409903462	False	PASS	none	0.4742343409903462	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_4cbcb869b85d"",""entity"":""REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mc222af866fdc"",""gene_ids"":[],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION""],""gene_set_hash"":""c7bd1e316ddc"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=940; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	984	984	0	50	940	True	1	1	0	deterministic		proxy_context_v2: u=0.474 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.4742343409903462	0.4742343409903462	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt				'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	False
c_8454054fbbed	REACTOME_DIGESTION_AND_ABSORPTION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DIGESTION_AND_ABSORPTION	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_DIGESTION_AND_ABSORPTION	REACTOME_DIGESTION_AND_ABSORPTION	Md157a92451fd	False		1118,277,8513,276,3938,6514,279,5407,2981,11181	1118,277,8513,276,3938,6514,279,5407,2981,11181	1118,277,8513,276,3938,6514,279,5407,2981,11181	10	10	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DIGESTION_AND_ABSORPTION	78c13a2cc934	0.7839803707503914	False	PASS	none	0.7839803707503914	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_8454054fbbed"",""entity"":""REACTOME_DIGESTION_AND_ABSORPTION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Md157a92451fd"",""gene_ids"":[""1118"",""277"",""8513"",""276"",""3938"",""6514"",""279"",""5407"",""2981"",""11181""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DIGESTION_AND_ABSORPTION""],""gene_set_hash"":""78c13a2cc934"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=940; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	984	984	0	50	940	True	1	1	0	deterministic		proxy_context_v2: u=0.784 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.7839803707503914	0.7839803707503914	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'1118;277;8513;276;3938;6514;279;5407;2981;11181	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DIGESTION_AND_ABSORPTION	False
c_73210f58b4f3	REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	Mc24b56d10b0e	False		3178	3178	3178	1	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	a0a5df5022dc	0.396946744011478	False	PASS	none	0.396946744011478	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_73210f58b4f3"",""entity"":""REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mc24b56d10b0e"",""gene_ids"":[""3178""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY""],""gene_set_hash"":""a0a5df5022dc"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=940; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	984	984	0	50	940	True	1	1	0	deterministic		proxy_context_v2: u=0.397 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.396946744011478	0.396946744011478	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'3178	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	False
c_08d29ba9cbe0	REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS	REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS	M91e12b85dfd0	False		5429	5429	5429	1	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS	4681639741f4	0.36067638202362073	False	PASS	none	0.36067638202362073	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_08d29ba9cbe0"",""entity"":""REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M91e12b85dfd0"",""gene_ids"":[""5429""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS""],""gene_set_hash"":""4681639741f4"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=940; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	984	984	0	50	940	True	1	1	0	deterministic		proxy_context_v2: u=0.361 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.36067638202362073	0.36067638202362073	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'5429	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS	False
c_40af8f9f30f9	REACTOME_ANCHORING_FIBRIL_FORMATION	down	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANCHORING_FIBRIL_FORMATION	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_ANCHORING_FIBRIL_FORMATION	REACTOME_ANCHORING_FIBRIL_FORMATION	M39412875d623	False		1294	1294	1294	1	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANCHORING_FIBRIL_FORMATION	9c499c3ddf63	0.165524069322722	False	ABSTAIN	none	0.165524069322722	PROXY_U01_LOW_ABSTAIN		False	0	-1		0ae09edd5ce3	False	hard	False	True	False	1.0	True	ok	"{""claim_id"":""c_40af8f9f30f9"",""entity"":""REACTOME_ANCHORING_FIBRIL_FORMATION"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M39412875d623"",""gene_ids"":[""1294""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANCHORING_FIBRIL_FORMATION""],""gene_set_hash"":""9c499c3ddf63"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=940; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	984	984	0	50	940	True	1	1	0	deterministic		proxy_context_v2: u=0.166 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.165524069322722	0.165524069322722	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'1294	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANCHORING_FIBRIL_FORMATION	True
c_55bf5a969d6d	REACTOME_M_DECAY_DEGRADATION_OF_MATERNAL_MRNAS_BY_MATERNALLY_STORED_FACTORS	down	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_M_DECAY_DEGRADATION_OF_MATERNAL_MRNAS_BY_MATERNALLY_STORED_FACTORS	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_M_DECAY_DEGRADATION_OF_MATERNAL_MRNAS_BY_MATERNALLY_STORED_FACTORS	REACTOME_M_DECAY_DEGRADATION_OF_MATERNAL_MRNAS_BY_MATERNALLY_STORED_FACTORS	M7f1bf00bc213	False		7783,678,9125,9337,2253	7783,678,9125,9337,2253	7783,678,9125,9337,2253	5	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_M_DECAY_DEGRADATION_OF_MATERNAL_MRNAS_BY_MATERNALLY_STORED_FACTORS	fb3c159f56ab	0.3222241113029285	False	PASS	none	0.3222241113029285	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_55bf5a969d6d"",""entity"":""REACTOME_M_DECAY_DEGRADATION_OF_MATERNAL_MRNAS_BY_MATERNALLY_STORED_FACTORS"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M7f1bf00bc213"",""gene_ids"":[""7783"",""678"",""9125"",""9337"",""2253""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_M_DECAY_DEGRADATION_OF_MATERNAL_MRNAS_BY_MATERNALLY_STORED_FACTORS""],""gene_set_hash"":""fb3c159f56ab"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=940; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	984	984	0	50	940	True	1	1	0	deterministic		proxy_context_v2: u=0.322 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.3222241113029285	0.3222241113029285	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'7783;678;9125;9337;2253	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_M_DECAY_DEGRADATION_OF_MATERNAL_MRNAS_BY_MATERNALLY_STORED_FACTORS	False
