raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	dropped_n	dropped_genes_str	dropped_genes_symbols_str	notes	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
0	REACTOME_INFLAMMASOMES	REACTOME_INFLAMMASOMES	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.92150918579072	0.718372098797557	down	['9447', '10910', '4210', '3162', '7295', '5027', '834', '10628', '596']		False		False	False	9447;10910;4210;3162;7295;5027;834;10628;596	True		qval	True	missing	False	42	True	9	0	0				0	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INFLAMMASOMES	evidence_perturb	True	2727	True	False	1		0.953125	61	64	computed	0.953125	8ac3eddea9b9	0.953125	0.640625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8958333333333334	0.8958333333333334	1.0	0.953125	True	ok	off		M7f1bf00bc213	False	0.703125	486.0	486.0	term_survival:min
1	REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	fgsea_msigdb_C2_CP_REACTOME_entrez	1.83564639351126	0.756564785906158	up	['7525', '2214']		False		False	False	7525;2214	True		qval	True	missing	False	42	True	5	3	3	3503;3501;3500	IGHG4;IGHG2;IGHG1		1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FCGR_ACTIVATION	evidence_perturb	True	2727	True	False	1		0.828125	53	64	computed	0.828125	9d252b2d5f3a	0.828125	0.171875	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9140625	0.9140625	1.0	0.828125	True	ok	off		M4f28c11ce30a	False	0.734375	452.0	452.0	term_survival:min
2	REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	fgsea_msigdb_C2_CP_REACTOME_entrez	1.7387910105422	0.756564785906158	up	['2959', '5451', '5435', '5434', '6882', '6619', '2962', '6878', '8178', '6884', '6618', '6877', '8812', '5438', '2960', '5440', '6617']		False		False	False	2959;5451;5435;5434;6882;6619;2962;6878;8178;6884;6618;6877;8812;5438;2960;5440;6617	True		qval	True	missing	False	42	True	17	0	0				2	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	evidence_perturb	True	2727	True	False	1		0.875	56	64	computed	0.875	77d013013f6f	0.875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.845486111111111	0.8952205882352942	0.9379397231649071	0.875	True	ok	off		M4f28c11ce30a	False	0.734375	452.0	452.0	term_survival:min
3	REACTOME_HIV_TRANSCRIPTION_INITIATION	REACTOME_HIV_TRANSCRIPTION_INITIATION	fgsea_msigdb_C2_CP_REACTOME_entrez	1.65453508176821	0.756564785906158	up	['2959', '6874', '5435', '5434', '6882', '2962', '6878', '6879', '6884', '6881', '902', '6877', '6875', '5438', '2960', '5440', '2968', '2967']		False		False	False	2959;6874;5435;5434;6882;2962;6878;6879;6884;6881;902;6877;6875;5438;2960;5440;2968;2967	True		qval	True	missing	False	42	True	18	0	0				3	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_HIV_TRANSCRIPTION_INITIATION	evidence_perturb	True	2727	True	False	1		0.84375	54	64	computed	0.84375	a0ae63e5389b	0.84375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8429276315789473	0.8897569444444444	0.9408010623277652	0.84375	True	ok	off		M4f28c11ce30a	False	0.734375	452.0	452.0	term_survival:min
4	REACTOME_FORMATION_OF_THE_CANONICAL_BAF_CBAF_COMPLEX	REACTOME_FORMATION_OF_THE_CANONICAL_BAF_CBAF_COMPLEX	fgsea_msigdb_C2_CP_REACTOME_entrez	1.65126071953012	0.756564785906158	up	['8289', '6602', '6598', '6599', '8110', '6597']		False		False	False	8289;6602;6598;6599;8110;6597	True		qval	True	missing	False	42	True	6	0	0				4	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FORMATION_OF_THE_CANONICAL_BAF_CBAF_COMPLEX	evidence_perturb	True	2727	True	False	1		0.90625	58	64	computed	0.90625	f30dd4af0d35	0.90625	0.5	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9010416666666666	0.9010416666666666	1.0	0.90625	True	ok	off		M4f28c11ce30a	False	0.734375	452.0	452.0	term_survival:min
5	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.64938827582841	0.756564785906158	down	['2206', '5291', '6654', '5295', '7462', '5290']		False		False	False	2206;5291;6654;5295;7462;5290	True		qval	True	missing	False	42	True	8	2	2	3497;3538	IGHE;IGLC2		5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	evidence_perturb	True	2727	True	False	1		0.890625	57	64	computed	0.890625	451846de0094	0.890625	0.46875	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8984375	0.8984375	1.0	0.890625	True	ok	off		M7f1bf00bc213	False	0.703125	486.0	486.0	term_survival:min
6	REACTOME_FORMATION_OF_THE_URETERIC_BUD	REACTOME_FORMATION_OF_THE_URETERIC_BUD	fgsea_msigdb_C2_CP_REACTOME_entrez	1.6474093464285	0.756564785906158	up	['6092', '2303', '3237', '2668', '5076', '3227']		False		False	False	6092;2303;3237;2668;5076;3227	True		qval	True	missing	False	42	True	6	0	0				6	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FORMATION_OF_THE_URETERIC_BUD	evidence_perturb	True	2727	True	False	1		0.953125	61	64	computed	0.953125	d658f419b777	0.953125	0.453125	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9166666666666667	0.9166666666666667	1.0	0.953125	True	ok	off		M4f28c11ce30a	False	0.734375	452.0	452.0	term_survival:min
7	REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	fgsea_msigdb_C2_CP_REACTOME_entrez	1.64601582111988	0.756564785906158	up	['3420', '3418', '3421']		False		False	False	3420;3418;3421	True		qval	True	missing	False	42	True	3	0	0				7	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	evidence_perturb	True	2727	True	False	1		0.96875	62	64	computed	0.96875	00b65851c92c	0.96875	0.140625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9427083333333334	0.9427083333333334	1.0	0.96875	True	ok	off		M4f28c11ce30a	False	0.734375	452.0	452.0	term_survival:min
8	REACTOME_G_PROTEIN_ACTIVATION	REACTOME_G_PROTEIN_ACTIVATION	fgsea_msigdb_C2_CP_REACTOME_entrez	1.61957179517196	0.756564785906158	up	['10681', '4988', '2787', '2785', '2790', '5443', '2782', '2788', '2776', '2769']		False		False	False	10681;4988;2787;2785;2790;5443;2782;2788;2776;2769	True		qval	True	missing	False	42	True	10	0	0				8	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_G_PROTEIN_ACTIVATION	evidence_perturb	True	2727	True	False	1		0.96875	62	64	computed	0.96875	f7eb4ef388c3	0.96875	0.671875	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8984375	0.8984375	1.0	0.96875	True	ok	off		M4f28c11ce30a	False	0.734375	452.0	452.0	term_survival:min
9	REACTOME_METABOLISM_OF_PORPHYRINS	REACTOME_METABOLISM_OF_PORPHYRINS	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.60287263986397	0.756564785906158	down	['9429', '645', '3162', '1355', '210', '5498', '1371', '3163', '1244', '212']		False		False	False	9429;645;3162;1355;210;5498;1371;3163;1244;212	True		qval	True	missing	False	42	True	10	0	0				9	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_METABOLISM_OF_PORPHYRINS	evidence_perturb	True	2727	True	False	1		0.984375	63	64	computed	0.984375	db09e597c4bf	0.984375	0.65625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.90625	0.90625	1.0	0.984375	True	ok	off		M7f1bf00bc213	False	0.703125	486.0	486.0	term_survival:min
