claim_id	entity	direction	context_keys	term_uid	source	term_id	term_name	module_id	module_missing	module_reason	gene_ids	gene_ids_suggest	gene_ids_snippet	gene_ids_n_total	gene_ids_n_in_claim	term_ids	gene_set_hash	context_score	context_evaluated	context_status	context_method	context_confidence	context_reason	select_context_score	select_context_evaluated	select_context_tokens_n	select_context_status_score	select_context_tiebreak	context_signature	context_swap_active	context_gate_mode	context_gate_hit	eligible_context	eligible	term_survival	keep_term	keep_reason	claim_json	preselect_tau_gate	context_score_proxy	select_context_mode	select_context_policy	select_notes	select_diag_n_total	select_diag_n_eligible	select_diag_n_ineligible	select_diag_n_picked	select_diag_blocked_by_module_cap	select_diag_relaxed	select_diag_relax_passes	select_diag_max_per_module	select_diag_ctx_hit_terms	claim_mode	llm_notes	context_notes	context_review_mode	context_ctx_id	context_proxy_method	context_score_proxy_norm	module_context_weight	context_score_proxy_reason	context_score_proxy_n_nonzero	context_tokens_n	context_score_proxy_u01	context_score_proxy_u01_norm	context_ctx_id_original	context_ctx_id_effective	context_swap_from	context_swap_to	gene_ids_excel	term_ids_excel	context_gate_applied_pre_audit
c_d3e8a07421f8	REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	M7341ac100e37	False		2147,3818,462,710,2812,2814,2,3053,5627,5270	2147,3818,462,710,2812,2814,2,3053,5627,5270	2147,3818,462,710,2812,2814,2,3053,5627,5270	10	10	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	930d51232225	0.2974539797176783	False	PASS	none	0.2974539797176783	PROXY_U01_OK		False	0	-1		13caeba4c58b	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_d3e8a07421f8"",""entity"":""REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M7341ac100e37"",""gene_ids"":[""2147"",""3818"",""462"",""710"",""2812"",""2814"",""2"",""3053"",""5627"",""5270""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION""],""gene_set_hash"":""930d51232225"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=937; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=13caeba4c58b; ctx_hit_terms=0	984	984	0	50	937	True	1	1	0	deterministic		proxy_context_v2: u=0.297 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=13caeba4c58b	proxy	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.2974539797176783	0.2974539797176783	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt			'2147;3818;462;710;2812;2814;2;3053;5627;5270	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	False
c_ce31e99220e8	REACTOME_DEGRADATION_OF_AXIN	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DEGRADATION_OF_AXIN	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_DEGRADATION_OF_AXIN	REACTOME_DEGRADATION_OF_AXIN	M0705f9b94dcf	False		5706,5694,8312,7311,5705,5708,5691	5706,5694,8312,7311,5705,5708,5691	5706,5694,8312,7311,5705,5708,5691	7	7	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DEGRADATION_OF_AXIN	9f00403a388b	0.4721452737472511	False	PASS	none	0.4721452737472511	PROXY_U01_OK		False	0	-1		13caeba4c58b	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_ce31e99220e8"",""entity"":""REACTOME_DEGRADATION_OF_AXIN"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M0705f9b94dcf"",""gene_ids"":[""5706"",""5694"",""8312"",""7311"",""5705"",""5708"",""5691""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DEGRADATION_OF_AXIN""],""gene_set_hash"":""9f00403a388b"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=937; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=13caeba4c58b; ctx_hit_terms=0	984	984	0	50	937	True	1	1	0	deterministic		proxy_context_v2: u=0.472 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=13caeba4c58b	proxy	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.4721452737472511	0.4721452737472511	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt			'5706;5694;8312;7311;5705;5708;5691	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DEGRADATION_OF_AXIN	False
c_dcb2df1e7250	REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	M5c5ab332c8a8	False		5706,7534,5694,7311,5705,5708,5691	5706,7534,5694,7311,5705,5708,5691	5706,7534,5694,7311,5705,5708,5691	7	7	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	3114e50c6e47	0.4565760818602753	False	PASS	none	0.4565760818602753	PROXY_U01_OK		False	0	-1		13caeba4c58b	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_dcb2df1e7250"",""entity"":""REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M5c5ab332c8a8"",""gene_ids"":[""5706"",""7534"",""5694"",""7311"",""5705"",""5708"",""5691""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING""],""gene_set_hash"":""3114e50c6e47"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=937; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=13caeba4c58b; ctx_hit_terms=0	984	984	0	50	937	True	1	1	0	deterministic		proxy_context_v2: u=0.457 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=13caeba4c58b	proxy	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.4565760818602753	0.4565760818602753	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt			'5706;7534;5694;7311;5705;5708;5691	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	False
c_f3f89a769b0a	REACTOME_SULFUR_AMINO_ACID_METABOLISM	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SULFUR_AMINO_ACID_METABOLISM	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_SULFUR_AMINO_ACID_METABOLISM	REACTOME_SULFUR_AMINO_ACID_METABOLISM	M14ffaf0066ff	False		1468,4143,4357,6821,1036	1468,4143,4357,6821,1036	1468,4143,4357,6821,1036	5	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SULFUR_AMINO_ACID_METABOLISM	defb6ce9b93c	0.8735301061054943	False	PASS	none	0.8735301061054943	PROXY_U01_OK		False	0	-1		13caeba4c58b	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_f3f89a769b0a"",""entity"":""REACTOME_SULFUR_AMINO_ACID_METABOLISM"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M14ffaf0066ff"",""gene_ids"":[""1468"",""4143"",""4357"",""6821"",""1036""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SULFUR_AMINO_ACID_METABOLISM""],""gene_set_hash"":""defb6ce9b93c"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=937; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=13caeba4c58b; ctx_hit_terms=0	984	984	0	50	937	True	1	1	0	deterministic		proxy_context_v2: u=0.874 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=13caeba4c58b	proxy	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.8735301061054943	0.8735301061054943	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt			'1468;4143;4357;6821;1036	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SULFUR_AMINO_ACID_METABOLISM	False
c_afc63fa73192	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS	Mafc67983f829	False		8320	8320	8320	1	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS	1c40b7658984	0.723918944358418	False	PASS	none	0.723918944358418	PROXY_U01_OK		False	0	-1		13caeba4c58b	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_afc63fa73192"",""entity"":""REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mafc67983f829"",""gene_ids"":[""8320""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS""],""gene_set_hash"":""1c40b7658984"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=937; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=13caeba4c58b; ctx_hit_terms=0	984	984	0	50	937	True	1	1	0	deterministic		proxy_context_v2: u=0.724 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=13caeba4c58b	proxy	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.723918944358418	0.723918944358418	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt			'8320	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS	False
c_76b784a0eea2	REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION	REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION	Mc536ad0d46b7	False		10623	10623	10623	1	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION	918fd44fb78c	0.4617045187763851	False	PASS	none	0.4617045187763851	PROXY_U01_OK		False	0	-1		13caeba4c58b	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_76b784a0eea2"",""entity"":""REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mc536ad0d46b7"",""gene_ids"":[""10623""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION""],""gene_set_hash"":""918fd44fb78c"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=937; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=13caeba4c58b; ctx_hit_terms=0	984	984	0	50	937	True	1	1	0	deterministic		proxy_context_v2: u=0.462 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=13caeba4c58b	proxy	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.4617045187763851	0.4617045187763851	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt			'10623	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION	False
c_eb462cc83018	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	M264a0f1d16ee	True	missing_module_id	5706,5694,5705,5708,5691	5706,5694,5705,5708,5691	5706,5694,5705,5708,5691	5	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	d8a2c420c8b3	0.590267231906795	False	PASS	none	0.590267231906795	PROXY_U01_OK		False	0	-1		13caeba4c58b	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_eb462cc83018"",""entity"":""REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M264a0f1d16ee"",""gene_ids"":[""5706"",""5694"",""5705"",""5708"",""5691""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES""],""gene_set_hash"":""d8a2c420c8b3"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=937; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=13caeba4c58b; ctx_hit_terms=0	984	984	0	50	937	True	1	1	0	deterministic		proxy_context_v2: u=0.590 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=13caeba4c58b	proxy	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.590267231906795	0.590267231906795	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt			'5706;5694;5705;5708;5691	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	False
c_077ffe498227	REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES	REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES	M0cbd6f271961	False		6871,10474,2648	6871,10474,2648	6871,10474,2648	3	3	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES	e9eb14999e5d	0.8291506181632118	False	PASS	none	0.8291506181632118	PROXY_U01_OK		False	0	-1		13caeba4c58b	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_077ffe498227"",""entity"":""REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M0cbd6f271961"",""gene_ids"":[""6871"",""10474"",""2648""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES""],""gene_set_hash"":""e9eb14999e5d"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=937; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=13caeba4c58b; ctx_hit_terms=0	984	984	0	50	937	True	1	1	0	deterministic		proxy_context_v2: u=0.829 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=13caeba4c58b	proxy	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.8291506181632118	0.8291506181632118	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt			'6871;10474;2648	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES	False
c_ae4a11690e28	REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION	down	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION	M958bc31ac9a6	False		6621,2971,10302	6621,2971,10302	6621,2971,10302	3	3	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION	a1409cfb1f65	0.646554576910551	False	PASS	none	0.646554576910551	PROXY_U01_OK		False	0	-1		13caeba4c58b	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_ae4a11690e28"",""entity"":""REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M958bc31ac9a6"",""gene_ids"":[""6621"",""2971"",""10302""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION""],""gene_set_hash"":""a1409cfb1f65"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=937; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=13caeba4c58b; ctx_hit_terms=0	984	984	0	50	937	True	1	1	0	deterministic		proxy_context_v2: u=0.647 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=13caeba4c58b	proxy	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.646554576910551	0.646554576910551	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt			'6621;2971;10302	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION	False
c_ffe9b09da7b2	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	down	condition,tissue,perturbation,comparison	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	fgsea_msigdb_C2_CP_REACTOME_entrez	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	M2eedb8aba4fa	False		4547,337,345,346,336	4547,337,345,346,336	4547,337,345,346,336	5	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	cba92bfde7cb	0.47766443453126706	False	PASS	none	0.47766443453126706	PROXY_U01_OK		False	0	-1		13caeba4c58b	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_ffe9b09da7b2"",""entity"":""REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M2eedb8aba4fa"",""gene_ids"":[""4547"",""337"",""345"",""346"",""336""],""term_ids"":[""fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY""],""gene_set_hash"":""cba92bfde7cb"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=984; eligible=984; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=937; relaxed=True; relax_passes=1; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=13caeba4c58b; ctx_hit_terms=0	984	984	0	50	937	True	1	1	0	deterministic		proxy_context_v2: u=0.478 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=13caeba4c58b	proxy	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.47766443453126706	0.47766443453126706	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt	LUSC|tumor|genotype|TP53_mut_vs_TP53_wt			'4547;337;345;346;336	'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	False
