term_uid	module_id
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ABC_TRANSPORTER_DISORDERS	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	M57414d8ca4c2
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	M8a3c88414448
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	M2068279212ab
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	Mb609912a01ca
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADAPTIVE_IMMUNE_SYSTEM	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADIPOGENESIS	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AGGREPHAGY	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AMINO_ACIDS_REGULATE_MTORC1	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	Mbf0e591e51f2
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AMYLOID_FIBER_FORMATION	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANCHORING_FIBRIL_FORMATION	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIMICROBIAL_PEPTIDES	M1fa8b2dae7d9
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APOPTOSIS	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APOPTOTIC_EXECUTION_PHASE	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ARACHIDONATE_METABOLISM	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ASPIRIN_ADME	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	M40ab7f3c7eb7
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	M2e46968e876e
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS	M88fd83981b6a
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ATTACHMENT_AND_ENTRY	Mcac029609398
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ATTENUATION_PHASE	Meef223874a96
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	Mc1b4ab1df89c
fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_AURKA_ACTIVATION_BY_TPX2	Mcac029609398
