raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
0	REACTOME_MICRORNA_MIRNA_BIOGENESIS	REACTOME_MICRORNA_MIRNA_BIOGENESIS	fgsea_msigdb_C2_CP_REACTOME_entrez	2.07735277711074	0.0989636172331026	up	['5440', '5437', '5434', '5435', '5436', '5432', '5431', '5430', '5439']		False		False	False	5440;5437;5434;5435;5436;5432;5431;5430;5439	True		qval	True	missing	False	42	True	9	0	0	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_MICRORNA_MIRNA_BIOGENESIS	evidence_perturb	True	2798	True	False	1		0.96875	62	64	computed	0.96875	35fb666d8a6e	0.96875	0.53125	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9149305555555555	0.9149305555555555	1.0	0.96875	True	ok	off		M8b58b7878591	False	0.765625	477.0	477.0	term_survival:min
1	REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE	REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE	fgsea_msigdb_C2_CP_REACTOME_entrez	1.99930945782881	0.109842145728566	up	['8195', '582', '5310', '10694', '11336', '6950', '8729', '403', '6753', '1258', '6010', '5311', '1260', '6608']		False		False	False	8195;582;5310;10694;11336;6950;8729;403;6753;1258;6010;5311;1260;6608	True		qval	True	missing	False	42	True	14	0	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE	evidence_perturb	True	2798	True	False	1		0.78125	50	64	computed	0.78125	d84e16e52779	0.78125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8302083333333334	0.8895089285714286	0.924943285880786	0.78125	True	ok	off		M8b58b7878591	False	0.765625	477.0	477.0	term_survival:min
2	REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX	REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX	fgsea_msigdb_C2_CP_REACTOME_entrez	1.95513930323071	0.109842145728566	up	['5440', '5437', '5434', '5435', '5436', '5432', '6829', '2967', '5431', '7469', '5430', '1022', '5439', '6827']		False		False	False	5440;5437;5434;5435;5436;5432;6829;2967;5431;7469;5430;1022;5439;6827	True		qval	True	missing	False	42	True	14	0	2	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX	evidence_perturb	True	2798	True	False	1		0.8125	52	64	computed	0.8125	2f11f0fedd79	0.8125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8354166666666667	0.8950892857142858	0.9252775002775003	0.8125	True	ok	off		M8b58b7878591	False	0.765625	477.0	477.0	term_survival:min
3	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	fgsea_msigdb_C2_CP_REACTOME_entrez	1.94984869850972	0.109842145728566	up	['5440', '5437', '5434', '5435', '5436', '5432', '6829', '5431', '7469', '5430', '5439', '6827']		False		False	False	5440;5437;5434;5435;5436;5432;6829;5431;7469;5430;5439;6827	True		qval	True	missing	False	42	True	12	0	3	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	evidence_perturb	True	2798	True	False	1		0.890625	57	64	computed	0.890625	0a9009cf0a4d	0.890625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8257211538461539	0.89453125	0.9141238102175602	0.890625	True	ok	off		M8b58b7878591	False	0.765625	477.0	477.0	term_survival:min
4	REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS	REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS	fgsea_msigdb_C2_CP_REACTOME_entrez	1.94209029226858	0.109842145728566	up	['5440', '5437', '4928', '5434', '5435', '5436', '5432', '4927', '5431', '5430', '10762', '5439']		False		False	False	5440;5437;4928;5434;5435;5436;5432;4927;5431;5430;10762;5439	True		qval	True	missing	False	42	True	12	0	4	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS	evidence_perturb	True	2798	True	False	1		0.890625	57	64	computed	0.890625	fd60fac970c7	0.890625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8149038461538461	0.8828125	0.9128599698912199	0.890625	True	ok	off		M8b58b7878591	False	0.765625	477.0	477.0	term_survival:min
5	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.93917244163299	0.117728836704708	down	['10498', '995', '1647', '7157', '891', '5111', '7029', '5933', '5934']		False		False	False	10498;995;1647;7157;891;5111;7029;5933;5934	True		qval	True	missing	False	42	True	9	0	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST	evidence_perturb	True	2798	True	False	1		0.953125	61	64	computed	0.953125	808edf9b60a1	0.953125	0.671875	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8940972222222222	0.8940972222222222	1.0	0.953125	True	ok	off		Mfaba555c683f	False	0.765625	401.0	401.0	term_survival:min
6	REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	fgsea_msigdb_C2_CP_REACTOME_entrez	1.74539647815847	0.117728836704708	up	['5692', '5706', '7321', '5694', '5701', '8900', '8881', '4173', '8697', '5690', '1017', '5704', '5714', '5708', '9978', '4171', '990', '6502', '996', '4998', '5685', '7311', '6233', '898', '5695', '4176']		False		False	False	5692;5706;7321;5694;5701;8900;8881;4173;8697;5690;1017;5704;5714;5708;9978;4171;990;6502;996;4998;5685;7311;6233;898;5695;4176	True		qval	True	missing	False	42	True	26	0	6	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	evidence_perturb	True	2798	True	False	1		0.96875	62	64	computed	0.96875	dc8bbe344726	0.96875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8622685185185185	0.8954326923076923	0.9586228230621824	0.96875	True	ok	off		M8b58b7878591	False	0.765625	477.0	477.0	term_survival:min
7	REACTOME_SIGNALING_BY_FGFR2_IIIA_TM	REACTOME_SIGNALING_BY_FGFR2_IIIA_TM	fgsea_msigdb_C2_CP_REACTOME_entrez	1.8945129799432	0.131318723949007	up	['5440', '5437', '5434', '5435', '5436', '5432', '5431', '5430', '5439', '2263', '2962', '2246']		False		False	False	5440;5437;5434;5435;5436;5432;5431;5430;5439;2263;2962;2246	True		qval	True	missing	False	42	True	12	0	7	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_FGFR2_IIIA_TM	evidence_perturb	True	2798	True	False	1		0.859375	55	64	computed	0.859375	e9f3a53ead27	0.859375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8221153846153846	0.890625	0.9134940146658898	0.859375	True	ok	off		M8b58b7878591	False	0.765625	477.0	477.0	term_survival:min
8	REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	fgsea_msigdb_C2_CP_REACTOME_entrez	1.87654181843612	0.131318723949007	up	['4751', '701', '7321', '8881', '8697', '996', '7311', '6233']		False		False	False	4751;701;7321;8881;8697;996;7311;6233	True		qval	True	missing	False	42	True	8	0	8	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	evidence_perturb	True	2798	True	False	1		0.984375	63	64	computed	0.984375	cfc5cbe3fced	0.984375	0.546875	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.900390625	0.900390625	1.0	0.984375	True	ok	off		M8b58b7878591	False	0.765625	477.0	477.0	term_survival:min
9	REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS	REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS	fgsea_msigdb_C2_CP_REACTOME_entrez	1.86499629086968	0.131318723949007	up	['3837', '3840', '4928', '5610', '4927', '8106', '10898', '10762', '9636']		False		False	False	3837;3840;4928;5610;4927;8106;10898;10762;9636	True		qval	True	missing	False	42	True	9	0	9	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS	evidence_perturb	True	2798	True	False	1		0.984375	63	64	computed	0.984375	5d968f5f9a00	0.984375	0.640625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9114583333333334	0.9114583333333334	1.0	0.984375	True	ok	off		M8b58b7878591	False	0.765625	477.0	477.0	term_survival:min
