raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	dropped_n	dropped_genes_str	dropped_genes_symbols_str	notes	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
0	GOBP_GONADOTROPIN_SECRETION	GOBP_GONADOTROPIN_SECRETION	fgsea_msigdb_C5_GO_BP_entrez	-2.10065555119105	0.202813115834297	down	['6865', '3952', '3625', '2798', '4986', '3624']		False		False	False	6865;3952;3625;2798;4986;3624	True		qval	True	missing	False	42	True	6	0	0				0	fgsea_msigdb_C5_GO_BP_entrez:GOBP_GONADOTROPIN_SECRETION	evidence_perturb	True	4100	True	False	1		0.953125	61	64	computed	0.953125	3283b787b14f	0.953125	0.4375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9192708333333333	0.9192708333333333	1.0	0.953125	True	ok	off		Md9d2eaa1ad64	False	0.734375	1566.0	1566.0	term_survival:min
1	GOBP_REGULATION_OF_HAIR_FOLLICLE_DEVELOPMENT	GOBP_REGULATION_OF_HAIR_FOLLICLE_DEVELOPMENT	fgsea_msigdb_C5_GO_BP_entrez	2.06659368931277	0.202813115834297	up	['7124', '8456', '11187', '3872', '4926', '10468', '10855']		False		False	False	7124;8456;11187;3872;4926;10468;10855	True		qval	True	missing	False	42	True	7	0	0				1	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_HAIR_FOLLICLE_DEVELOPMENT	evidence_perturb	True	4100	True	False	1		0.96875	62	64	computed	0.96875	8b8a258dd491	0.96875	0.609375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8839285714285714	0.8839285714285714	1.0	0.96875	True	ok	off		M7ffca48795ed	False	0.734375	1468.0	1468.0	term_survival:min
2	GOBP_REGULATION_OF_ENDOCRINE_PROCESS	GOBP_REGULATION_OF_ENDOCRINE_PROCESS	fgsea_msigdb_C5_GO_BP_entrez	-1.96126433488917	0.233136789959114	down	['6865', '3952', '706', '3625', '1407', '4986', '654', '3624', '5972', '1408', '6863']		False		False	False	6865;3952;706;3625;1407;4986;654;3624;5972;1408;6863	True		qval	True	missing	False	42	True	11	0	0				2	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_ENDOCRINE_PROCESS	evidence_perturb	True	4100	True	False	1		0.921875	59	64	computed	0.921875	4701d9f1b883	0.921875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8216145833333333	0.8963068181818182	0.9070312500000001	0.921875	True	ok	off		Md9d2eaa1ad64	False	0.734375	1566.0	1566.0	term_survival:min
3	GOBP_REGULATION_OF_SPINDLE_ORGANIZATION	GOBP_REGULATION_OF_SPINDLE_ORGANIZATION	fgsea_msigdb_C5_GO_BP_entrez	1.96883655948608	0.405260314090458	up	['5347', '10615', '2770', '1213', '1778', '1639', '4926', '10015', '3303', '10460', '3304']		False		False	False	5347;10615;2770;1213;1778;1639;4926;10015;3303;10460;3304	True		qval	True	missing	False	42	True	11	0	0				3	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_SPINDLE_ORGANIZATION	evidence_perturb	True	4100	True	False	1		0.890625	57	64	computed	0.890625	e9dc12531527	0.890625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8268229166666667	0.9019886363636364	0.9075126262626263	0.890625	True	ok	off		M7ffca48795ed	False	0.734375	1468.0	1468.0	term_survival:min
4	GOBP_DNA_CONFORMATION_CHANGE	GOBP_DNA_CONFORMATION_CHANGE	fgsea_msigdb_C5_GO_BP_entrez	-1.92224419561256	0.405260314090458	down	['3087', '7978', '2071', '8940', '641', '7486', '7153', '7150', '7155', '3146']		False		False	False	3087;7978;2071;8940;641;7486;7153;7150;7155;3146	True		qval	True	missing	False	42	True	10	0	0				4	fgsea_msigdb_C5_GO_BP_entrez:GOBP_DNA_CONFORMATION_CHANGE	evidence_perturb	True	4100	True	False	1		1.0	64	64	computed	1.0	e733a0068289	1.0	0.625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9078125	0.9078125	1.0	1.0	True	ok	off		Md9d2eaa1ad64	False	0.734375	1566.0	1566.0	term_survival:min
5	GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	fgsea_msigdb_C5_GO_BP_entrez	-1.89762367587899	0.405260314090458	down	['5865', '1813', '135', '409', '7054', '6531', '6622', '5071', '10211', '5370', '1814', '1312', '5367']		False		False	False	5865;1813;135;409;7054;6531;6622;5071;10211;5370;1814;1312;5367	True		qval	True	missing	False	42	True	13	0	0				5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	evidence_perturb	True	4100	True	False	1		0.828125	53	64	computed	0.828125	c59771f9c53b	0.828125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8470982142857143	0.9122596153846154	0.9213591963591965	0.828125	True	ok	off		Md9d2eaa1ad64	False	0.734375	1566.0	1566.0	term_survival:min
6	GOBP_NEGATIVE_REGULATION_OF_VASCULAR_PERMEABILITY	GOBP_NEGATIVE_REGULATION_OF_VASCULAR_PERMEABILITY	fgsea_msigdb_C5_GO_BP_entrez	-1.8958345908077	0.405260314090458	down	['5795', '7122', '5138', '7422', '10266', '135', '5139', '348']		False		False	False	5795;7122;5138;7422;10266;135;5139;348	True		qval	True	missing	False	42	True	8	0	0				6	fgsea_msigdb_C5_GO_BP_entrez:GOBP_NEGATIVE_REGULATION_OF_VASCULAR_PERMEABILITY	evidence_perturb	True	4100	True	False	1		0.96875	62	64	computed	0.96875	84a511535aa6	0.96875	0.578125	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.896484375	0.896484375	1.0	0.96875	True	ok	off		Md9d2eaa1ad64	False	0.734375	1566.0	1566.0	term_survival:min
7	GOBP_REGULATION_OF_VASCULAR_PERMEABILITY	GOBP_REGULATION_OF_VASCULAR_PERMEABILITY	fgsea_msigdb_C5_GO_BP_entrez	-1.88510584493748	0.405260314090458	down	['6865', '5795', '2828', '7122', '5138', '6714', '1003', '7422', '6869', '10266', '4879', '7423', '135', '654', '5139', '566', '348']		False		False	False	6865;5795;2828;7122;5138;6714;1003;7422;6869;10266;4879;7423;135;654;5139;566;348	True		qval	True	missing	False	42	True	17	0	0				7	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_VASCULAR_PERMEABILITY	evidence_perturb	True	4100	True	False	1		0.953125	61	64	computed	0.953125	10495fd95b91	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8489583333333333	0.8988970588235294	0.9382555786737773	0.953125	True	ok	off		Md9d2eaa1ad64	False	0.734375	1566.0	1566.0	term_survival:min
8	GOBP_DEFINITIVE_HEMOPOIESIS	GOBP_DEFINITIVE_HEMOPOIESIS	fgsea_msigdb_C5_GO_BP_entrez	1.8745884643412	0.405260314090458	up	['613', '6886', '678', '7010', '3214', '4297']		False		False	False	613;6886;678;7010;3214;4297	True		qval	True	missing	False	42	True	6	0	0				8	fgsea_msigdb_C5_GO_BP_entrez:GOBP_DEFINITIVE_HEMOPOIESIS	evidence_perturb	True	4100	True	False	1		0.921875	59	64	computed	0.921875	0a96fbbf8dcc	0.921875	0.40625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9192708333333333	0.9192708333333333	1.0	0.921875	True	ok	off		M8a1dd61df0bb	False	0.921875	1.0	1.0	term_survival:min
9	GOBP_VIRAL_TRANSLATION	GOBP_VIRAL_TRANSLATION	fgsea_msigdb_C5_GO_BP_entrez	1.87256349442535	0.405260314090458	up	['1939', '6741', '8665', '5045', '540', '8664', '8666']		False		False	False	1939;6741;8665;5045;540;8664;8666	True		qval	True	missing	False	42	True	7	0	0				9	fgsea_msigdb_C5_GO_BP_entrez:GOBP_VIRAL_TRANSLATION	evidence_perturb	True	4100	True	False	1		1.0	64	64	computed	1.0	d8251a8ad61b	1.0	0.484375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9174107142857142	0.9174107142857142	1.0	1.0	True	ok	off		M7ffca48795ed	False	0.734375	1468.0	1468.0	term_survival:min
