claim_id	entity	direction	context_keys	term_uid	source	term_id	term_name	module_id	module_missing	module_reason	gene_ids	gene_ids_suggest	gene_ids_snippet	gene_ids_n_total	gene_ids_n_in_claim	term_ids	gene_set_hash	context_score	context_evaluated	context_status	context_method	context_confidence	context_reason	select_context_score	select_context_evaluated	select_context_tokens_n	select_context_status_score	select_context_tiebreak	context_signature	context_swap_active	context_gate_mode	context_gate_hit	eligible_context	eligible	term_survival	keep_term	keep_reason	claim_json	preselect_tau_gate	context_score_proxy	select_context_mode	select_context_policy	select_notes	select_diag_n_total	select_diag_n_eligible	select_diag_n_ineligible	select_diag_n_picked	select_diag_blocked_by_module_cap	select_diag_relaxed	select_diag_relax_passes	select_diag_max_per_module	select_diag_ctx_hit_terms	claim_mode	llm_notes	context_notes	context_review_mode	context_ctx_id	context_proxy_method	context_score_proxy_norm	module_context_weight	context_score_proxy_reason	context_score_proxy_n_nonzero	context_tokens_n	context_score_proxy_u01	context_score_proxy_u01_norm	context_ctx_id_original	context_ctx_id_effective	context_swap_from	context_swap_to	gene_ids_excel	term_ids_excel	context_gate_applied_pre_audit
c_bccb856a6115	GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY	fgsea_msigdb_C5_GO_BP_entrez	GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY	GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY	Mba89d6fc67e6	False		2139,9026,7805,572,1670,7417,10449,7755,292,10015	2139,9026,7805,572,1670,7417,10449,7755,292,10015	2139,9026,7805,572,1670,7417,10449,7755,292,10015	10	10	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY	38003668ca2b	0.34379423753467897	False	PASS	none	0.34379423753467897	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_bccb856a6115"",""entity"":""GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mba89d6fc67e6"",""gene_ids"":[""2139"",""9026"",""7805"",""572"",""1670"",""7417"",""10449"",""7755"",""292"",""10015""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY""],""gene_set_hash"":""38003668ca2b"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=295; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	3386	3386	0	50	295	False	0	1	0	deterministic		proxy_context_v2: u=0.344 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.34379423753467897	0.34379423753467897	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'2139;9026;7805;572;1670;7417;10449;7755;292;10015	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY	False
c_d16690bf4a16	GOBP_CLATHRIN_COAT_ASSEMBLY	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CLATHRIN_COAT_ASSEMBLY	fgsea_msigdb_C5_GO_BP_entrez	GOBP_CLATHRIN_COAT_ASSEMBLY	GOBP_CLATHRIN_COAT_ASSEMBLY	M6b098b3e2ae3	False		9026,1213,2060	9026,1213,2060	9026,1213,2060	3	3	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CLATHRIN_COAT_ASSEMBLY	1d65c1013a93	0.5120491266847904	False	PASS	none	0.5120491266847904	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_d16690bf4a16"",""entity"":""GOBP_CLATHRIN_COAT_ASSEMBLY"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M6b098b3e2ae3"",""gene_ids"":[""9026"",""1213"",""2060""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_CLATHRIN_COAT_ASSEMBLY""],""gene_set_hash"":""1d65c1013a93"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=295; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	3386	3386	0	50	295	False	0	1	0	deterministic		proxy_context_v2: u=0.512 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.5120491266847904	0.5120491266847904	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'9026;1213;2060	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_CLATHRIN_COAT_ASSEMBLY	False
c_b1b72e887699	GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS	fgsea_msigdb_C5_GO_BP_entrez	GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS	GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS	M8516f40d33cb	False		3586,1605,7077,101,5045	3586,1605,7077,101,5045	3586,1605,7077,101,5045	5	5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS	a6aca6e647ca	0.46501828138184576	False	PASS	none	0.46501828138184576	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_b1b72e887699"",""entity"":""GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M8516f40d33cb"",""gene_ids"":[""3586"",""1605"",""7077"",""101"",""5045""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS""],""gene_set_hash"":""a6aca6e647ca"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=295; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	3386	3386	0	50	295	False	0	1	0	deterministic		proxy_context_v2: u=0.465 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.46501828138184576	0.46501828138184576	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'3586;1605;7077;101;5045	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS	False
c_d61a43e641e2	GOBP_MATERNAL_PLACENTA_DEVELOPMENT	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_MATERNAL_PLACENTA_DEVELOPMENT	fgsea_msigdb_C5_GO_BP_entrez	GOBP_MATERNAL_PLACENTA_DEVELOPMENT	GOBP_MATERNAL_PLACENTA_DEVELOPMENT	Ma930024050a6	False		10935,5467,5764,8614,639,9191,6781	10935,5467,5764,8614,639,9191,6781	10935,5467,5764,8614,639,9191,6781	7	7	fgsea_msigdb_C5_GO_BP_entrez:GOBP_MATERNAL_PLACENTA_DEVELOPMENT	afa080bb9daf	0.23936304274233566	False	PASS	none	0.23936304274233566	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_d61a43e641e2"",""entity"":""GOBP_MATERNAL_PLACENTA_DEVELOPMENT"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Ma930024050a6"",""gene_ids"":[""10935"",""5467"",""5764"",""8614"",""639"",""9191"",""6781""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_MATERNAL_PLACENTA_DEVELOPMENT""],""gene_set_hash"":""afa080bb9daf"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=295; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	3386	3386	0	50	295	False	0	1	0	deterministic		proxy_context_v2: u=0.239 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.23936304274233566	0.23936304274233566	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'10935;5467;5764;8614;639;9191;6781	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_MATERNAL_PLACENTA_DEVELOPMENT	False
c_c1055af0469a	GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	fgsea_msigdb_C5_GO_BP_entrez	GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	Meea9bd39894a	False		5936	5936	5936	1	1	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	3d1d7ba7ee26	0.8525087982492405	False	PASS	none	0.8525087982492405	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_c1055af0469a"",""entity"":""GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Meea9bd39894a"",""gene_ids"":[""5936""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION""],""gene_set_hash"":""3d1d7ba7ee26"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=295; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	3386	3386	0	50	295	False	0	1	0	deterministic		proxy_context_v2: u=0.853 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.8525087982492405	0.8525087982492405	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'5936	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	False
c_28ab3ad3771b	GOBP_FLUID_TRANSPORT	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_FLUID_TRANSPORT	fgsea_msigdb_C5_GO_BP_entrez	GOBP_FLUID_TRANSPORT	GOBP_FLUID_TRANSPORT	M3f8e82599276	False		2131,1437,362,10630,359	2131,1437,362,10630,359	2131,1437,362,10630,359	5	5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_FLUID_TRANSPORT	94154b34aab2	0.43453071675324817	False	PASS	none	0.43453071675324817	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_28ab3ad3771b"",""entity"":""GOBP_FLUID_TRANSPORT"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M3f8e82599276"",""gene_ids"":[""2131"",""1437"",""362"",""10630"",""359""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_FLUID_TRANSPORT""],""gene_set_hash"":""94154b34aab2"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=295; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	3386	3386	0	50	295	False	0	1	0	deterministic		proxy_context_v2: u=0.435 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.43453071675324817	0.43453071675324817	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'2131;1437;362;10630;359	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_FLUID_TRANSPORT	False
c_4648fcc903bb	GOBP_RESPIRATORY_BURST	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPIRATORY_BURST	fgsea_msigdb_C5_GO_BP_entrez	GOBP_RESPIRATORY_BURST	GOBP_RESPIRATORY_BURST	M654dbb2f9360	False		7001,1604,3988,1535,5293	7001,1604,3988,1535,5293	7001,1604,3988,1535,5293	5	5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPIRATORY_BURST	a1944f7c78ed	0.8719222193760798	False	PASS	none	0.8719222193760798	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_4648fcc903bb"",""entity"":""GOBP_RESPIRATORY_BURST"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M654dbb2f9360"",""gene_ids"":[""7001"",""1604"",""3988"",""1535"",""5293""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPIRATORY_BURST""],""gene_set_hash"":""a1944f7c78ed"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=295; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	3386	3386	0	50	295	False	0	1	0	deterministic		proxy_context_v2: u=0.872 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.8719222193760798	0.8719222193760798	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'7001;1604;3988;1535;5293	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPIRATORY_BURST	False
c_112b5f4edb74	GOBP_MOTOR_BEHAVIOR	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_MOTOR_BEHAVIOR	fgsea_msigdb_C5_GO_BP_entrez	GOBP_MOTOR_BEHAVIOR	GOBP_MOTOR_BEHAVIOR	M4a46df3ef0b4	False		2131,1639,2925,7846,4669	2131,1639,2925,7846,4669	2131,1639,2925,7846,4669	5	5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_MOTOR_BEHAVIOR	9ce391baaa5f	0.039721892093890654	False	FAIL	none	0.039721892093890654	PROXY_U01_LOW_FAIL		False	0	-1		0ae09edd5ce3	False	hard	False	True	False	1.0	True	ok	"{""claim_id"":""c_112b5f4edb74"",""entity"":""GOBP_MOTOR_BEHAVIOR"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M4a46df3ef0b4"",""gene_ids"":[""2131"",""1639"",""2925"",""7846"",""4669""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_MOTOR_BEHAVIOR""],""gene_set_hash"":""9ce391baaa5f"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=295; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	3386	3386	0	50	295	False	0	1	0	deterministic		proxy_context_v2: u=0.040 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.039721892093890654	0.039721892093890654	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'2131;1639;2925;7846;4669	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_MOTOR_BEHAVIOR	True
c_d1def44cbc3d	GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION	fgsea_msigdb_C5_GO_BP_entrez	GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION	GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION	Mf6aab48f2518	False		3565,3606,383	3565,3606,383	3565,3606,383	3	3	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION	84a97522aafa	0.2727437210824706	False	PASS	none	0.2727437210824706	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_d1def44cbc3d"",""entity"":""GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mf6aab48f2518"",""gene_ids"":[""3565"",""3606"",""383""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION""],""gene_set_hash"":""84a97522aafa"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=295; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	3386	3386	0	50	295	False	0	1	0	deterministic		proxy_context_v2: u=0.273 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.2727437210824706	0.2727437210824706	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'3565;3606;383	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION	False
c_0e2d3b5d3239	GOBP_RESPONSE_TO_HYPEROXIA	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPONSE_TO_HYPEROXIA	fgsea_msigdb_C5_GO_BP_entrez	GOBP_RESPONSE_TO_HYPEROXIA	GOBP_RESPONSE_TO_HYPEROXIA	M7cd0bcb2529a	False		847	847	847	1	1	fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPONSE_TO_HYPEROXIA	19e68d9fe08f	0.43794625311199575	False	PASS	none	0.43794625311199575	PROXY_U01_OK		False	0	-1		0ae09edd5ce3	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_0e2d3b5d3239"",""entity"":""GOBP_RESPONSE_TO_HYPEROXIA"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M7cd0bcb2529a"",""gene_ids"":[""847""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPONSE_TO_HYPEROXIA""],""gene_set_hash"":""19e68d9fe08f"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=295; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=0ae09edd5ce3; ctx_hit_terms=0	3386	3386	0	50	295	False	0	1	0	deterministic		proxy_context_v2: u=0.438 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=0ae09edd5ce3	proxy	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.43794625311199575	0.43794625311199575	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt	LUAD|tumor|genotype|TP53_mut_vs_TP53_wt			'847	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPONSE_TO_HYPEROXIA	False
